lost	top1_known	score	top10
aad	I₂	-8.1187	"[[""I₂"", -8.1187], [""TI"", -8.1187], [""KI"", -8.1187], [""SI"", -8.1187], [""ZU"", -8.1187], [""A₂"", -8.1187], [""BA"", -8.1187], [""I₃"", -8.1187], [""EN"", -8.1187], [""ŠE"", -8.1187]]"
aadi	SUM	-10.6439	"[[""SUM"", -10.6439], [""DU₆"", -10.6439], [""DU₃"", -10.6439], [""URU"", -10.6439], [""IR₃"", -10.6439], [""UR₄"", -10.6439], [""LU₂"", -10.6439], [""KU₂"", -10.6439], [""LIM"", -10.6439], [""UDU"", -10.6439]]"
aadik	TĪRU	-13.1999	"[[""TĪRU"", -13.1999], [""KU.X"", -13.1999], [""BĒLU"", -13.1999], [""DUMU"", -13.1999], [""KU₂-"", -13.1999], [""ANŠE"", -13.1999], [""GAN₂"", -13.1999], [""A.SI"", -13.1999], [""TUG₂"", -13.1999], [""GIR₂"", -13.1999]]"
aadiki	KU₂-	-15.6764	"[[""KU₂-"", -15.6764], [""DUMU"", -15.6764], [""KU.X"", -15.6764], [""GIR₂"", -15.6764], [""A.SI"", -15.6764], [""BĒLU"", -15.6764], [""TUG₂"", -15.6764], [""TĪRU"", -15.6764], [""KUR₂"", -15.6764], [""SIG₅"", -15.6764]]"
aadikit	mutsʼi	-17.9949	"[[""mutsʼi"", -17.9949], [""AM.SI"", -18.1288], [""AGRIG"", -18.1288], [""NAGAR"", -18.1288], [""U₂.ŠE"", -18.1288], [""URUDU"", -18.1288], [""ERIN₂"", -18.1288], [""HALṢI"", -18.1288], [""AD.AD"", -18.1288], [""KIŠIB"", -18.1288]]"
aadikite	utsʼ-	-20.2641	"[[""utsʼ-"", -20.2641], [""E₂.DIN"", -20.6063], [""E₂.GAL"", -20.6063], [""ŠE.PAD"", -20.6063], [""DINGIR"", -20.6063], [""KASKAL"", -20.6063], [""AN.BAR"", -20.6063], [""GIBIL₂"", -20.6063], [""UR.GI₇"", -20.6063], [""GAG.TI"", -20.6063]]"
aadikites	tsaʃɡ-	-20.847	"[[""tsaʃɡ-"", -20.847], [""tsʼib-"", -21.461], [""tsad-"", -23.025], [""utsʼ-"", -23.0932], [""GU₄.AB₂"", -23.097], [""E₂.URU₄"", -23.097], [""LU₂.KU₃"", -23.097], [""UDU.GAL"", -23.097], [""LU₂.TUR"", -23.097], [""URU.TUR"", -23.097]]"
aadikitesi	tsaʃɡ-	-23.6703	"[[""tsaʃɡ-"", -23.6703], [""tsʼib-"", -24.2718], [""LU₂.TUR"", -25.5197], [""LU₂.KU₃"", -25.5197], [""GU₄.AB₂"", -25.5197], [""NIG₂.BA"", -25.5197], [""NIG₂.GA"", -25.5197], [""URU.TUR"", -25.5197], [""E₂.URU₄"", -25.5197], [""GABA.RI"", -25.5197]]"
aaj	meʃe	-7.1508	"[[""meʃe"", -7.1508], [""eme"", -7.613], [""ime"", -7.6414], [""maʃe"", -7.6523], [""meʃ-"", -7.8653], [""BA"", -8.1187], [""A₂"", -8.1187], [""EN"", -8.1187], [""ME"", -8.1187], [""I₂"", -8.1187]]"
aaja	meʃ-	-10.1144	"[[""meʃ-"", -10.1144], [""meʃe"", -10.3142], [""DU₆"", -10.6439], [""NA₅"", -10.6439], [""ITU"", -10.6439], [""LIŠ"", -10.6439], [""SUM"", -10.6439], [""NAM"", -10.6439], [""KIN"", -10.6439], [""GU₄"", -10.6439]]"
aau	I₂	-8.1187	"[[""I₂"", -8.1187], [""TI"", -8.1187], [""KI"", -8.1187], [""SI"", -8.1187], [""ZU"", -8.1187], [""A₂"", -8.1187], [""BA"", -8.1187], [""I₃"", -8.1187], [""EN"", -8.1187], [""ŠE"", -8.1187]]"
ada	AD	-8.1187	"[[""AD"", -8.1187], [""TI"", -8.1187], [""BA"", -8.1187], [""I₃"", -8.1187], [""A₂"", -8.1187], [""KI"", -8.1187], [""EN"", -8.1187], [""ŠE"", -8.1187], [""E₂"", -8.1187], [""UN"", -8.1187]]"
adad	GAL	-10.6439	"[[""GAL"", -10.6439], [""NA₅"", -10.6439], [""IR₃"", -10.6439], [""GIŠ"", -10.6439], [""ITU"", -10.6439], [""NA₄"", -10.6439], [""KAD"", -10.6439], [""TIR"", -10.6439], [""GIG"", -10.6439], [""NAM"", -10.6439]]"
adada	TĪRU	-13.1999	"[[""TĪRU"", -13.1999], [""GAN₂"", -13.1999], [""GAR₃"", -13.1999], [""KU.X"", -13.1999], [""SIG₇"", -13.1999], [""INIM"", -13.1999], [""A.SI"", -13.1999], [""DUMU"", -13.1999], [""GIR₃"", -13.1999], [""GABA"", -13.1999]]"
adadau	KU₂-	-15.6764	"[[""KU₂-"", -15.6764], [""ANŠE"", -15.6764], [""KUR₂"", -15.6764], [""SIG₅"", -15.6764], [""INIM"", -15.6764], [""GAN₂"", -15.6764], [""GAR₃"", -15.6764], [""TUG₂"", -15.6764], [""A.SI"", -15.6764], [""TĪRU"", -15.6764]]"
