Inscription_ID	Text	IPA	SCA	Source	Date_Approx	Genre	IPA_Source
ceipom_860:1	uobúrí	uobúrí	UOBR	ceipom	-650.0 to -625.0 BCE	inscription	translit_map
ceipom_861:1	-m bioíens s-m	m bioíens s-m	M BIOENS SM	ceipom	-625.0 to -600.0 BCE	inscription	translit_map
ceipom_862:1	sateh ṛufrah iih doukioí her ioh e	sateh ṛufrah iːh doukioí her ioh e	SATEH UPRAH IH DOUKIO HER IOH E	ceipom	-650.0 to -600.0 BCE	inscription	translit_map
ceipom_864:1	faletnei poheh sk erf̣s skerfs hedusef	faletnei poheh sk erf̣s skerfs hedusef	PALETNEI POHEH SK ERPS SKERPS HEDUSEP	ceipom	-625.0 to -575.0 BCE	inscription	translit_map
ceipom_867:1	setums⁝ míom face	setums míom face	SETUMS MOM PAKE	ceipom	-575.0 to -525.0 BCE	inscription	translit_map
ceipom_899:1	iϝkϝí ko efiei	iϝkϝí ko efiei	IK KO EPIEI	ceipom	-480.0 to -450.0 BCE	inscription	translit_map
ceipom_914:1	- mes fucis	mes fucis	MES PUKIS	ceipom	-450.0 to -400.0 BCE	inscription	translit_map
ceipom_915:1	pa{q}qis blaisiís	pa{q}qis blaisiís	PAKKIS BLAISIS	ceipom	-499.0 to -400.0 BCE	inscription	translit_map
ceipom_925:1	ahal trutitis dunum dede	ahal trutitis dunum dede	AHAL TRUTITIS DUNUM DEDE	ceipom	-425.0 to -375.0 BCE	inscription	translit_map
ceipom_926:1	ouies nauies eco	ouies nauies eco	OUIES NAUIES EKO	ceipom	-425.0 to -375.0 BCE	inscription	translit_map
ceipom_930:1	apols	apols	APOLS	ceipom	-399.0 to -350.0 BCE	inscription	translit_map
ceipom_937:1	ciui fahlscui	ciui fahlscui	KIUI PAHLSKUI	ceipom	-375.0 to -325.0 BCE	inscription	translit_map
ceipom_941:1	- ṭạrinater - eitupes t	ṭạrinater eitupes t	RINATER EITUPES T	ceipom	-300.0 to -300.0 BCE	inscription	translit_map
ceipom_942:1	cupras matres pletinas sacrụ esu	cupras matres pletinas sacru esu	KUPRAS MATRES PLETINAS SAKRU ESU	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_943:1	cupras matres p[letinas sacru esu]	cupras matres p[letinas sacru esu	KUPRAS MATRES PLETINAS SAKRU ESU	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_944:1	cupras matres pletinas sacru esu	cupras matres pletinas sacru esu	KUPRAS MATRES PLETINAS SAKRU ESU	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_945:1	c̣upṛ	c̣upr	KUPR	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_995:1	este persklum aves anzeriates enetu 2 pernaies pusnaes	este persklum aves anzeriates enetu 2 pernaies pusnaes	ESTE PERSKLUM ABES ANSERIATES ENETU  PERNAIES PUSNAES	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:2	pre veres treplanes 3 iuve krapuvi tre buf fetu	pre veres treplanes 3 iuve krapuvi tre buf fetu	PRE BERES TREPLANES  IUBE KRAPUBI TRE BUP PETU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:3	arvia ustentu	arvia ustentu	ARBIA USTENTU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:4	vatuva ferine feitu	vatuva ferine feitu	BATUBA PERINE PEITU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:5	heris vinu heri puni 5 ukriper fisiu tutaper ikuvina feitu	heris vinu heri puni 5 ukriper fisiu tutaper ikuvina feitu	HERIS BINU HERI PUNI  UKRIPER PISIU TUTAPER IKUBINA PEITU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:6	sevum 6 kutef pesnimu ařepes arves	sevum 6 kutef pesnimu ařepes arves	SEBUM  KUTEP PESNIMU AEPES ARBES	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:7	pus veres treplanes tref sif kumiaf feitu 8 trebe iuvie ukriper fisiu tutaper ikuvina	pus veres treplanes tref sif kumiaf feitu 8 trebe iuvie ukriper fisiu tutaper ikuvina	PUS BERES TREPLANES TREP SIP KUMIAP PEITU  TREBE IUBIE UKRIPER PISIU TUTAPER IKUBINA	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:8	supa sumtu	supa sumtu	SUPA SUMTU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:9	arvia ustentu	arvia ustentu	ARBIA USTENTU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:10	puni fetu	puni fetu	PUNI PETU	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
ceipom_995:11	kutef pesnimu ařepeṣ arv{i}es	kutef pesnimu ařepes arv{i}es	KUTEP PESNIMU AEPES ARBIES	ceipom	-350.0 to -300.0 BCE	inscription	translit_map
