Inscription_ID	Text	IPA	SCA	Source	Date_Approx	Genre	IPA_Source
ceipom_924:1	irelas sim	irelas sim	IRELAS SIM	ceipom	-380.0 to -380.0 BCE	inscription	translit_map
ceipom_931:1	mitel g	mitel g	MITEL G	ceipom	-399.0 to -350.0 BCE	inscription	translit_map
ceipom_932:1	viniies	viniːes	BINIES	ceipom	-450.0 to -350.0 BCE	inscription	translit_map
ceipom_934:1	santia	santia	SANTIA	ceipom	-350.0 to -340.0 BCE	inscription	translit_map
ceipom_935:1	vibis smintiis vibis smintiis sum	vibis smintiːs vibis smintiːs sum	BIBIS SMINTIS BIBIS SMINTIS SUM	ceipom	-330.0 to -330.0 BCE	inscription	translit_map
ceipom_936:1	vibis smintiis	vibis smintiːs	BIBIS SMINTIS	ceipom	-330.0 to -330.0 BCE	inscription	translit_map
ceipom_946:1	ḍịs fr verna helvis helvis lẹigui	ḍịs fr verna helvis helvis lẹigui	S PR BERNA HELBIS HELBIS LIGUI	ceipom	-300.0 to -300.0 BCE	inscription	translit_map
ceipom_947:1	ma a díidiis t statiis úvis heleviis	ma a díidiːs t statiːs úvis heleviːs	MA A DIDIS T STATIS BIS HELEBIS	ceipom	-300.0 to -300.0 BCE	inscription	translit_map
ceipom_948:1	mitel me tiis marahieis famel upsed	mitel me tiːs marahieis famel upsed	MITEL ME TIS MARAHIEIS PAMEL UPSED	ceipom	-300.0 to -300.0 BCE	inscription	translit_map
ceipom_949:1	venileis	venileis	BENILEIS	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_950:1	minateis nasenieis minateis nasenieis	minateis nasenieis minateis nasenieis	MINATEIS NASENIEIS MINATEIS NASENIEIS	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_951:1	pumperias pustmas kluvatiium pumperias pustmas - kluvatiium	pumperias pustmas kluvatiːum pumperias pustmas kluvatiːum	PUMPERIAS PUSTMAS KLUBATIUM PUMPERIAS PUSTMAS KLUBATIUM	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_952:1	vesulias kluṿatiium vesulias - kluvatiium	vesulias kluṿatiːum vesulias kluvatiːum	BESULIAS KLUATIUM BESULIAS KLUBATIUM	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
ceipom_953:1	ve	ve	BE	ceipom	-325.0 to -300.0 BCE	inscription	translit_map
