lost	top1_known	score	top10
aad	jaṯmā	-10.4396	"[[""jaṯmā"", -10.4396], [""ʔatta"", -10.4396], [""alef"", -11.1072], [""ʔanī"", -12.0069], [""zajt"", -12.0069], [""pani"", -12.0069], [""ʃadû"", -12.0069], [""malk"", -12.0069], [""ʃaʕr"", -12.0069], [""kalb"", -12.0069]]"
aadi	ʔanī	-11.9787	"[[""ʔanī"", -11.9787], [""pani"", -11.9787], [""ʔatta"", -13.9299], [""jaṯmā"", -13.9299], [""alef"", -14.0358], [""miː"", -14.708], [""ʕsˤ"", -14.9765], [""huː"", -14.9765], [""malk"", -15.1395], [""kalb"", -15.1395]]"
aadik	miː	-15.4237	"[[""miː"", -15.4237], [""ʔanī"", -15.4731], [""pani"", -15.4731], [""alef"", -17.0932], [""ʔatta"", -17.415], [""jaṯmā"", -17.415], [""baniːm"", -17.5475], [""ʕsˤ"", -17.9765], [""huː"", -17.9765], [""mamlaːḵaː"", -18.1052]]"
aadiki	ʔanī	-17.9525	"[[""ʔanī"", -17.9525], [""pani"", -17.9525], [""miː"", -18.2546], [""baniːm"", -20.0989], [""alef"", -20.232], [""mamlaːḵaː"", -20.7375], [""ħajjím"", -20.8852], [""ʔatta"", -20.8952], [""jaṯmā"", -20.8952], [""ʕsˤ"", -21.0773]]"
aadikit	miː	-20.9848	"[[""miː"", -20.9848], [""pani"", -21.4554], [""ʔanī"", -21.4554], [""alef"", -21.8966], [""baniːm"", -22.8649], [""mamlaːḵaː"", -23.5662], [""ħajjím"", -23.9325], [""huː"", -24.2448], [""ʕsˤ"", -24.2448], [""ʔatta"", -24.3706]]"
aadikite	miː	-24.0594	"[[""miː"", -24.0594], [""alef"", -24.7889], [""naħnu"", -24.9554], [""pani"", -24.9581], [""ʔanī"", -24.9581], [""ʃadû"", -24.984], [""ʃalāmu"", -25.6151], [""ʔanaħnu"", -25.7528], [""baniːm"", -25.8101], [""maːqoːm"", -26.437]]"
aadikites	ʃiħēt	-25.3273	"[[""ʃiħēt"", -25.3273], [""beːt"", -25.6491], [""ʃat"", -27.1696], [""miː"", -27.2652], [""taħat"", -27.6911], [""malat"", -27.736], [""alef"", -27.9152], [""bint"", -28.1307], [""beːruːt"", -28.3662], [""naħnu"", -28.3717]]"
aadikitesi	ʃiħēt	-28.8177	"[[""ʃiħēt"", -28.8177], [""beːt"", -29.1532], [""miː"", -30.5375], [""ʃat"", -30.6658], [""pani"", -30.75], [""ʔalaʃija"", -31.0644], [""alef"", -31.145], [""taħat"", -31.1528], [""ʔanī"", -31.154], [""malat"", -31.2421]]"
aaj	alef	-5.8708	"[[""alef"", -5.8708], [""ʔaḫ"", -5.8839], [""qaráʔ"", -6.8129], [""hʔ"", -9.1137], [""qnʔ"", -9.3539], [""ʃāqḗḏ"", -9.3674], [""ph"", -9.3933], [""bʔ"", -9.3933], [""dqq"", -9.6986], [""ʕbh"", -9.7388]]"
aaja	ʔaḫ	-9.1034	"[[""ʔaḫ"", -9.1034], [""alef"", -9.3741], [""qaráʔ"", -10.2409], [""ʔab"", -10.4513], [""ʔanī"", -10.4765], [""ʔars"", -10.4765], [""ʔatta"", -11.4787], [""jaṯmā"", -11.8697], [""ʃāqḗḏ"", -12.1675], [""hʔ"", -12.3968]]"
aau	jaṯmā	-10.4396	"[[""jaṯmā"", -10.4396], [""ʔatta"", -10.4396], [""alef"", -11.1072], [""ʔanī"", -12.0069], [""zajt"", -12.0069], [""pani"", -12.0069], [""ʃadû"", -12.0069], [""malk"", -12.0069], [""ʃaʕr"", -12.0069], [""kalb"", -12.0069]]"
ada	ʔatta	-9.7288	"[[""ʔatta"", -9.7288], [""jaṯmā"", -9.7288], [""alef"", -11.3549], [""huː"", -12.1474], [""ʕsˤ"", -12.1474], [""miː"", -12.1474], [""ʃadû"", -12.1621], [""ʔanī"", -12.1621], [""malk"", -12.1621], [""ʃaʕr"", -12.1621]]"
adad	ʔatta	-13.2282	"[[""ʔatta"", -13.2282], [""jaṯmā"", -13.2282], [""alef"", -14.2413], [""huː"", -14.9765], [""ʕsˤ"", -14.9765], [""miː"", -14.9765], [""ʔanī"", -15.1477], [""ʃaʕr"", -15.1477], [""pani"", -15.1477], [""zajt"", -15.1477]]"
adada	ʔatta	-14.9591	"[[""ʔatta"", -14.9591], [""jaṯmā"", -14.9591], [""alef"", -17.2211], [""mamlaːḵaː"", -17.97], [""ʕsˤ"", -17.9765], [""miː"", -17.9765], [""huː"", -17.9765], [""malk"", -18.0178], [""kalb"", -18.0178], [""pani"", -18.0178]]"
adadau	mamlaːḵaː	-18.1447	"[[""mamlaːḵaː"", -18.1447], [""jaṯmā"", -18.4631], [""ʔatta"", -18.4631], [""alef"", -20.291], [""kʰammaːn"", -20.3405], [""taħat"", -21.0083], [""malat"", -21.0083], [""qaráʔ"", -21.0083], [""ʔakal"", -21.0083], [""laban"", -21.0083]]"
adadaut	mamlaːḵaː	-20.92	"[[""mamlaːḵaː"", -20.92], [""alef"", -21.8297], [""ʔatta"", -21.9658], [""jaṯmā"", -21.9658], [""kʰammaːn"", -23.0582], [""ʃalāmu"", -24.1469], [""malat"", -24.1496], [""qaráʔ"", -24.1496], [""ʔadam"", -24.1496], [""taħat"", -24.1496]]"
adadauti	mamlaːḵaː	-23.9479	"[[""mamlaːḵaː"", -23.9479], [""pani"", -24.3624], [""ʔanī"", -24.3624], [""alef"", -24.7101], [""jaṯmā"", -25.4672], [""ʔatta"", -25.4672], [""kʰammaːn"", -25.9984], [""ʔalaʃija"", -27.2534], [""miː"", -27.3369], [""ɡādēr"", -27.3433]]"
adadautin	mamlaːḵaː	-27.0723	"[[""mamlaːḵaː"", -27.0723], [""alef"", -27.8308], [""pani"", -27.8624], [""ʔanī"", -27.8624], [""miː"", -28.7003], [""jaṯmā"", -28.9673], [""ʔatta"", -28.9673], [""kʰammaːn"", -29.0623], [""baniːm"", -29.8579], [""ʔalaʃija"", -30.2035]]"
adadautinu	mamlaːḵaː	-30.2468	"[[""mamlaːḵaː"", -30.2468], [""alef"", -31.0567], [""pani"", -31.3622], [""ʔanī"", -31.3622], [""miː"", -31.5734], [""kʰammaːn"", -32.2049], [""jaṯmā"", -32.466], [""ʔatta"", -32.466], [""baniːm"", -32.628], [""ʔalaʃija"", -33.3438]]"
adau	ʔatta	-13.2282	"[[""ʔatta"", -13.2282], [""jaṯmā"", -13.2282], [""alef"", -14.2413], [""huː"", -14.9765], [""ʕsˤ"", -14.9765], [""miː"", -14.9765], [""ʔanī"", -15.1477], [""ʃaʕr"", -15.1477], [""pani"", -15.1477], [""zajt"", -15.1477]]"
adaut	alef	-15.5325	"[[""alef"", -15.5325], [""ʔatta"", -16.7241], [""jaṯmā"", -16.7241], [""ʕsˤ"", -17.9765], [""miː"", -17.9765], [""huː"", -17.9765], [""malk"", -18.3036], [""kalb"", -18.3036], [""pani"", -18.3036], [""zajt"", -18.3036]]"
adauti	ʔanī	-18.2946	"[[""ʔanī"", -18.2946], [""pani"", -18.2946], [""alef"", -18.3943], [""ʔatta"", -20.2165], [""jaṯmā"", -20.2165], [""mamlaːḵaː"", -20.8435], [""miː"", -20.9076], [""ʕsˤ"", -21.0773], [""huː"", -21.0773], [""ʃāqḗḏ"", -21.3441]]"
adautin	alef	-21.5068	"[[""alef"", -21.5068], [""ʔanī"", -21.7933], [""pani"", -21.7933], [""miː"", -22.0032], [""mamlaːḵaː"", -23.4982], [""ʔatta"", -23.7056], [""jaṯmā"", -23.7056], [""baniːm"", -23.824], [""meːm"", -24.1873], [""beːt"", -24.1873]]"
adautinu	alef	-24.7274	"[[""alef"", -24.7274], [""miː"", -24.8611], [""pani"", -25.2917], [""ʔanī"", -25.2917], [""mamlaːḵaː"", -26.3382], [""baniːm"", -26.5786], [""meːm"", -27.1442], [""beːt"", -27.1442], [""jaṯmā"", -27.1914], [""ʔatta"", -27.1914]]"
