lost	top1_known	score	top10
aad	ɡab	-9.3539	"[[""ɡab"", -9.3539], [""brɡ"", -9.3539], [""ɡob"", -9.3539], [""rɡ"", -9.3933], [""neb"", -9.7388], [""sib"", -9.7388], [""laɡ"", -9.7388], [""ʃub"", -9.7388], [""deɡ"", -9.7388], [""dab"", -9.7388]]"
aadi	bzu	-10.3741	"[[""bzu"", -10.3741], [""ɡob"", -10.4003], [""bur"", -10.4597], [""ɡor"", -10.4597], [""ɡul"", -10.4597], [""ɡus"", -10.4597], [""bun"", -10.4597], [""ɡuɡa"", -10.4819], [""bude"", -10.4857], [""buzw"", -10.4857]]"
aadik	bun	-7.7002	"[[""bun"", -7.7002], [""ɡor"", -7.7002], [""bur"", -7.7002], [""ɡul"", -7.7002], [""ɡuɡul"", -9.7611], [""ɡr"", -11.2074], [""br"", -11.2074], [""ɡob"", -13.2584], [""ɡuɡa"", -13.2836], [""bude"", -13.2863]]"
aadiki	bur	-11.2047	"[[""bur"", -11.2047], [""ɡul"", -11.2047], [""bun"", -11.2047], [""ɡor"", -11.2047], [""ɡuɡul"", -13.2347], [""nu"", -14.7057], [""br"", -14.7137], [""ɡr"", -14.7137], [""bzu"", -16.0596], [""ɡuɡa"", -16.0928]]"
aadikit	ɡor	-14.7092	"[[""ɡor"", -14.7092], [""ɡul"", -14.7092], [""bur"", -14.7092], [""bun"", -14.7092], [""ɡuɡul"", -16.7078], [""botʼ"", -17.0863], [""ɡladʒ"", -17.4684], [""nu"", -18.2129], [""ɡr"", -18.22], [""br"", -18.22]]"
aadikite	bur	-18.2137	"[[""bur"", -18.2137], [""ɡul"", -18.2137], [""ɡor"", -18.2137], [""bun"", -18.2137], [""botʼ"", -19.7388], [""ɡuɡul"", -20.1804], [""bude"", -20.8116], [""buzw"", -20.8116], [""ɡrdz"", -20.9044], [""brdz"", -20.9044]]"
aadikites	bun	-21.7182	"[[""bun"", -21.7182], [""ɡor"", -21.7182], [""bur"", -21.7182], [""ɡul"", -21.7182], [""botʼ"", -23.2282], [""ɡuɡul"", -23.6526], [""bude"", -23.705], [""buzw"", -23.705], [""ɡrdz"", -24.2017], [""brdz"", -24.2017]]"
aadikitesi	bzu	-25.2193	"[[""bzu"", -25.2193], [""bun"", -25.221], [""bur"", -25.221], [""ɡor"", -25.221], [""ɡul"", -25.221], [""botʼ"", -26.7095], [""bude"", -26.8256], [""buzw"", -26.8256], [""ɡuɡul"", -27.0097], [""ɡrdz"", -27.5355]]"
aaj	lam	-10.0427	"[[""lam"", -10.0427], [""rum"", -10.0427], [""men"", -10.0427], [""jor"", -10.0427], [""mam"", -10.0427], [""nen"", -10.0427], [""mol"", -10.0427], [""br"", -10.0551], [""il"", -10.0551], [""zr"", -10.0551]]"
aaja	jor	-13.2637	"[[""jor"", -13.2637], [""mam"", -13.2637], [""men"", -13.2637], [""lam"", -13.2637], [""nen"", -13.2637], [""mol"", -13.2637], [""rum"", -13.2637], [""qalʿ"", -13.2703], [""dn"", -13.5419], [""tm"", -13.5419]]"
aau	ama	-9.3539	"[[""ama"", -9.3539], [""ze"", -9.3933], [""ni"", -9.3933], [""da"", -9.3933], [""te"", -9.3933], [""za"", -9.3933], [""di"", -9.3933], [""ma"", -9.3933], [""ode"", -9.7388], [""dɣe"", -9.7388]]"
ada	ɡab	-9.3632	"[[""ɡab"", -9.3632], [""brɡ"", -9.3632], [""ɡob"", -9.3632], [""ber"", -9.7806], [""ɡus"", -9.7806], [""bdw"", -9.7806], [""ɡaw"", -9.7806], [""ɡor"", -9.7806], [""ben"", -9.7806], [""beɣ"", -9.7806]]"
adad	ɡab	-9.7098	"[[""ɡab"", -9.7098], [""brɡ"", -9.7098], [""ɡob"", -9.7098], [""berɡ"", -9.773], [""breɡ"", -9.773], [""rɡ"", -12.2188], [""neb"", -12.5482], [""dab"", -12.5482], [""laɡ"", -12.5482], [""sib"", -12.5482]]"
adada	ɡab	-13.1893	"[[""ɡab"", -13.1893], [""ɡob"", -13.1893], [""brɡ"", -13.1893], [""breɡ"", -13.2758], [""berɡ"", -13.2758], [""bdw"", -15.6808], [""ɡus"", -15.6808], [""bzu"", -15.6808], [""ɡul"", -15.6808], [""ben"", -15.6808]]"
adadau	biɡa	-13.1601	"[[""biɡa"", -13.1601], [""ɡuɡa"", -13.1863], [""bade"", -15.3973], [""bude"", -15.6747], [""babua"", -15.8367], [""oboba"", -15.9111], [""tʼba"", -16.0507], [""ɡab"", -16.0598], [""berɡ"", -16.1027], [""brɡ"", -16.6688]]"
adadaut	biɡa	-16.6409	"[[""biɡa"", -16.6409], [""bedʒ"", -16.6683], [""bidʒ"", -16.6683], [""ɡuɡa"", -16.6933], [""barkʼ"", -17.8779], [""betʃʼ"", -17.8779], [""bade"", -18.6811], [""ɡladʒ"", -18.9803], [""bude"", -19.1799], [""ɡab"", -19.1814]]"
adadauti	biɡa	-20.1218	"[[""biɡa"", -20.1218], [""bidʒ"", -20.1491], [""bedʒ"", -20.1491], [""ɡuɡa"", -20.1742], [""betʃʼ"", -21.37], [""barkʼ"", -21.37], [""bade"", -22.0012], [""babua"", -22.0109], [""bzu"", -22.192], [""bude"", -22.4085]]"
adadautin	biɡa	-23.6026	"[[""biɡa"", -23.6026], [""bedʒ"", -23.63], [""bidʒ"", -23.63], [""ɡuɡa"", -23.655], [""betʃʼ"", -24.857], [""barkʼ"", -24.857], [""babua"", -25.0784], [""bade"", -25.3468], [""berɡ"", -25.682], [""bude"", -25.6924]]"
adadautinu	babua	-22.6446	"[[""babua"", -22.6446], [""biɡa"", -25.473], [""ɡuɡa"", -25.8511], [""bade"", -25.8588], [""bude"", -26.4808], [""bedʒ"", -27.0872], [""bidʒ"", -27.0872], [""ɡrdʒɣa"", -28.1776], [""berqʼen"", -28.2397], [""barkʼ"", -28.3345]]"
adau	biɡa	-9.0794	"[[""biɡa"", -9.0794], [""ɡuɡa"", -9.3587], [""bade"", -9.3773], [""bude"", -9.7752], [""ɡab"", -10.4003], [""tʼba"", -10.4226], [""ber"", -10.4295], [""bez"", -10.4295], [""ɡal"", -10.4295], [""ben"", -10.4295]]"
adaut	bedʒ	-10.3735	"[[""bedʒ"", -10.3735], [""bidʒ"", -10.3735], [""barkʼ"", -11.5624], [""betʃʼ"", -11.5624], [""biɡa"", -12.3622], [""bade"", -12.5926], [""ɡuɡa"", -12.8642], [""ɡladʒ"", -13.0691], [""ɡab"", -13.258], [""bar"", -13.2731]]"
adauti	bedʒ	-13.8536	"[[""bedʒ"", -13.8536], [""bidʒ"", -13.8536], [""barkʼ"", -15.0545], [""betʃʼ"", -15.0545], [""biɡa"", -15.6815], [""bade"", -15.8685], [""bzu"", -16.0743], [""ɡuɡa"", -16.0907], [""berɡ"", -16.3705], [""berq"", -16.3713]]"
adautin	bidʒ	-17.3336	"[[""bidʒ"", -17.3336], [""bedʒ"", -17.3336], [""betʃʼ"", -18.5414], [""barkʼ"", -18.5414], [""biɡa"", -19.0266], [""bade"", -19.1833], [""ɡuɡa"", -19.3734], [""babua"", -19.3917], [""bzu"", -19.5742], [""berɡ"", -19.5767]]"
adautinu	babua	-16.7046	"[[""babua"", -16.7046], [""biɡa"", -19.5359], [""bade"", -19.5504], [""ɡuɡa"", -20.158], [""bude"", -20.1852], [""bedʒ"", -20.7895], [""bidʒ"", -20.7895], [""berqʼen"", -21.9255], [""barkʼ"", -22.0187], [""betʃʼ"", -22.0187]]"
adautinui	babua	-20.2092	"[[""babua"", -20.2092], [""biɡa"", -23.0292], [""bade"", -23.0435], [""ɡuɡa"", -23.6397], [""bude"", -23.6662], [""bedʒ"", -24.2465], [""bidʒ"", -24.2465], [""berqʼen"", -24.7825], [""betʃʼ"", -25.4871], [""barkʼ"", -25.4871]]"
adautinuin	babua	-23.7138	"[[""babua"", -23.7138], [""biɡa"", -26.5222], [""bade"", -26.5364], [""ɡuɡa"", -27.1213], [""bude"", -27.1471], [""bedʒ"", -27.7048], [""bidʒ"", -27.7048], [""berqʼen"", -27.8986], [""beɣel"", -28.8472], [""barkʼ"", -28.9475]]"
adaw	ɡab	-12.5757	"[[""ɡab"", -12.5757], [""brɡ"", -12.5757], [""ɡob"", -12.5757], [""ber"", -12.8687], [""bar"", -12.8687], [""biz"", -12.8687], [""ɡul"", -12.8687], [""bzu"", -12.8687], [""bun"", -12.8687], [""bur"", -12.8687]]"
adawa	ɡab	-15.8501	"[[""ɡab"", -15.8501], [""ɡob"", -15.8501], [""brɡ"", -15.8501], [""ɡul"", -16.0745], [""bzu"", -16.0745], [""bar"", -16.0745], [""ɡal"", -16.0745], [""bur"", -16.0745], [""biz"", -16.0745], [""ɡaw"", -16.0745]]"
adawai	bzu	-16.0743	"[[""bzu"", -16.0743], [""ɡob"", -17.3561], [""bur"", -17.3837], [""bun"", -17.3837], [""ɡor"", -17.3837], [""ɡus"", -17.3837], [""ɡul"", -17.3837], [""ɡuɡa"", -17.4739], [""bude"", -17.4785], [""buzw"", -17.4785]]"
adawaij	ɡul	-14.7117	"[[""ɡul"", -14.7117], [""bur"", -14.7117], [""bun"", -14.7117], [""ɡor"", -14.7117], [""ɡuɡul"", -16.3583], [""ɡr"", -18.2164], [""br"", -18.2164], [""bzu"", -19.5742], [""mol"", -19.9076], [""rum"", -19.9076]]"
adawaija	ɡul	-18.218	"[[""ɡul"", -18.218], [""bur"", -18.218], [""bun"", -18.218], [""ɡor"", -18.218], [""ɡuɡul"", -19.8632], [""br"", -21.7227], [""ɡr"", -21.7227], [""asulʿ"", -22.8554], [""tsolʿ"", -22.8554], [""bzu"", -23.074]]"
adi	bzu	-6.8955	"[[""bzu"", -6.8955], [""ɡob"", -6.9224], [""bur"", -6.9526], [""ɡus"", -6.9526], [""bun"", -6.9526], [""ɡor"", -6.9526], [""ɡul"", -6.9526], [""ɡuɡa"", -6.9767], [""bude"", -6.9786], [""buzw"", -6.9786]]"
adik	bun	-4.193	"[[""bun"", -4.193], [""ɡul"", -4.193], [""bur"", -4.193], [""ɡor"", -4.193], [""ɡuɡul"", -6.5504], [""ɡr"", -7.7002], [""br"", -7.7002], [""ɡob"", -9.7664], [""ɡuɡa"", -9.7778], [""buzw"", -9.7792]]"
