lost	top1_known	score	top10
aad	U₃	-8.1187	"[[""U₃"", -8.1187], [""hwj"", -10.4814], [""ħam"", -10.4814], [""-aj-"", -11.2432], [""-at-"", -11.2432], [""-b"", -11.3633], [""-r"", -11.3633], [""-iʃ"", -11.5351], [""kˤamħ"", -11.5993], [""muxx"", -11.6622]]"
aadi	U₃	-10.9467	"[[""U₃"", -10.9467], [""ħdθ-"", -12.1883], [""θin-"", -13.2671], [""hwj"", -13.2847], [""ħam"", -13.2847], [""-at-"", -13.8491], [""-aj-"", -13.8491], [""muxx-"", -14.3124], [""ħamθ-"", -14.3724], [""-r"", -14.4053]]"
aadik	θ̣ahr	-13.3321	"[[""θ̣ahr"", -13.3321], [""θ̣abj"", -13.3327], [""θ̣urr"", -13.3327], [""θ̣ipr"", -13.3327], [""θin-"", -13.832], [""ħam"", -13.9365], [""U₃"", -13.9506], [""θuːm"", -13.98], [""θawr"", -13.9874], [""θapr"", -13.9874]]"
aadiki	θin-	-16.0737	"[[""θin-"", -16.0737], [""θ̣upr-"", -16.1238], [""θ̣ill-"", -16.1238], [""θ̣urr-"", -16.1238], [""θuːm-"", -16.1278], [""θ̣ahr"", -16.1317], [""θ̣urr"", -16.1322], [""θ̣abj"", -16.1322], [""θ̣ipr"", -16.1322], [""θuːm"", -16.1543]]"
aadikit	θuːm-	-18.2995	"[[""θuːm-"", -18.2995], [""θ̣upr-"", -18.5565], [""θ̣ill-"", -18.5565], [""θ̣urr-"", -18.5565], [""θin-"", -18.8072], [""θuːm"", -18.8685], [""ħamθ-"", -19.2039], [""ħamw-"", -19.2128], [""xamʃ-"", -19.2128], [""ħalkˤ"", -19.2128]]"
aadikite	θuːm	-16.1917	"[[""θuːm"", -16.1917], [""ħam"", -17.5277], [""ħaliːb"", -18.3847], [""xatˤm"", -18.8032], [""tihaːm"", -18.9115], [""xatan"", -19.3694], [""θuːm-"", -19.4423], [""θalɡ"", -19.8521], [""ħupn"", -19.8521], [""raħim"", -20.2442]]"
aadikites	θuːm-	-19.0448	"[[""θuːm-"", -19.0448], [""θuːm"", -19.6978], [""θin-"", -20.3783], [""ximʔat"", -21.0005], [""ħam"", -21.0349], [""ħaliːb-"", -21.2375], [""ħisˤ́n-"", -21.4887], [""tihaːm-"", -21.7645], [""ħaliːb"", -21.89], [""hadad-"", -22.0342]]"
aadikitesi	θuːm-	-21.8687	"[[""θuːm-"", -21.8687], [""θ̣amiʔ-"", -23.0036], [""θuːm"", -23.2035], [""θin-"", -23.2044], [""ximʔat"", -23.8013], [""ħaliːb-"", -24.0609], [""ħisˤ́n-"", -24.3095], [""ħam"", -24.5421], [""tihaːm-"", -24.5885], [""hadad-"", -24.7805]]"
aaj	U₃	-8.1187	"[[""U₃"", -8.1187], [""-at-"", -11.2432], [""-aj-"", -11.2432], [""-b"", -11.3633], [""-r"", -11.3633], [""-iʃ"", -11.5351], [""ða-"", -12.1474], [""ba-"", -12.1474], [""laː"", -12.1474], [""la-"", -12.1474]]"
aaja	U₃	-10.9467	"[[""U₃"", -10.9467], [""-aj-"", -13.8491], [""-at-"", -13.8491], [""-r"", -14.4053], [""-b"", -14.4053], [""-iʃ"", -14.5247], [""laː"", -14.9765], [""ba-"", -14.9765], [""ða-"", -14.9765], [""la-"", -14.9765]]"
aau	U₃	-8.1187	"[[""U₃"", -8.1187], [""-at-"", -11.2432], [""-aj-"", -11.2432], [""-b"", -11.3633], [""-r"", -11.3633], [""-iʃ"", -11.5351], [""ða-"", -12.1474], [""ba-"", -12.1474], [""laː"", -12.1474], [""la-"", -12.1474]]"
ada	U₃	-8.1187	"[[""U₃"", -8.1187], [""ħdθ-"", -9.0879], [""θin-"", -9.7733], [""hwj"", -9.7806], [""ħam"", -9.7806], [""-at-"", -11.2432], [""-aj-"", -11.2432], [""-b"", -11.3633], [""-r"", -11.3633], [""ħamθ-"", -11.4369]]"
adad	muxx	-10.4174	"[[""muxx"", -10.4174], [""U₃"", -10.9467], [""ħdθ-"", -11.5058], [""θin-"", -12.1964], [""θ̣ahr"", -12.4878], [""hwj"", -12.5898], [""ħam"", -12.5898], [""ħamθ-"", -12.8776], [""muxx-"", -13.4074], [""-aj-"", -13.8491]]"
adada	ħdθ-	-12.4981	"[[""ħdθ-"", -12.4981], [""ħamθ-"", -12.6224], [""muxx-"", -13.2635], [""muxx"", -13.9218], [""U₃"", -13.9506], [""θin-"", -14.8666], [""θalaːθ-"", -14.869], [""ħaraθ-"", -14.9671], [""θ̣ahr"", -15.2703], [""ħam"", -15.6808]]"
