lost	top1_known	score	top10
aad	adam	-7.6438	"[[""adam"", -7.6438], [""ijam"", -7.6438], [""asan"", -7.6438], [""AM"", -8.1187], [""DH"", -8.1187], [""hauv"", -8.2121], [""aiva"", -8.286], [""asman"", -8.4284], [""buːm"", -8.5154], [""ʰuvar"", -8.8228]]"
aadi	aiva	-7.584	"[[""aiva"", -7.584], [""adama"", -10.1802], [""nava"", -10.5775], [""anija"", -10.6615], [""hama"", -10.7673], [""zana"", -10.7673], [""ʰuvar"", -10.8275], [""amah"", -10.8313], [""asaina"", -10.9271], [""AM"", -10.9467]]"
aadik	aiva	-10.4026	"[[""aiva"", -10.4026], [""anija"", -12.7416], [""apamaː"", -12.9912], [""adama"", -12.9981], [""naamaa"", -13.2176], [""nava"", -13.2222], [""hainaa"", -13.2496], [""Apamaː"", -13.251], [""avadaː"", -13.4121], [""ʰuvar"", -13.486]]"
aadiki	aiva	-13.5025	"[[""aiva"", -13.5025], [""anija"", -15.3029], [""avadaː"", -15.3459], [""apamaː"", -15.4372], [""naamaa"", -15.4927], [""hainaa"", -15.6882], [""Apamaː"", -15.697], [""naːmaː"", -16.0734], [""maːnaː"", -16.0734], [""adama"", -16.0969]]"
aadikit	aiva	-17.0051	"[[""aiva"", -17.0051], [""avadaː"", -17.7597], [""apamaː"", -18.2639], [""Apamaː"", -18.5238], [""maːnaː"", -18.6128], [""naːmaː"", -18.6128], [""anija"", -18.6742], [""naamaa"", -18.9706], [""hainaa"", -19.1835], [""maːtaː"", -19.4838]]"
aadikite	maniʃ	-19.5647	"[[""maniʃ"", -19.5647], [""maːhiʃ"", -19.9607], [""aiva"", -20.2179], [""vahuʃ"", -20.3187], [""buːmiʃ"", -20.4559], [""Maːhiʃ"", -20.6052], [""avadaː"", -20.6928], [""nautʃiʃ"", -21.0875], [""apamaː"", -21.3667], [""anija"", -21.3722]]"
aadikites	-ika	-22.7713	"[[""-ika"", -22.7713], [""maguʃa"", -22.8541], [""maniʃ"", -23.07], [""maːhiʃ"", -23.4602], [""aiva"", -23.494], [""avadaː"", -23.5217], [""araika"", -23.6626], [""vahuʃ"", -23.8226], [""buːmiʃ"", -23.9623], [""Manaitʃah"", -23.9895]]"
aadikitesi	-ika	-25.5949	"[[""-ika"", -25.5949], [""maguʃa"", -25.6748], [""vaʃana"", -26.3444], [""avadaː"", -26.4051], [""araika"", -26.4842], [""maniʃ"", -26.574], [""Manaitʃah"", -26.6553], [""vaʃanaa"", -26.6674], [""naamaa"", -26.7362], [""aiva"", -26.8093]]"
aaj	DH	-8.1187	"[[""DH"", -8.1187], [""AM"", -8.1187], [""aita"", -9.6999], [""aiva"", -9.6999], [""idaa"", -10.0091], [""-ika"", -10.0108], [""asa"", -10.0909], [""idaː"", -10.3132], [""utaː"", -10.3132], [""-paː"", -10.5782]]"
aaja	aθaga	-10.6614	"[[""aθaga"", -10.6614], [""daθa"", -10.7673], [""DH"", -10.9467], [""AM"", -10.9467], [""aiva"", -12.0908], [""aita"", -12.0908], [""idaa"", -12.2812], [""-ika"", -12.4047], [""utaː"", -12.592], [""idaː"", -12.592]]"
aau	AM	-8.1187	"[[""AM"", -8.1187], [""DH"", -8.1187], [""idaː"", -10.3357], [""utaː"", -10.3357], [""-paː"", -10.5972], [""asa"", -10.8767], [""aiva"", -10.8875], [""aita"", -10.8875], [""-ika"", -11.1862], [""idaa"", -11.7876]]"
ada	aiva	-7.6003	"[[""aiva"", -7.6003], [""nava"", -7.8049], [""anija"", -7.8472], [""amah"", -8.012], [""AM"", -8.1187], [""DH"", -8.1187], [""zana"", -8.2523], [""hama"", -8.2523], [""adama"", -8.5016], [""madu"", -8.8089]]"
adad	asman	-8.1664	"[[""asman"", -8.1664], [""tuvam"", -8.2465], [""nava"", -9.1627], [""maniʃ"", -9.4944], [""anija"", -9.9251], [""aiva"", -9.9426], [""ijam"", -10.0398], [""asan"", -10.0398], [""adam"", -10.0398], [""amah"", -10.4288]]"
adada	nava	-8.5736	"[[""nava"", -8.5736], [""aiva"", -10.0059], [""tuvama"", -10.782], [""naːma"", -10.9792], [""asamana"", -11.0222], [""manaha"", -11.3316], [""vaʃana"", -11.3337], [""maniʃ"", -11.5064], [""asman"", -11.6656], [""tuvam"", -11.7455]]"
adadau	nava	-12.0691	"[[""nava"", -12.0691], [""aiva"", -13.5018], [""naːmaː"", -13.7862], [""maːnaː"", -13.7862], [""tuvama"", -14.2759], [""manaha"", -14.4189], [""naːma"", -14.4256], [""maniʃ"", -14.4356], [""asamana"", -14.5117], [""avadaː"", -14.7705]]"
adadaut	nava	-15.5646	"[[""nava"", -15.5646], [""maːnaː"", -16.5991], [""naːmaː"", -16.5991], [""aiva"", -16.9978], [""maniʃ"", -17.5763], [""manaha"", -17.6192], [""avadaː"", -17.6483], [""tuvama"", -17.77], [""naːma"", -17.8485], [""asamana"", -18.0011]]"
adadauti	nava	-18.3939	"[[""nava"", -18.3939], [""maːnaː"", -19.6645], [""naːmaː"", -19.6645], [""manaha"", -19.6948], [""aiva"", -19.8354], [""naamaa"", -20.2416], [""naːma"", -20.5036], [""tuvama"", -20.5918], [""maniʃ"", -20.662], [""avadaː"", -20.7021]]"
adadautin	nava	-21.494	"[[""nava"", -21.494], [""manaha"", -22.4264], [""maːnaː"", -22.5695], [""naːmaː"", -22.5695], [""naamaa"", -22.6302], [""aiva"", -22.9388], [""vaʃanaa"", -23.232], [""naːma"", -23.4675], [""avadaː"", -23.4901], [""u-man-na"", -23.5601]]"
adadautinu	nava	-24.9974	"[[""nava"", -24.9974], [""maːnaː"", -25.5059], [""naːmaː"", -25.5059], [""manaha"", -25.8512], [""naamaa"", -26.1227], [""avadaː"", -26.3135], [""aiva"", -26.4423], [""maːtaː"", -26.6629], [""vaʃanaa"", -26.727], [""naːma"", -26.9261]]"
adau	avadaː	-10.6461	"[[""avadaː"", -10.6461], [""anija"", -10.9305], [""amah"", -10.9403], [""DH"", -10.9467], [""AM"", -10.9467], [""aiva"", -11.0624], [""nava"", -11.1306], [""apamaː"", -11.3266], [""Apamaː"", -11.6277], [""maːh"", -11.6481]]"
adaut	avadaː	-13.2546	"[[""avadaː"", -13.2546], [""DH"", -13.9506], [""AM"", -13.9506], [""amah"", -14.0808], [""anija"", -14.1288], [""apamaː"", -14.1534], [""maːh"", -14.3681], [""Apamaː"", -14.4544], [""nava"", -14.4779], [""aiva"", -14.5249]]"
adauti	avadaː	-16.1495	"[[""avadaː"", -16.1495], [""anija"", -16.2005], [""naːma"", -16.4793], [""nava"", -16.8322], [""DH"", -17.0572], [""AM"", -17.0572], [""maːnaː"", -17.0636], [""naːmaː"", -17.0636], [""maːtaː"", -17.1304], [""amah"", -17.1666]]"
adautin	avadaː	-18.6136	"[[""avadaː"", -18.6136], [""anija"", -18.9315], [""naːmaː"", -19.0665], [""maːnaː"", -19.0665], [""naːma"", -19.0692], [""maːtaː"", -19.0905], [""nava"", -19.6569], [""naamaa"", -19.8967], [""madu"", -19.9001], [""maːh"", -20.1959]]"
adautinu	avadaː	-21.2542	"[[""avadaː"", -21.2542], [""maːnaː"", -21.5096], [""naːmaː"", -21.5096], [""maːtaː"", -21.5227], [""anija"", -22.3564], [""naːma"", -22.4082], [""marɡaː"", -22.8692], [""nava"", -23.0988], [""amaːstriː"", -23.1313], [""maːh"", -23.2204]]"
adautinui	avadaː	-24.268	"[[""avadaː"", -24.268], [""naːmaː"", -24.4343], [""maːnaː"", -24.4343], [""maːtaː"", -24.4443], [""naːma"", -25.0587], [""anija"", -25.2091], [""naamaa"", -25.3768], [""marɡaː"", -25.8327], [""amaːstriː"", -26.014], [""nava"", -26.018]]"
adautinuin	avadaː	-27.2187	"[[""avadaː"", -27.2187], [""naːmaː"", -27.2343], [""maːnaː"", -27.2343], [""maːtaː"", -27.241], [""naamaa"", -27.7266], [""naːma"", -27.9385], [""anija"", -28.2221], [""amaːstriː"", -28.6701], [""marɡaː"", -28.6737], [""Amaːstriː"", -28.9856]]"
adaw	avadaː	-10.6461	"[[""avadaː"", -10.6461], [""anija"", -10.9305], [""amah"", -10.9403], [""DH"", -10.9467], [""AM"", -10.9467], [""aiva"", -11.0624], [""nava"", -11.1306], [""apamaː"", -11.3266], [""Apamaː"", -11.6277], [""maːh"", -11.6481]]"
adawa	anija	-12.9984	"[[""anija"", -12.9984], [""avadaː"", -13.226], [""nava"", -13.5343], [""naːma"", -13.7042], [""aiva"", -13.7897], [""amah"", -13.8866], [""AM"", -13.9506], [""DH"", -13.9506], [""madu"", -13.9649], [""apamaː"", -14.1456]]"
adawai	avadaː	-15.4986	"[[""avadaː"", -15.4986], [""anija"", -15.6742], [""naːma"", -16.1276], [""nava"", -16.3418], [""maːnaː"", -16.3545], [""naːmaː"", -16.3545], [""maːtaː"", -16.3974], [""madu"", -16.6422], [""naamaa"", -16.7019], [""aiva"", -16.7933]]"
adawaij	avadaː	-18.0458	"[[""avadaː"", -18.0458], [""anija"", -18.5502], [""maːnaː"", -18.6266], [""naːmaː"", -18.6266], [""maːtaː"", -18.648], [""naamaa"", -18.734], [""naːma"", -18.7975], [""nava"", -19.2977], [""madu"", -19.5193], [""marɡaː"", -19.7029]]"
adawaija	avadaː	-20.7856	"[[""avadaː"", -20.7856], [""naamaa"", -21.1144], [""naːmaː"", -21.1686], [""maːnaː"", -21.1686], [""maːtaː"", -21.1813], [""anija"", -21.5386], [""naːma"", -21.6079], [""marɡaː"", -22.2885], [""nava"", -22.3396], [""madu"", -22.5089]]"
adi	aiva	-7.6003	"[[""aiva"", -7.6003], [""nava"", -7.8049], [""anija"", -7.8472], [""amah"", -8.012], [""AM"", -8.1187], [""DH"", -8.1187], [""zana"", -8.2523], [""hama"", -8.2523], [""adama"", -8.5016], [""madu"", -8.8089]]"
adik	anija	-9.923	"[[""anija"", -9.923], [""nava"", -10.2874], [""aiva"", -10.3577], [""avadaː"", -10.601], [""amah"", -10.6714], [""madu"", -10.8885], [""DH"", -10.9467], [""AM"", -10.9467], [""hama"", -11.071], [""zana"", -11.071]]"
adiki	anija	-12.4829	"[[""anija"", -12.4829], [""avadaː"", -12.5288], [""nava"", -13.0587], [""naːma"", -13.3403], [""aiva"", -13.3647], [""madu"", -13.4499], [""naamaa"", -13.5808], [""amah"", -13.5849], [""naij"", -13.7496], [""apamaː"", -13.7515]]"
adikit	avadaː	-14.9406	"[[""avadaː"", -14.9406], [""anija"", -15.8539], [""naːmaː"", -15.9541], [""maːnaː"", -15.9541], [""maːtaː"", -15.9965], [""naːma"", -16.4524], [""nava"", -16.4713], [""apamaː"", -16.5689], [""marɡaː"", -16.6914], [""amah"", -16.7214]]"
adikite	maːhiʃ	-16.4633	"[[""maːhiʃ"", -16.4633], [""maniʃ"", -16.4661], [""vahuʃ"", -16.816], [""nautʃiʃ"", -17.6047], [""avadaː"", -17.8731], [""Maːhiʃ"", -17.9625], [""anija"", -18.5509], [""naːmaː"", -18.6677], [""maːnaː"", -18.6677], [""maːtaː"", -18.6962]]"
