lost	top1_known	score	top10
aad	rom	-7.5598	"[[""rom"", -7.5598], [""maw"", -11.095], [""pʰoke"", -12.6278], [""arai"", -12.6713], [""awis"", -12.6862], [""aker"", -13.447], [""maras"", -13.8323], [""siwai"", -13.8476], [""ziwai"", -13.8476], [""tawarzio"", -14.2894]]"
aadi	rom	-10.4152	"[[""rom"", -10.4152], [""pʰoke"", -12.4389], [""maw"", -14.5883], [""heloke"", -15.7931], [""arai"", -15.7991], [""awis"", -15.8138], [""aker"", -15.8822], [""maras"", -16.9168], [""siwai"", -16.932], [""ziwai"", -16.932]]"
aadik	rom	-13.5311	"[[""rom"", -13.5311], [""pʰoke"", -15.9206], [""maw"", -18.0784], [""epteziu"", -18.1112], [""aker"", -18.8794], [""arai"", -19.0203], [""awis"", -19.0348], [""heloke"", -19.2292], [""ziwai"", -19.7688], [""tawarzio"", -19.7763]]"
aadiki	rom	-16.7578	"[[""rom"", -16.7578], [""pʰoke"", -18.0811], [""heloke"", -20.6885], [""epteziu"", -20.8044], [""maw"", -21.5655], [""aker"", -21.6703], [""arai"", -22.2959], [""awis"", -22.3103], [""zeronaitʰ"", -22.631], [""serunaitʰ"", -22.652]]"
aadikit	rom	-15.3963	"[[""rom"", -15.3963], [""pʰoke"", -21.5818], [""epteziu"", -23.7941], [""marasm"", -24.0524], [""heloke"", -24.1722], [""maw"", -24.4383], [""aomai"", -24.6314], [""aker"", -24.7632], [""zeronaitʰ"", -25.2604], [""serunaitʰ"", -25.4545]]"
aadikite	rom	-18.9026	"[[""rom"", -18.9026], [""pʰoke"", -25.0822], [""epteziu"", -26.9105], [""aomai"", -27.4486], [""maw"", -27.5508], [""marasm"", -27.5524], [""heloke"", -27.6481], [""zeronaitʰ"", -27.9416], [""aker"", -27.9773], [""serunaitʰ"", -28.3848]]"
aadikites	rom	-22.4088	"[[""rom"", -22.4088], [""hulaies"", -28.2368], [""pʰoke"", -28.5805], [""awis"", -28.9449], [""tis"", -29.2244], [""maras"", -29.4037], [""epteziu"", -29.9993], [""zeronaitʰ"", -30.2439], [""aomai"", -30.5414], [""maw"", -30.7685]]"
aadikitesi	rom	-25.9151	"[[""rom"", -25.9151], [""zeronaitʰ"", -30.5466], [""pʰoke"", -30.9652], [""epteziu"", -31.718], [""hulaies"", -31.7392], [""serunaitʰ"", -31.7525], [""heloke"", -32.4267], [""awis"", -32.4479], [""napʰotʰ"", -32.5876], [""tis"", -32.6343]]"
aaj	rom	-9.5503	"[[""rom"", -9.5503], [""maw"", -11.095], [""arai"", -12.6713], [""awis"", -12.6862], [""aker"", -13.447], [""maras"", -13.8323], [""siwai"", -13.8476], [""ziwai"", -13.8476], [""tis"", -14.7934], [""marasm"", -16.1701]]"
aaja	rom	-12.5792	"[[""rom"", -12.5792], [""maw"", -13.2451], [""aker"", -15.2632], [""arai"", -15.4908], [""awis"", -15.5058], [""maras"", -16.2694], [""siwai"", -16.2848], [""ziwai"", -16.2848], [""tis"", -17.8279], [""marasm"", -18.6307]]"
aau	rom	-9.5503	"[[""rom"", -9.5503], [""maw"", -11.095], [""aker"", -12.4462], [""arai"", -12.6713], [""awis"", -12.6862], [""maras"", -13.8323], [""siwai"", -13.8476], [""ziwai"", -13.8476], [""pʰoke"", -14.6178], [""tis"", -14.7934]]"
ada	rom	-7.5867	"[[""rom"", -7.5867], [""maw"", -10.4276], [""aker"", -12.5541], [""arai"", -12.8218], [""awis"", -12.8365], [""pʰoke"", -12.881], [""maras"", -13.8458], [""siwai"", -13.8611], [""ziwai"", -13.8611], [""tis"", -14.7934]]"
adad	rom	-10.2236	"[[""rom"", -10.2236], [""maw"", -13.9281], [""pʰoke"", -15.031], [""arai"", -15.807], [""ewistʰuo"", -15.8133], [""awis"", -15.8217], [""aker"", -16.0274], [""maras"", -16.6606], [""siwai"", -16.6759], [""ziwai"", -16.6759]]"
adada	rom	-13.2657	"[[""rom"", -13.2657], [""maw"", -16.3436], [""pʰoke"", -17.9684], [""aker"", -18.1999], [""arai"", -18.6834], [""awis"", -18.6983], [""maras"", -19.2641], [""ewistʰuo"", -19.2684], [""siwai"", -19.2795], [""ziwai"", -19.2795]]"
adadau	rom	-16.4567	"[[""rom"", -16.4567], [""pʰoke"", -18.7742], [""maw"", -19.8479], [""aker"", -21.3915], [""arai"", -21.7958], [""awis"", -21.8107], [""heloke"", -22.1578], [""maras"", -22.2927], [""siwai"", -22.3081], [""ziwai"", -22.3081]]"
adadaut	rom	-14.9935	"[[""rom"", -14.9935], [""pʰoke"", -21.6227], [""marasm"", -22.9733], [""maw"", -23.2082], [""aomai"", -24.0058], [""aker"", -24.6519], [""heloke"", -25.0059], [""arai"", -25.0123], [""awis"", -25.0272], [""serunaitʰ"", -25.428]]"
adadauti	rom	-18.4998	"[[""rom"", -18.4998], [""pʰoke"", -18.8693], [""heloke"", -22.2532], [""aker"", -26.0692], [""marasm"", -26.4742], [""maw"", -26.5837], [""aomai"", -26.8211], [""pʰokiasiale"", -27.7514], [""serunaitʰ"", -28.2431], [""zeronaitʰ"", -28.2431]]"
adadautin	rom	-22.006	"[[""rom"", -22.006], [""pʰoke"", -22.3765], [""heloke"", -25.7603], [""aker"", -28.9475], [""aomai"", -29.9134], [""maw"", -29.9713], [""marasm"", -29.9729], [""zeronaitʰ"", -31.1824], [""serunaitʰ"", -31.1824], [""pʰokiasiale"", -31.2434]]"
adadautinu	rom	-25.5122	"[[""rom"", -25.5122], [""pʰoke"", -25.8827], [""heloke"", -29.2649], [""aker"", -32.0567], [""aomai"", -33.1209], [""maw"", -33.3688], [""marasm"", -33.4691], [""zeronaitʰ"", -34.2066], [""serunaitʰ"", -34.2066], [""pʰokiasiale"", -34.7228]]"
adau	rom	-10.688	"[[""rom"", -10.688], [""pʰoke"", -13.5324], [""maw"", -13.9281], [""aker"", -15.3818], [""arai"", -15.807], [""awis"", -15.8217], [""maras"", -16.6606], [""siwai"", -16.6759], [""ziwai"", -16.6759], [""heloke"", -16.87]]"
adaut	rom	-9.073	"[[""rom"", -9.073], [""pʰoke"", -16.3755], [""maw"", -17.0487], [""marasm"", -17.3412], [""aomai"", -18.0421], [""aker"", -18.4759], [""arai"", -18.9603], [""awis"", -18.9749], [""maras"", -19.6109], [""heloke"", -19.7112]]"
