ISO	Source	Entries
aar	wikipron	1582
abc	abvd	123
abd	abvd	300
abk	northeuralex	980
abk	wikipron	141
abl	abvd	477
abp	abvd	139
abs	abvd	200
abx	abvd	279
ace	abvd	397
acw	wikipron	2252
ady	northeuralex	928
ady	wikipron	5118
aek	abvd	363
afb	wikipron	719
afr	wikipron	2019
agf	abvd	176
agn	abvd	237
agt	abvd	177
agv	abvd	178
agw	abvd	415
ahb	abvd	867
aia	abvd	341
aie	abvd	217
aii	wikipron	4543
ain	northeuralex	857
ais	abvd	190
aji	abvd	358
ajp	wikipron	3124
akb	abvd	237
akg	abvd	451
akk	wikipron	601
akl	abvd	235
akr	abvd	278
akt	abvd	206
ale	northeuralex	895
ale	wikipron	113
alj	abvd	244
alm	abvd	111
alp	abvd	375
alu	abvd	424
amh	wikipron	378
ami	abvd	643
amk	abvd	187
amq	abvd	202
and	abvd	185
ane	abvd	551
ang	wikipron	22094
anx	abvd	171
aok	abvd	139
aor	abvd	152
aot	wikipron	181
aoz	abvd	205
apb	abvd	1188
app	abvd	544
aps	abvd	169
apw	wikipron	147
apx	abvd	121
aqc	wold	1101
aqr	abvd	135
ara	wikipron	13339
arb	northeuralex	1087
arc	wikipron	1167
arg	wikipron	298
arn	wold	1267
ary	wikipron	2043
arz	wikipron	200
asl	abvd	314
asm	wikipron	2925
ast	wikipron	1010
asz	abvd	160
atd	abvd	233
atk	abvd	579
att	abvd	200
aty	abvd	708
atz	abvd	208
aua	abvd	183
aud	abvd	215
aui	abvd	165
aul	abvd	790
aut	abvd	406
ava	northeuralex	954
avb	abvd	165
axx	abvd	326
ayl	wikipron	163
aze	wikipron	382
azj	northeuralex	1017
baa	abvd	839
bak	northeuralex	962
bak	wikipron	124
ban	abvd	286
ban	wikipron	410
bar	wikipron	1516
bay	abvd	205
bbc	abvd	231
bbl	wikipron	167
bbn	abvd	154
bbn	wikipron	192
bca	sinotibetan	268
bcd	abvd	120
bch	abvd	201
bcl	abvd	429
bcl	wikipron	4927
bcm	abvd	247
bcu	abvd	247
bdd	abvd	202
bdg	abvd	159
bdl	abvd	1184
bdq	wikipron	193
beg	abvd	210
bei	abvd	213
bek	abvd	222
bel	northeuralex	1042
bel	wikipron	5508
ben	northeuralex	929
ben	wikipron	9651
bgi	abvd	285
bgt	abvd	413
bgz	abvd	203
bhp	abvd	241
bhq	abvd	214
bhv	abvd	81
bhw	abvd	354
biq	abvd	103
bjb	wikipron	136
bjk	abvd	151
bjl	abvd	166
bjn	abvd	211
bkd	abvd	209
bki	abvd	175
bku	abvd	410
bkz	abvd	519
blf	abvd	205
blp	abvd	311
blq	abvd	103
blt	wikipron	239
blw	abvd	178
blx	abvd	138
bmk	abvd	151
bna	abvd	198
bnd	abvd	205
bnf	abvd	366
bnk	abvd	517
bnn	abvd	900
bno	abvd	129
bnp	abvd	196
bnq	abvd	232
bnr	abvd	186
bny	abvd	208
bod	sinotibetan	298
bod	wikipron	2698
bpa	abvd	478
bpk	abvd	143
bpr	abvd	232
bps	abvd	222
bre	northeuralex	923
bre	wikipron	765
brj	abvd	988
brr	abvd	201
brz	abvd	152
bsk	northeuralex	863
bsu	abvd	135
btn	abvd	190
bto	abvd	231
btr	abvd	408
btw	abvd	273
btx	abvd	218
bty	abvd	378
bua	northeuralex	1169
bua	wikipron	123
bug	abvd	239
bul	northeuralex	1106
bul	wikipron	42228
