lost	top1_known	score	top10
aad	†=km	-9.2112	"[[""†=km"", -9.2112], [""*sb"", -9.4442], [""*ar"", -9.4442], [""*iβr"", -9.7684], [""*ebr"", -9.7684], [""†sin"", -9.8054], [""*mn-"", -9.899], [""†da-"", -9.9412], [""†=ms"", -9.9561], [""*ma"", -10.0355]]"
aadi	*mn-	-11.622	"[[""*mn-"", -11.622], [""†da-"", -12.2084], [""*ur°"", -12.2171], [""γίσσα"", -12.2879], [""†=km"", -12.5455], [""*tub-"", -12.6444], [""†=ms"", -12.7106], [""†=l̩"", -12.8341], [""†=k̑"", -12.8341], [""*sb"", -12.8717]]"
aadik	γίσσα	-13.742	"[[""γίσσα"", -13.742], [""γέl̩α"", -14.0808], [""†=l̩"", -14.1568], [""bal"", -14.2156], [""pjdl"", -14.3182], [""sarl"", -14.3182], [""*mn-"", -14.3933], [""ἄl̩α"", -14.8777], [""†da-"", -14.9404], [""ml̩n"", -15.0036]]"
aadiki	†=l̩	-13.7946	"[[""†=l̩"", -13.7946], [""γίσσα"", -15.7621], [""γέl̩α"", -16.0323], [""ἄl̩α"", -17.0], [""ml̩n"", -17.2257], [""*mn-"", -17.4007], [""†=n / ɲ"", -17.5406], [""†ɲmail̩"", -17.6881], [""bal"", -17.71], [""pjdl"", -17.8251]]"
aadikit	γέl̩α	-16.5915	"[[""γέl̩α"", -16.5915], [""†=l̩"", -16.6185], [""ἄl̩α"", -17.647], [""γίσσα"", -18.1288], [""†=n / ɲ"", -19.9185], [""ml̩n"", -19.9496], [""γrds ?"", -20.5095], [""†ɲmail̩"", -20.5107], [""*mn-"", -20.5201], [""Κβωðης"", -20.5883]]"
aadikite	ml̩n	-18.3722	"[[""ml̩n"", -18.3722], [""†=n / ɲ"", -18.4329], [""γέl̩α"", -19.05], [""†=l̩"", -19.7228], [""†joml̩n"", -20.0564], [""ἄl̩α"", -20.1098], [""γίσσα"", -20.7122], [""lrTɲ"", -22.711], [""uioml̩n"", -23.1572], [""*arliom"", -23.309]]"
aadikites	ml̩n	-21.8743	"[[""ml̩n"", -21.8743], [""γέl̩α"", -21.8803], [""†=n / ɲ"", -21.9232], [""ἄl̩α"", -22.942], [""†=l̩"", -22.9427], [""γίσσα"", -23.4428], [""†joml̩n"", -23.5585], [""*mn-"", -24.6075], [""*al- (?)"", -25.6204], [""aɲ (?)"", -25.9456]]"
aadikitesi	γέl̩α	-24.8844	"[[""γέl̩α"", -24.8844], [""ml̩n"", -25.3752], [""†=n / ɲ"", -25.3962], [""ἄl̩α"", -25.9475], [""†=l̩"", -26.2261], [""γίσσα"", -26.2798], [""†joml̩n"", -27.0593], [""*mn-"", -27.4636], [""*al- (?)"", -27.6552], [""κόον / κοῖον"", -27.9662]]"
aaj	†=l̩	-10.3944	"[[""†=l̩"", -10.3944], [""†=k̑"", -10.3944], [""jsm"", -10.4814], [""jbt"", -10.4814], [""=kʷ"", -10.5658], [""ἄl̩α"", -10.7232], [""γίσσα"", -10.7315], [""†=ð"", -10.7566], [""†=ʃ"", -10.7566], [""†=t"", -10.7566]]"
aaja	γίσσα	-12.2879	"[[""γίσσα"", -12.2879], [""†=k̑"", -12.8341], [""†=l̩"", -12.8341], [""γέl̩α"", -13.0021], [""ἄl̩α"", -13.0467], [""jbt"", -13.2847], [""jsm"", -13.2847], [""=kʷ"", -13.3352], [""†=t"", -13.5167], [""†=ʃ"", -13.5167]]"
aau	†=ð	-5.6649	"[[""†=ð"", -5.6649], [""sav"", -9.7388], [""aið"", -9.7388], [""†=k̑"", -10.3944], [""†=l̩"", -10.3944], [""ðen"", -10.4814], [""=kʷ"", -10.5658], [""ἄl̩α"", -10.7232], [""γίσσα"", -10.7315], [""†=ʃ"", -10.7566]]"
ada	*mn-	-8.9384	"[[""*mn-"", -8.9384], [""†da-"", -9.4242], [""*ur°"", -9.6629], [""*ma"", -10.0294], [""nu?"", -10.1108], [""no-"", -10.1108], [""eb-"", -10.1366], [""†bið-"", -10.1911], [""*sb"", -10.2276], [""*ar"", -10.2276]]"
adad	*mn-	-11.0514	"[[""*mn-"", -11.0514], [""ml̩n"", -11.192], [""lrTɲ"", -11.2174], [""*iβr"", -11.2629], [""*ebr"", -11.2629], [""dəbr"", -11.5129], [""†=km"", -11.6622], [""naz"", -11.6996], [""mar"", -11.6996], [""ann"", -11.8348]]"
adada	*mn-	-11.3493	"[[""*mn-"", -11.3493], [""γίσσα"", -13.742], [""γrds ?"", -14.2171], [""†da-"", -14.5593], [""ml̩n"", -14.684], [""*ur°"", -14.6969], [""lrTɲ"", -14.7092], [""*tarb-"", -14.7489], [""*ebr"", -14.7566], [""*iβr"", -14.7566]]"
