lost	top1_known	score	top10
aad	up	-5.2145	"[[""up"", -5.2145], [""ih"", -5.2145], [""oː"", -7.6608], [""hop"", -8.0248], [""peh"", -8.0248], [""hep"", -8.0248], [""puh"", -8.0248], [""weh"", -8.0248], [""ħep"", -8.1132], [""new"", -8.1132]]"
aadi	upo	-7.6086	"[[""upo"", -7.6086], [""ih"", -8.7207], [""up"", -8.7207], [""wi"", -9.404], [""we"", -9.404], [""he"", -9.404], [""hepi"", -10.3365], [""uperi"", -10.3737], [""oː"", -10.4859], [""ħepo"", -10.507]]"
aadik	upo	-11.1063	"[[""upo"", -11.1063], [""up"", -12.2269], [""ih"", -12.2269], [""hoː"", -12.2275], [""he"", -12.902], [""wi"", -12.902], [""we"", -12.902], [""uperi"", -13.4608], [""oː"", -13.4899], [""uper"", -13.5223]]"
aadiki	upo	-13.931	"[[""upo"", -13.931], [""hoː"", -15.0526], [""uperi"", -15.4709], [""we"", -15.7291], [""he"", -15.7291], [""wi"", -15.7291], [""ih"", -15.7327], [""up"", -15.7327], [""hepi"", -16.3348], [""ehti"", -16.3937]]"
aadikit	upo	-17.036	"[[""upo"", -17.036], [""hoː"", -17.8836], [""uperi"", -18.1301], [""we"", -18.8355], [""he"", -18.8355], [""wi"", -18.8355], [""up"", -19.238], [""ih"", -19.238], [""hepi"", -19.2411], [""ehti"", -19.3114]]"
aadikite	upo	-20.1891	"[[""upo"", -20.1891], [""hoː"", -20.8415], [""uperi"", -20.8827], [""we"", -21.9901], [""he"", -21.9901], [""wi"", -21.9901], [""hepi"", -22.1738], [""ehti"", -22.2906], [""penkʷe"", -22.4752], [""heːdti"", -22.4842]]"
aadikites	upo	-23.6947	"[[""upo"", -23.6947], [""hoː"", -23.8806], [""uperi"", -24.3254], [""wejhoː"", -25.3546], [""he"", -25.4958], [""we"", -25.4958], [""wi"", -25.4958], [""hepi"", -25.6412], [""uper"", -25.7731], [""ehti"", -25.7755]]"
aadikitesi	upo	-26.9923	"[[""upo"", -26.9923], [""hoː"", -27.0691], [""uperi"", -27.2579], [""wejhoː"", -28.3718], [""penkʷe"", -28.4291], [""heːdti"", -28.43], [""piː́ts"", -28.6428], [""hepi"", -28.6994], [""wi"", -28.795], [""we"", -28.795]]"
aaj	oː	-7.6608	"[[""oː"", -7.6608], [""kek"", -8.0248], [""dek"", -8.1132], [""wek"", -8.1132], [""nek"", -8.1132], [""ħek"", -8.1132], [""bak"", -8.1132], [""lek"", -8.1132], [""pek"", -8.1132], [""jek"", -8.1132]]"
aaja	ke	-9.404	"[[""ke"", -9.404], [""ku"", -9.404], [""kʷ"", -9.8641], [""oː"", -10.4859], [""peku"", -10.507], [""sekʷ"", -10.9667], [""pekʷ"", -10.9667], [""tekʷ"", -10.9667], [""wekʷ"", -10.9667], [""ɣʷekʷ"", -11.1244]]"
