lost	known	score
a i	, aêm	-6.1954
a d	-iʃta	-6.2941
 id	aem?	-6.2961
 in	aem?	-6.2961
 ip	aem?	-6.2961
 it	aem?	-6.2961
 da	[-]	-8.1319
 ja	[-]	-8.1319
 sa	[-]	-8.1319
 un	[-]	-8.1319
 ut	[-]	-8.1319
a j	[-]	-8.1319
a s	[-]	-8.1319
a u	[-]	-8.1319
 idi	aeːm	-9.1675
 ipi	aeːm	-9.1675
 iti	aeːm	-9.1675
a da	-iʃta	-9.1687
 uti	aeːm	-9.1741
a in	aem?	-9.1842
 ina	aem?	-9.1905
 dad	[-]	-10.4013
 jad	[-]	-10.4013
 jas	[-]	-10.4013
 sar	[-]	-10.4013
 una	[-]	-10.4013
a ja	[-]	-10.4013
a sa	[-]	-10.4013
a ut	[-]	-10.4013
a dad	-iʃta	-12.0495
 ipin	aem?	-12.0645
a ina	aem?	-12.0787
 inai	aeːm	-12.333
 jadi	aeːm	-12.3374
 inaj	aem?	-12.3681
 utin	aeːm	-12.7536
 dada	[-]	-13.0914
 jasa	[-]	-13.0914
 sara	[-]	-13.0914
 unak	[-]	-13.0914
a jad	[-]	-13.0914
a sar	[-]	-13.0914
a dada	-iʃta	-15.2138
a jadi	aeːm	-15.2354
 ipina	aem?	-15.2376
a inaj	aem?	-15.2563
 inaid	aem?	-15.4202
 inaja	aem?	-15.6624
 jadik	aeːm	-15.9172
 dada 	[-]	-15.9921
 jasas	[-]	-15.9921
 saram	[-]	-15.9921
 unaka	[-]	-15.9921
 utinu	[-]	-15.9921
a sara	[-]	-15.9921
a jadik	-iʃta	-16.9747
 jadiki	aeːʃːma	-18.2871
a dada 	-iʃta	-18.4939
 ipinam	aem?	-18.5297
a inaja	aem?	-18.5506
 utinu i	-, aem	-18.6026
 inaida	aem?	-18.6589
 inajar	aem?	-19.0206
 dada u	[-]	-19.0212
 jasasa	[-]	-19.0212
 sarame	[-]	-19.0212
 unakan	[-]	-19.0212
 utinu 	[-]	-19.0212
a saram	[-]	-19.0212
a jadiki	-iʃta	-19.8896
 jadikit	aeːʃːma	-21.1956
a dada u	-iʃta	-21.8379
 ipinama	aem?	-21.8868
a inajar	aem?	-21.9089
 dada ut	[-]	-22.1374
 inajare	[-]	-22.1374
 jasasar	[-]	-22.1374
 sarame 	[-]	-22.1374
 unakana	[-]	-22.1374
a sarame	[-]	-22.1374
