lost	known	score
 id	-r	-6.3297
a d	-r	-6.3297
a u	-r	-6.3297
 da	-r	-7.0113
 un	-r	-7.0113
 ut	-r	-7.0113
 it	dam	-7.7391
 in	U₃	-7.9737
 ip	U₃	-7.9737
 ja	U₃	-7.9737
 sa	U₃	-7.9737
a i	U₃	-7.9737
a j	U₃	-7.9737
a s	U₃	-7.9737
 dad	-r	-9.219
 jad	-r	-9.5072
a ina	-aj-	-9.7525
 idi	-r	-9.9076
a da	-r	-9.9076
a ut	-r	-9.9076
 ina	-aj-	-10.1719
 una	-aj-	-10.1719
a in	-aj-	-10.322
 iti	dam-	-10.4833
 uti	dam-	-10.4833
 ipi	U₃	-10.8715
 jas	U₃	-10.8715
 sar	U₃	-10.8715
a ja	U₃	-10.8715
a sa	U₃	-10.8715
 dada	barr-	-11.9049
a dad	-r	-12.3969
a inaj	-aj-	-12.6481
a jad	-r	-12.8012
 unak	-aj-	-13.0304
 inai	-aj-	-13.0668
 inaj	-aj-	-13.0668
 jadi	-r	-13.0856
 utin	dam-	-13.3786
 ipin	hwj	-13.8381
 jasa	U₃	-13.9468
 sara	U₃	-13.9468
a sar	U₃	-13.9468
a dada	barr-	-14.7931
 dada 	barr-	-14.8029
a inaja	-aj-	-15.826
 utinu	-r	-15.9765
 unaka	-aj-	-16.1416
 inaid	-r	-16.1592
 inaja	-aj-	-16.2404
a jadi	-r	-16.3799
 jadik	-r	-16.6636
 ipina	-aj-	-16.7939
 jasas	U₃	-17.1256
 saram	U₃	-17.1256
a sara	U₃	-17.1256
a dada 	barr-	-17.6912
 dada u	barr-	-17.9707
 sarame	daθʔ	-18.3217
 unakan	-aj-	-18.9256
 utinu 	barr-	-19.0435
 unakana	-aj-	-19.0961
a inajar	-aj-	-19.1203
 inaida	-aj-	-19.529
 inajar	-aj-	-19.529
 ipinam	-aj-	-19.6996
a jadik	-r	-19.9583
 jadiki	-r	-20.2411
 jasasa	U₃	-20.3723
a saram	U₃	-20.3723
 sarame 	atta	-20.8263
 dada ut	barr-	-20.8481
a dada u	barr-	-20.86
a sarame	-iʃ	-21.2941
 utinu i	barr-	-21.9489
 inajare	bajt	-22.0545
 ipinama	-aj-	-22.8776
a jadiki	-r	-23.5364
 jadikit	U₃	-23.6673
 jasasar	U₃	-23.6673
