lost	known	score
a sar	pʰoke	-8.4058
 id	rom	-9.9648
 in	maw	-9.9648
 un	maw	-9.9648
a d	rom	-9.9648
 da	maw	-10.0039
a i	pʰoke	-11.098
a j	pʰoke	-11.098
a s	pʰoke	-11.098
a u	pʰoke	-11.098
 it	siasi	-11.2751
 sar	pʰoke	-11.3099
a da	pʰoke	-11.8767
a ja	pʰoke	-11.8767
a sa	pʰoke	-11.8767
a sara	pʰoke	-11.9837
 ip	pʰoke	-12.1022
 dad	rom	-12.8477
 ut	arai	-12.8567
a in	aker	-13.0547
 jad	rom	-13.1318
 ja	aker	-13.1353
 sa	aker	-13.1353
 iti	siasi	-13.4026
 ina	siwai	-13.52
 idi	rom	-13.5427
 una	maw	-13.5427
 ipi	aomai	-13.809
a ut	pʰoke	-13.8506
 sara	aker	-14.1291
 inai	siwai	-14.1395
 uti	siasi	-14.3935
a dad	pʰoke	-14.7641
a jad	pʰoke	-14.7641
a ina	pʰoke	-14.8663
a saram	pʰoke	-15.5615
 jas	pʰoke	-15.7052
 unak	awis	-15.964
 dada	maw	-16.0515
 jasa	pʰoke	-16.2649
 utin	siwai	-16.3646
 inajar	pʰoke	-16.3663
 ipin	maw	-16.4143
 inaj	siwai	-16.6845
 jadi	rom	-16.7103
 inaid	rom	-16.7197
 jadik	tis	-16.9171
 saram	aker	-17.0434
a dada	pʰoke	-17.2674
a inajar	pʰoke	-17.3235
a inaj	pʰoke	-17.7726
a jadi	pʰoke	-17.9117
 jasasar	pʰoke	-18.1713
 dada 	pʰoke	-19.1213
 jasas	pʰoke	-19.1213
a sarame	pʰoke	-19.1391
 ipina	pʰoke	-19.1751
 unaka	napʰotʰ	-19.3281
 utinu	siwai	-19.3453
 inaja	pʰoke	-19.8288
 inajare	pʰoke	-19.9465
 sarame	aker	-20.2197
 inaida	rom	-20.2912
 jadiki	tis	-20.317
a jadik	tis	-20.317
a dada 	pʰoke	-20.3296
a inaja	pʰoke	-20.3951
 jasasa	pʰoke	-21.3989
 unakan	aker	-22.049
 ipinam	pʰoke	-22.0946
 dada u	pʰoke	-22.2354
 jadikit	siasi	-22.4846
 utinu 	siwai	-22.5454
a jadiki	pʰokiasiale	-23.0721
 utinu i	siwai	-23.2537
 sarame 	aker	-23.5073
a dada u	pʰoke	-23.5595
 ipinama	pʰoke	-24.8933
 unakana	pʰoke	-24.9735
 dada ut	pʰoke	-25.4526
