lost	known	score
 ja	betu	-7.0747
 sa	binu	-7.0991
a s	bxr	-7.1157
a sa	baθnu	-7.763
 sara	buqlu	-8.3805
 da	dabħu	-9.5755
a j	at	-9.6152
 jas	btˤl	-9.8575
a ja	betu	-9.9632
 id	dbħ	-9.9648
a d	dbħ	-9.9648
a u	bnʃ	-9.9648
 sar	bxr	-10.2596
 ip	ap	-10.2792
 un	bnʃ	-10.6525
 ut	bnʃ	-10.6525
a i	ajk	-10.6525
 jad	betu	-10.6551
 jasa	buqlu	-11.2533
a sar	baθnu	-11.3418
a sara	buqlu	-11.9485
 saram	buqlu	-11.9605
a da	dabħu	-12.1855
 dad	dbħ	-12.8477
 in	bxr	-13.0915
 it	bxr	-13.0915
 idi	dbħ	-13.5427
a ut	bnʃ	-13.5427
a jad	betu	-13.5436
 ipi	ap	-13.8407
 una	bnʃ	-14.2271
 uti	bnʃ	-14.2271
a in	ajk	-14.2271
 jadi	betu	-14.2354
 dada	dabħu	-14.8034
 jasas	buqlu	-14.8179
 ina	daːdu	-15.0175
 jasasa	buqlu	-15.3778
a saram	buqlu	-15.5285
 sarame	buqlu	-15.5402
a dad	dabħu	-15.7635
 inaj	at	-16.2662
 iti	bxr	-16.3597
a ina	buqlu	-16.3676
 inaja	buqlu	-16.3767
a jadi	betu	-17.124
 ipin	ap	-17.4022
a dada	dabħu	-17.742
 unak	bnʃ	-17.8002
 utin	bnʃ	-17.8002
 jadik	betu	-17.8157
 dada 	dabħu	-18.384
 inai	daːdu	-18.5569
 jasasar	buqlu	-18.9549
a inaj	buqlu	-19.0885
a sarame	buqlu	-19.1082
 sarame 	buqlu	-19.1196
 unaka	arsˤ	-19.1517
a inaja	buqlu	-19.522
 inajar	buqlu	-19.5689
 utinu	bnʃ	-19.5843
 inaid	dbħ	-19.7605
a jadik	betu	-20.7044
 ipina	daːdu	-20.8065
a dada 	dabħu	-21.3225
 jadiki	betu	-21.396
 inaida	dabħu	-21.4422
 dada u	dabħu	-21.9645
 unakan	arsˤ	-22.0496
a inajar	buqlu	-22.7254
 inajare	buqlu	-22.8704
 utinu 	ajk	-23.1432
 ipinam	ap	-23.4157
a jadiki	betu	-24.2847
a dada u	dabħu	-24.9031
 unakana	buqlu	-24.964
 jadikit	betu	-24.9763
 dada ut	dabħu	-25.5449
 ipinama	buqlu	-26.001
 utinu i	ajk	-26.7224
