lost	known	score
 da	AD	-7.9737
 id	AD	-7.9737
 in	AD	-7.9737
 ip	AD	-7.9737
 it	AD	-7.9737
 ja	AD	-7.9737
 sa	AD	-7.9737
 un	AD	-7.9737
 ut	AD	-7.9737
a d	AD	-7.9737
a i	AD	-7.9737
a j	AD	-7.9737
a s	AD	-7.9737
a u	AD	-7.9737
a da	AD-usi	-10.0636
 idi	AD-usi	-10.0818
 dad	AB₂	-10.4013
 ina	AB₂	-10.4013
 ipi	AB₂	-10.4013
 iti	AB₂	-10.4013
 jad	AB₂	-10.4013
 jas	AB₂	-10.4013
 sar	AB₂	-10.4013
 una	AB₂	-10.4013
 uti	AB₂	-10.4013
a in	AB₂	-10.4013
a ja	AB₂	-10.4013
a sa	AB₂	-10.4013
a ut	AB₂	-10.4013
 dada	AD-usi	-11.4734
 jadi	AD-usi	-11.5578
 unaka	Aldi	-11.6815
a dada	AD-usi	-12.3654
a jadi	AD-usi	-12.4456
a dad	AD-usi	-12.5111
 inai	A.SI	-12.8689
 inaj	A.SI	-12.8689
 ipin	A.SI	-12.8689
 jasa	A.SI	-12.8689
 sara	A.SI	-12.8689
 unak	A.SI	-12.8689
 utin	A.SI	-12.8689
a ina	A.SI	-12.8689
a jad	A.SI	-12.8689
a sar	A.SI	-12.8689
 dada 	AD-usi	-14.3235
 jadik	AD-usi	-14.3975
 inaida	AD-usi	-14.4983
 unakan	Aldi	-14.5727
a dada 	AD-usi	-15.2578
a jadik	AD-usi	-15.3245
 inaid	AD.AD	-15.3513
 inaja	AD.AD	-15.3513
 ipina	AD.AD	-15.3513
 jasas	AD.AD	-15.3513
 saram	AD.AD	-15.3513
 utinu	AD.AD	-15.3513
a inaj	AD.AD	-15.3513
a sara	AD.AD	-15.3513
 jadiki	Aldi	-15.6625
 unakana	Aldi	-17.7486
 dada u	AD.AD	-17.7626
 inajar	AD.AD	-17.7626
 ipinam	AD.AD	-17.7626
 jasasa	AD.AD	-17.7626
 sarame	AD.AD	-17.7626
 utinu 	AD.AD	-17.7626
a inaja	AD.AD	-17.7626
a saram	AD.AD	-17.7626
a jadiki	AD-usi	-18.4899
a dada u	AD-usi	-18.8327
 jadikit	Aldi	-19.2366
 dada ut	AN.BAR	-20.1553
 inajare	AN.BAR	-20.1553
 ipinama	AN.BAR	-20.1553
 jasasar	AN.BAR	-20.1553
 sarame 	AN.BAR	-20.1553
 utinu i	AN.BAR	-20.1553
a inajar	AN.BAR	-20.1553
a sarame	AN.BAR	-20.1553
