lost	known	score
a u	)si	-3.4349
 ut	asua	-5.3342
a d	)s	-6.3237
a i	)s	-6.3237
a j	)s	-6.3237
a s	)s	-6.3237
 un	-u	-7.0113
a ut	)si	-7.0144
 id	hil	-7.0504
 da	-Ø	-7.9737
 in	-Ø	-7.9737
 ip	-Ø	-7.9737
 it	-Ø	-7.9737
 ja	-Ø	-7.9737
 sa	-Ø	-7.9737
 uti	asua	-8.9128
a da	)s	-9.9016
a in	)s	-9.9016
a ja	)s	-9.9016
a sa	)s	-9.9016
 dad	-l(a)	-10.513
 idi	hil	-10.5802
 una	-u	-10.5858
 ina	-Ø	-10.8715
 ipi	-Ø	-10.8715
 iti	-Ø	-10.8715
 jad	-Ø	-10.8715
 jas	-Ø	-10.8715
 sar	-Ø	-10.8715
 utinu	ihi	-12.1156
 utin	asua	-12.4913
 dada	-l(a)	-12.9218
a dad	-s(i)	-13.1756
a ina	-s(i)	-13.1756
a jad	-s(i)	-13.1756
a sar	-s(i)	-13.1756
 inai	-Ø	-13.9468
 inaj	-Ø	-13.9468
 ipin	-Ø	-13.9468
 jadi	-Ø	-13.9468
 jasa	-Ø	-13.9468
 sara	-Ø	-13.9468
 unak	-Ø	-13.9468
 dada 	)s	-15.4673
 utinu 	ihi	-15.6952
a dada	-l(a)	-15.8924
a inaj	-s(i)	-16.055
a jadi	-s(i)	-16.055
a sara	-s(i)	-16.055
 dada u	)si	-16.1571
 inaid	hil	-16.2263
 jadik	-l(a)	-16.5879
 inaja	-Ø	-17.1256
 ipina	-Ø	-17.1256
 jasas	-Ø	-17.1256
 saram	-Ø	-17.1256
 unaka	-Ø	-17.1256
a dada 	-l(a)	-18.6214
a inaja	-s(i)	-19.0697
a jadik	-s(i)	-19.0697
a saram	-s(i)	-19.0697
 jadiki	-l(a)	-19.2449
 utinu i	ihi	-19.2718
a dada u	)si	-19.4024
 sarame	-u	-19.5579
 jasasa	-l(a)	-19.6584
 dada ut	)si	-19.7367
 inaida	hil	-19.7959
 inajar	-Ø	-20.3723
 ipinam	-Ø	-20.3723
 unakan	-Ø	-20.3723
 jadikit	)na	-20.6415
a sarame	)si	-21.3117
 sarame 	-s(i)	-21.972
a inajar	-s(i)	-22.1754
a jadiki	-s(i)	-22.1754
 jasasar	-l(a)	-22.7071
 inajare	-u	-22.9845
 ipinama	-Ø	-23.6673
 unakana	-Ø	-23.6673
