lost	known	score
 in	=k	-5.6394
 un	=k	-5.6394
 ipi	=in	-6.727
 ip	Kile	-6.9508
a d	amu	-7.1302
a i	amu	-7.1302
a j	amu	-7.1302
a s	amu	-7.1302
a u	amu	-7.1302
 ja	Mlːim	-7.3343
 uti	=in	-7.4108
 ina	Mlːim	-8.3925
 id	=tlː	-8.6276
 it	=tlː	-8.6276
a in	=k	-8.817
 iti	=dãn	-9.0454
 idi	=dãn	-9.047
 ut	=in	-9.0817
a ja	Mlːim	-9.1377
 da	=ms	-9.1388
 sa	=ms	-9.1388
 una	=k	-9.219
 inaja	Mlːim	-9.4719
 ipin	=in	-10.3074
a da	amu	-10.7075
a sa	amu	-10.7075
a ut	amu	-10.7105
 jad	Mlːim	-10.9124
 jas	Mlːim	-10.9124
 unak	=iʃ	-10.9809
 jadi	=in	-10.9843
 utin	=in	-10.9909
a ina	Mlːim	-11.2855
 inaj	Mlːim	-11.6513
 inai	Mlːim	-11.9283
 dad	=ms	-12.04
 sar	=ms	-12.04
 utinu	Kile	-12.0858
a inaja	Mlːim	-12.3667
a jad	Mlːim	-12.7174
 inajar	Mlːim	-13.0522
 ipina	Mlːim	-13.2382
 jasa	Mlːim	-13.7237
a jadi	=in	-13.8858
a dad	amu	-14.2848
a sar	amu	-14.2848
a inaj	Mlːim	-14.5448
 jadik	=iʃ	-14.5489
 unaka	=iʃ	-14.561
 dada	=mas	-14.7283
 sara	=mas	-14.7283
 saram	=mas	-15.2115
 inaid	Mlːim	-15.4014
 utinu 	Kile	-15.6643
 dada 	amu	-15.8052
a inajar	Mlːim	-15.947
 jasasa	=im, =(u)m	-16.0379
 ipinam	Qlːdãns	-16.167
 inajare	Mlːim	-16.6325
 inaida	Mlːim	-16.7132
 jasas	Mlːim	-17.3012
 jadiki	=in	-17.4412
a jadik	=iʃ	-17.4554
a dada	amu	-17.8576
a sara	amu	-17.8576
 sarame	=mas	-18.122
 unakan	=iʃ	-18.141
a saram	=mas	-18.5019
a dada 	amu	-18.9822
 ipinama	Qlːdãns	-19.0469
 utinu i	Kile	-19.2293
 dada u	amu	-19.3857
 unakana	=im, =(u)m	-19.4969
 jasasar	=im, =(u)m	-19.5384
a jadiki	=in	-20.3481
 jadikit	=in	-21.0201
 sarame 	=mas	-21.3051
a sarame	=mas	-21.4136
a dada u	amu	-22.5627
 dada ut	amu	-22.9661
