lost	known	score
a s	matar	-3.9471
 in	as	-4.6704
 un	as	-4.6704
 sa	ew	-4.6727
 id	ab	-5.361
a d	ab	-5.3626
a j	ab	-5.3626
 da	ab	-5.3633
 ja	ab	-5.3633
 it	e-	-6.7264
 ut	e-	-6.7264
 ip	e-	-6.7324
a i	e-	-7.4112
a u	e-	-7.4112
a sa	matar	-7.5254
 jas	anar	-8.1163
 sar	aini	-8.1604
a in	as	-8.2493
 dad	ab	-8.2508
 ina	as	-8.2508
 jad	ab	-8.2508
 una	as	-8.2508
 idi	ab	-8.9406
a da	ab	-8.9421
a ja	ab	-8.9421
 iti	e-	-9.6222
 uti	e-	-9.6222
 ipi	e-	-9.9096
a ut	e-	-10.3026
a sar	matar	-11.0863
 utin	as	-11.1402
 sara	aini	-11.4639
 jasa	anar	-11.6473
 ipin	as	-11.8266
a dad	ab	-11.8297
a ina	as	-11.8297
a jad	ab	-11.8297
 dada	ab	-11.8312
 inai	as	-11.8312
 inaj	as	-11.8312
 jadi	ab	-11.8312
 unak	as	-11.8312
 unaka	semoun	-13.1291
 jadik	baɡo	-13.3884
 jasas	anar	-13.7256
a sara	noːrikon	-13.8642
 dada 	aini	-14.3481
 utinu	as	-14.7206
 saram	aini	-14.8278
 ipina	as	-15.407
a dada	ab	-15.4101
a inaj	as	-15.4101
a jadi	ab	-15.4101
 inaid	as	-15.4116
 inaja	as	-15.4116
 unakan	semoun	-16.6963
 dada u	ab- (ab-)	-16.7594
a jadik	baɡo	-16.8349
 jadiki	baɡo	-16.9674
a saram	anar (anar)	-16.9841
 jasasa	anar	-17.2902
 sarame 	aini	-17.569
 inajar	aini	-17.7024
a dada 	aini	-17.7047
 sarame	aini	-18.2305
 utinu 	as	-18.3007
 dada ut	ab- (ab-)	-18.8092
 ipinam	as	-18.9874
a inaja	as	-18.9905
 inaida	as	-18.992
 unakana	semoun	-19.1964
a sarame	anar (anar)	-19.4961
 jadikit	ab- (ab-)	-19.9614
 jasasar	ab- (ab-)	-20.2441
a dada u	ab- (ab-)	-20.3341
a jadiki	baɡo	-20.414
a inajar	aini	-21.1002
 inajare	aini	-21.2786
 utinu i	as	-21.8807
 ipinama	as	-22.5679
