lost	known	score
a j	am	-4.6712
 ja	am	-4.6727
a d	ayak	-5.2548
 ip	aal	-7.0756
 da	ahpi	-7.4892
 id	ayak	-7.5
 dad	ahpi	-8.141
a ja	am	-8.2516
 jad	am	-8.2531
 jas	am	-8.2531
a da	ayak	-8.8097
 in	ayak	-8.9006
 sa	ayak	-8.9006
 un	ayak	-8.9006
 sar	antsi	-9.308
 dada 	ahpi	-9.3395
 it	aa	-10.3899
 ut	aa	-10.3899
a i	aa	-10.3899
a s	aa	-10.3899
a u	aa	-10.3899
 ipi	aal	-10.647
 idi	ahpi	-11.0376
 dada	ahpi	-11.0554
a dad	ayak	-11.2986
 ina	ayak	-11.3821
 una	ayak	-11.3821
a jad	ayak	-11.6932
 inaj	am	-11.8266
 jadi	am	-11.8335
 jasa	am	-11.8335
a in	ayak	-12.3901
a sa	ayak	-12.3901
 unak	ayak	-12.7301
 sara	ayak	-12.7306
a sar	antsi	-12.8774
 dada u	ahpi	-12.9183
a dada 	ahpi	-12.9183
 iti	aa	-13.743
 uti	aa	-13.743
a ut	aa	-13.743
 jadik	du ka	-13.894
 ipin	aal	-14.2182
 inaid	ayak	-14.4014
 inai	ayak	-14.441
a dada	ahpi	-14.6341
a ina	ayak	-14.9205
a jadi	ayak	-15.2609
a inaj	am	-15.4055
 inaja	am	-15.407
 jasas	am	-15.4139
 unaka	ayak	-15.6359
 saram	ayak	-15.8927
 utin	ayak	-16.0301
a sara	ayak	-16.3022
 dada ut	ahpi	-16.4971
a dada u	ahpi	-16.4971
a jadik	du ka	-17.4298
 jadiki	du ka	-17.4724
 ipinam	anaku	-17.5304
 ipina	anka	-17.5361
 inaida	ayak	-17.9661
 inajar	abebe	-18.0734
 unakan	ayak	-18.7926
 utinu	ayak	-18.9191
a inaja	am	-18.9859
 jasasa	am	-18.9943
 sarame	ayak	-19.1779
a saram	ayak	-19.4654
 sarame 	atstsaqa	-19.6438
 utinu 	aa	-20.0654
a jadiki	du ka	-21.0081
 jadikit	du ka	-21.0505
 jasasar	batsitsi	-21.0614
 ipinama	anaku	-21.1093
 inajare	abebe	-21.5193
a inajar	abebe	-21.5193
 unakana	ayak	-22.0582
a sarame	ayak	-22.7513
 utinu i	ayak	-23.4957
