lost	known	score
 un	-ar	-2.7434
 ut	-aː	-5.49
 una	aːj	-6.3204
 uti	-aː	-8.3838
a ut	-aː	-8.3838
 da	-aj	-8.5131
 in	-ar	-8.5131
 ip	-am	-8.5131
 ja	-aj	-8.5131
 sa	-aj	-8.5131
a u	-il	-8.6267
a s	-um	-9.1388
 ipi	-n̪kk	-9.1867
a d	-il	-9.4266
a i	-il	-9.4266
a j	-il	-9.4266
 utin	-ar	-9.8982
 unak	aːj	-9.899
 id	-aː	-10.5862
 it	-aː	-10.5862
a da	-aj	-11.4654
a ja	-aj	-11.4654
a sa	-aj	-11.4654
 ina	-aj	-11.467
a in	-ar	-11.467
 sara	-oː	-11.5602
 ipin	-n̪kk	-12.062
 dad	-aj	-12.0652
 jad	-aj	-12.0652
 jas	-aj	-12.0652
 sar	-aj	-12.0652
 unaka	aːj	-12.1045
 idi	-aː	-13.4119
 iti	-aː	-13.4119
 utinu	-ar	-13.4747
 dada	-aj	-14.3009
 jasa	-aj	-14.3009
 saram	-oː	-14.4558
a ina	-aj	-14.5769
 utinu 	-aːl	-14.833
a sara	-oː	-14.853
a dad	-aj	-15.0269
a jad	-aj	-15.0269
a sar	-aj	-15.0269
 inai	-aj	-15.0285
 inaj	-aj	-15.0285
 ipina	-maj	-15.1786
 jadi	-aj	-15.6108
 unakan	aːj	-15.6847
 dada 	-aːl	-16.3945
 dada u	ajja	-16.7401
 sarame	-uɭ	-17.0499
a dada	-aj	-17.436
 inaja	-aj	-17.4365
a saram	-oː	-17.7494
 jasas	-aj	-17.8707
a inaj	-aj	-18.1431
 utinu i	-aːl	-18.4107
 unakana	aːj	-18.4584
 ipinam	-n̪kk	-18.5041
a jadi	-aj	-18.5847
 inaid	-aj	-18.5863
 jadik	-aj	-19.1504
a dada 	-aːl	-19.4741
a dada u	ajja	-19.648
a sarame	-uɭ	-19.9503
 dada ut	ajja	-20.3205
 jasasa	-aj	-20.5509
 sarame 	-uɭ	-20.6302
a inaja	-aj	-20.6528
 inaida	-aj	-20.7835
 inajar	-aj	-21.0091
 ipinama	-maj	-21.3696
 inajare	-oː	-21.6065
a jadik	-aj	-22.139
 jadiki	-aː	-22.6472
 jasasar	-aj	-24.1259
a inajar	-aj	-24.2271
a jadiki	-aj	-25.6899
 jadikit	-aː	-25.8607
