lost	known	score
 it	ti	-3.5765
 ut	ti	-3.5765
 iti	penkaheh	-5.7024
 da	toi	-6.4246
 ip	kos	-7.0504
 id	toi	-7.0756
a i	blatθes	-7.0957
a d	toi	-7.1036
 uti	ti	-7.157
a ut	ti	-7.157
 dad	toi	-9.3261
 in	tai	-9.5872
 ja	tai	-9.5872
 sa	tai	-9.5872
 un	tai	-9.5872
a in	blatθes	-9.9704
 idi	toi	-9.9903
a j	tai	-10.0039
a s	tai	-10.0039
a u	tai	-10.0039
a da	toi	-10.005
 ipi	kos	-10.5802
 jad	toi	-10.628
 utin	ti	-10.7374
 dada	toi	-12.5063
 ina	tai	-12.8669
 jas	tai	-12.8669
 sar	tai	-12.8669
 una	tai	-12.8669
 unak	tan	-12.8723
a dad	toi	-12.9065
a ina	blatθes	-13.1324
a ja	tai	-13.1661
a sa	tai	-13.1661
 jadi	toi	-13.5559
 ipin	kos	-14.1113
a jad	toi	-14.2083
 utinu	ti	-14.3179
 inai	penkaheh	-14.8718
 dada 	toi	-15.7985
a dada	toi	-16.0867
 inaj	tai	-16.2114
 jasa	tai	-16.2114
 sara	tai	-16.2114
 jadik	tan	-16.231
a inaj	blatθes	-16.4122
 unaka	tan	-16.4459
a sar	tai	-16.4461
 dada ut	teuta	-16.4478
 inaid	kos	-17.1112
a jadi	toi	-17.1363
 jadikit	tʰautori	-17.6205
 ipina	kos	-17.6436
 utinu 	ti	-17.8976
a jadik	brendon	-18.9178
 dada u	toi	-19.1556
a dada 	toi	-19.3789
 inaja	tai	-19.5968
 jasas	tai	-19.5968
 saram	tai	-19.5968
a inaja	blatθes	-19.7567
a sara	tai	-19.7907
 jadiki	tan	-19.806
 unakan	tan	-20.0194
 inaida	kos	-20.033
 utinu i	penkaheh	-20.8353
 ipinam	kos	-21.1769
a jadiki	brendon	-22.4947
a dada u	toi	-22.736
 inajar	tai	-23.0107
 jasasa	tai	-23.0107
 sarame	tai	-23.0107
a inajar	blatθes	-23.1421
a saram	tai	-23.1762
 unakana	tan	-23.5927
 ipinama	kos	-24.7114
 sarame 	tai	-26.3379
 inajare	tai	-26.4453
 jasasar	tai	-26.4453
a sarame	tai	-26.5901
