lost	known	score
 id	huː	-2.7431
 in	huː	-2.7431
 ip	huː	-2.7431
 it	huː	-2.7431
 un	hʔ	-3.5765
 idi	huː	-5.6316
 ipi	huː	-5.6316
 iti	huː	-5.6316
 ina	huː	-5.6376
a in	huː	-6.3235
a i	huː	-7.0413
 una	hʔ	-7.157
 da	huː	-8.4294
 ja	huː	-8.4294
 sa	huː	-8.4294
 ut	huː	-8.4294
 ipin	huː	-8.526
 inai	huː	-8.8112
 inaj	huː	-8.8153
a ina	huː	-9.2181
a d	huː	-9.2296
a j	huː	-9.2296
a s	huː	-9.2296
a u	huː	-9.2296
 sar	hmt	-9.5772
 utin	huː	-9.8979
 uti	huː	-10.3322
 unak	hʔ	-10.7374
 dad	huː	-11.4248
 jad	huː	-11.4248
 jas	huː	-11.4248
 ipina	huː	-11.7038
 inaid	huː	-11.8849
a da	huː	-11.9899
a ja	huː	-11.9899
a sa	huː	-11.9899
a ut	huː	-11.9899
 inaja	huː	-12.1096
a inaj	huː	-12.3957
 utinu	huː	-12.7947
 sara	hmt	-13.1485
a sar	hmt	-13.1485
 jadik	huː	-13.4742
 jadi	huː	-13.7374
 saram	kl	-14.3164
 unaka	hʔ	-14.3179
 dada	huː	-14.5535
 jasa	huː	-14.5535
a dad	huː	-14.9905
a jad	huː	-14.9905
 ipinam	huː	-14.9982
 inaida	huː	-15.1309
 inajar	huː	-15.468
a inaja	huː	-15.6901
 utinu 	huː	-15.973
 jadiki	huː	-16.3666
a sara	hmt	-16.72
a jadik	huː	-17.0545
 unakan	hʔ	-17.2064
a jadi	huː	-17.3127
 dada 	huː	-17.7413
 jasas	huː	-17.7659
 sarame	kl	-17.8968
a saram	kl	-17.8968
a dada	huː	-18.1223
 ipinama	huː	-18.3568
 inajare	huː	-18.867
a inajar	huː	-19.0484
 utinu i	huː	-19.2614
 jadikit	huː	-19.2636
 dada u	bʃr	-19.661
a jadiki	huː	-19.947
 jasasa	kkb	-20.6989
 unakana	hʔ	-20.7873
a dada 	huː	-21.3123
 sarame 	kl	-21.4773
a sarame	kl	-21.4773
a dada u	bʃr	-22.958
 jasasar	hmt	-23.0571
 dada ut	bʃr	-23.2415
