lost	known	score
 da	AM	-7.9737
 id	AM	-7.9737
 in	AM	-7.9737
 ip	AM	-7.9737
 it	AM	-7.9737
 ja	AM	-7.9737
 sa	AM	-7.9737
 un	AM	-7.9737
 ut	AM	-7.9737
a d	AM	-7.9737
a i	AM	-7.9737
a j	AM	-7.9737
a s	AM	-7.9737
a u	AM	-7.9737
 uti	Baːtah	-9.0355
 idi	-tʃaa	-9.86
 ipi	-tʃaa	-9.86
 iti	-tʃaa	-9.86
 dad	AM	-10.8715
 ina	AM	-10.8715
 jad	AM	-10.8715
 jas	AM	-10.8715
 sar	AM	-10.8715
 una	AM	-10.8715
a da	AM	-10.8715
a in	AM	-10.8715
a ja	AM	-10.8715
a sa	AM	-10.8715
a ut	AM	-10.8715
 unak	Baːtah	-11.4776
 utin	Baːtah	-11.9092
 utinu	Baːtah	-12.5616
 ipin	-tʃaa	-12.7352
 inai	-tʃaa	-13.4289
 dada	AM	-13.9468
 inaj	AM	-13.9468
 jadi	AM	-13.9468
 jasa	AM	-13.9468
 sara	AM	-13.9468
a dad	AM	-13.9468
a ina	AM	-13.9468
a jad	AM	-13.9468
a sar	AM	-13.9468
 unaka	Baːtah	-15.0534
 utinu 	-paː	-15.1368
 ipina	-tʃaa	-15.896
 utinu i	Baɡapaːtah	-16.0054
 inaid	-tʃaa	-16.3064
 jadik	Baːtah	-16.8432
a inaj	-paː	-17.0247
 dada 	AM	-17.1256
 inaja	AM	-17.1256
 jasas	AM	-17.1256
 saram	AM	-17.1256
a dada	AM	-17.1256
a jadi	AM	-17.1256
a sara	AM	-17.1256
 unakan	Baːtah	-18.6266
 ipinam	-tʃaa	-19.1742
 jadiki	-tʃaa	-19.2263
 inaida	-tʃaa	-19.4675
a jadik	Baːtah	-19.8269
a inaja	-paː	-20.1534
 dada u	AM	-20.3723
 inajar	AM	-20.3723
 jasasa	AM	-20.3723
 sarame	AM	-20.3723
a dada 	AM	-20.3723
a saram	AM	-20.3723
 jadikit	-tʃaa	-22.1038
 unakana	Baːtah	-22.1969
 ipinama	-tʃaa	-22.517
a jadiki	-tʃaa	-22.5836
a inajar	-paː	-23.364
 dada ut	AM	-23.6673
 inajare	AM	-23.6673
 jasasar	AM	-23.6673
 sarame 	AM	-23.6673
a dada u	AM	-23.6673
a sarame	AM	-23.6673
