lost	top1_known	score	top10
aad	stu	-4.0503	"[[""stu"", -4.0503], [""hu"", -4.8513], [""tʃ"", -6.4797], [""pasu"", -6.9096], [""stût"", -7.2454], [""ʃʲ"", -7.3005], [""ʃ́"", -7.3005], [""x́"", -7.3005], [""xʲ"", -7.3005], [""ʃː"", -7.3005]]"
aadi	stu-	-6.9039	"[[""stu-"", -6.9039], [""stu"", -7.5552], [""tuː"", -7.7057], [""hoː"", -7.7057], [""hu-"", -7.7057], [""hu"", -8.358], [""uː"", -9.8641], [""oː"", -9.8641], [""ɔː"", -9.8641], [""tʃ"", -9.9805]]"
aadik	stu-	-9.7269	"[[""stu-"", -9.7269], [""hu-"", -10.5295], [""hoː"", -10.5295], [""tuː"", -10.5295], [""stu"", -11.0601], [""hu"", -11.8647], [""suːra"", -12.0584], [""huraː"", -12.5025], [""uː"", -12.6898], [""oː"", -12.6898]]"
aadiki	stu-	-12.8312	"[[""stu-"", -12.8312], [""hoː"", -13.6347], [""hu-"", -13.6347], [""tuː"", -13.6347], [""stu"", -14.5649], [""huraː"", -14.8519], [""suːra"", -14.8738], [""hu"", -15.3713], [""tûra"", -15.6021], [""sûra"", -15.6021]]"
aadikit	stu-	-16.0516	"[[""stu-"", -16.0516], [""tuː"", -16.856], [""hu-"", -16.856], [""hoː"", -16.856], [""suːra"", -17.3925], [""huraː"", -17.5265], [""stu"", -18.0698], [""xshudra"", -18.4415], [""sûra"", -18.4778], [""tûra"", -18.4778]]"
aadikite	stu-	-19.3356	"[[""stu-"", -19.3356], [""stût"", -20.0727], [""tuː"", -20.1412], [""hu-"", -20.1412], [""hoː"", -20.1412], [""huraː"", -20.3891], [""suːra"", -20.404], [""surunvañt"", -20.6441], [""mɔːŋh"", -20.9843], [""fshujañt"", -21.308]]"
aadikites	stu-	-22.6597	"[[""stu-"", -22.6597], [""huraː"", -23.3935], [""hu-"", -23.4668], [""tuː"", -23.4668], [""hoː"", -23.4668], [""stût"", -23.573], [""suːra"", -23.5751], [""surunvañt"", -24.1377], [""xshudra"", -24.4584], [""mɔːŋh"", -24.4847]]"
aadikitesi	stu-	-26.0117	"[[""stu-"", -26.0117], [""huraː"", -26.4933], [""hoː"", -26.8204], [""hu-"", -26.8204], [""tuː"", -26.8204], [""suːra"", -26.8264], [""stût"", -27.0733], [""surunvañt"", -27.6284], [""xshudra"", -27.6898], [""huraodha"", -27.9411]]"
aaj	x́	-7.3056	"[[""x́"", -7.3056], [""xʷ"", -7.3056], [""ʃʲ"", -7.3056], [""ʃ́"", -7.3056], [""ʃː"", -7.3056], [""xʲ"", -7.3056], [""tʃ"", -7.5483], [""[-]"", -8.4226], [""tʃaː"", -9.3197], [""stu-"", -9.3197]]"
aaja	tʃ	-9.9805	"[[""tʃ"", -9.9805], [""ʃʲ"", -10.3047], [""xʲ"", -10.3047], [""xʷ"", -10.3047], [""x́"", -10.3047], [""ʃː"", -10.3047], [""ʃ́"", -10.3047], [""[-]"", -10.6439], [""tʃaːt"", -11.3254], [""xʃːap"", -11.3926]]"
aau	x́	-7.3056	"[[""x́"", -7.3056], [""xʷ"", -7.3056], [""ʃʲ"", -7.3056], [""ʃ́"", -7.3056], [""ʃː"", -7.3056], [""xʲ"", -7.3056], [""tʃ"", -7.5483], [""[-]"", -8.4226], [""tʃaː"", -9.3197], [""stu-"", -9.3197]]"
ada	tuː	-4.8874	"[[""tuː"", -4.8874], [""hu-"", -4.8874], [""hoː"", -4.8874], [""hu"", -5.538], [""us"", -5.538], [""oː"", -6.36], [""uː"", -6.36], [""ɔː"", -6.36], [""tʃ"", -6.4797], [""stût"", -6.6233]]"
adad	stu	-6.471	"[[""stu"", -6.471], [""hu"", -7.6668], [""hu-"", -7.6867], [""hoː"", -7.6867], [""tuː"", -7.6867], [""pouru"", -7.8758], [""us"", -8.3541], [""us-"", -8.3567], [""ýâtu"", -8.598], [""xshnu"", -8.8374]]"
adada	stût	-8.4934	"[[""stût"", -8.4934], [""stu-"", -9.3145], [""stu"", -9.9759], [""hoː"", -10.122], [""hu-"", -10.122], [""tuː"", -10.122], [""us-"", -10.7911], [""hushka"", -10.9277], [""pouru"", -11.095], [""us"", -11.1738]]"
adadau	stût	-11.9941	"[[""stût"", -11.9941], [""stu-"", -12.1424], [""hu-"", -13.124], [""hoː"", -13.124], [""tuː"", -13.124], [""us-"", -13.4716], [""stu"", -13.4807], [""hushka"", -13.8014], [""kutha"", -14.2612], [""hûxta"", -14.2612]]"
adadaut	stu-	-15.2483	"[[""stu-"", -15.2483], [""stût"", -15.4948], [""hoː"", -16.2974], [""tuː"", -16.2974], [""hu-"", -16.2974], [""puthra"", -16.3069], [""kuthra"", -16.3069], [""us-"", -16.5319], [""pouru"", -16.6879], [""hushka"", -16.9171]]"
adadauti	stu-	-18.4696	"[[""stu-"", -18.4696], [""stût"", -18.9955], [""puthra"", -19.208], [""kuthra"", -19.208], [""hu-"", -19.5549], [""hoː"", -19.5549], [""tuː"", -19.5549], [""pouru"", -19.6662], [""us-"", -19.7309], [""pourva"", -19.876]]"
adadautin	pourva	-21.155	"[[""pourva"", -21.155], [""pourvja"", -21.2787], [""stu-"", -21.7544], [""kuthra"", -22.3396], [""puthra"", -22.3396], [""stût"", -22.4963], [""taurv"", -22.7075], [""pouru"", -22.8289], [""tuː"", -22.8626], [""hoː"", -22.8626]]"
adadautinu	pourva	-24.0243	"[[""pourva"", -24.0243], [""pourvja"", -24.0842], [""stu-"", -25.0795], [""kuthra"", -25.5737], [""puthra"", -25.5737], [""puxða-"", -25.6852], [""stût"", -25.997], [""pouru"", -26.0801], [""hoː"", -26.2037], [""tuː"", -26.2037]]"
adau	hoː	-7.7101	"[[""hoː"", -7.7101], [""hu-"", -7.7101], [""tuː"", -7.7101], [""us-"", -8.3751], [""us"", -9.0391], [""hu"", -9.0433], [""oː"", -9.1841], [""uː"", -9.1841], [""ɔː"", -9.1841], [""tʃ"", -9.9805]]"
adaut	tuː	-10.8143	"[[""tuː"", -10.8143], [""hu-"", -10.8143], [""hoː"", -10.8143], [""us-"", -11.2033], [""puθra"", -11.917], [""suxra"", -11.917], [""suːra"", -12.0612], [""puxdha"", -12.0987], [""oː"", -12.2896], [""uː"", -12.2896]]"
adauti	hu-	-14.0349	"[[""hu-"", -14.0349], [""tuː"", -14.0349], [""hoː"", -14.0349], [""us-"", -14.308], [""suxra"", -14.8073], [""puθra"", -14.8073], [""puxdha"", -14.9088], [""suːra"", -14.9136], [""huraː"", -15.3996], [""uː"", -15.5112]]"
adautin	hoː	-17.3193	"[[""hoː"", -17.3193], [""tuː"", -17.3193], [""hu-"", -17.3193], [""taurv"", -17.4162], [""us-"", -17.5278], [""puθra"", -17.9352], [""suxra"", -17.9352], [""puxða-"", -17.9429], [""puxdha"", -17.9986], [""suːra"", -18.0149]]"
adautinu	puxða-	-20.5123	"[[""puxða-"", -20.5123], [""hu-"", -20.6443], [""tuː"", -20.6443], [""hoː"", -20.6443], [""us-"", -20.811], [""taurv"", -20.9224], [""puθra"", -21.1676], [""suxra"", -21.1676], [""puxdha"", -21.2044], [""huraː"", -21.2093]]"
adautinui	puxða-	-23.3497	"[[""puxða-"", -23.3497], [""hoː"", -23.9973], [""hu-"", -23.9973], [""tuː"", -23.9973], [""us-"", -24.1345], [""huraː"", -24.3037], [""taurv"", -24.4285], [""suxra"", -24.4592], [""puθra"", -24.4592], [""puxdha"", -24.4742]]"
adautinuin	puxða-	-26.2933	"[[""puxða-"", -26.2933], [""taurv"", -27.2408], [""tuː"", -27.3708], [""hu-"", -27.3708], [""hoː"", -27.3708], [""huraː"", -27.4679], [""us-"", -27.4858], [""puxdha"", -27.7846], [""puθra"", -27.7888], [""suxra"", -27.7888]]"
adaw	hu-	-7.7101	"[[""hu-"", -7.7101], [""hoː"", -7.7101], [""tuː"", -7.7101], [""us-"", -8.3751], [""suxra"", -8.4965], [""puθra"", -8.4965], [""puxdha"", -8.6185], [""us"", -9.0391], [""hu"", -9.0433], [""ɔː"", -9.1841]]"
adawa	puxdha	-10.3134	"[[""puxdha"", -10.3134], [""hu-"", -10.8142], [""tuː"", -10.8142], [""hoː"", -10.8142], [""us-"", -11.1957], [""suxra"", -11.3113], [""puθra"", -11.3113], [""uxdha"", -11.7851], [""us"", -11.8617], [""uʃːaŋh"", -11.923]]"
adawai	puxdha	-13.2099	"[[""puxdha"", -13.2099], [""us-"", -14.0257], [""hu-"", -14.0344], [""tuː"", -14.0344], [""hoː"", -14.0344], [""puθra"", -14.4121], [""suxra"", -14.4121], [""uxdha"", -14.6816], [""huraː"", -14.7993], [""suːra"", -15.1321]]"
adawaij	puxdha	-16.3389	"[[""puxdha"", -16.3389], [""us-"", -17.1323], [""tuː"", -17.3185], [""hu-"", -17.3185], [""hoː"", -17.3185], [""puθra"", -17.6301], [""suxra"", -17.6301], [""huraː"", -17.7651], [""uxdha"", -17.8106], [""puxða-"", -18.2916]]"
adawaija	puxdha	-19.3952	"[[""puxdha"", -19.3952], [""us-"", -20.3519], [""hoː"", -20.643], [""tuː"", -20.643], [""hu-"", -20.643], [""huraː"", -20.8458], [""uxdha"", -20.867], [""puθra"", -20.8973], [""suxra"", -20.8973], [""thrush"", -20.9576]]"
adi	hu-	-4.8879	"[[""hu-"", -4.8879], [""tuː"", -4.8879], [""hoː"", -4.8879], [""hu"", -5.5389], [""uː"", -6.36], [""oː"", -6.36], [""ɔː"", -6.36], [""x́"", -7.3056], [""xʲ"", -7.3056], [""xʷ"", -7.3056]]"
adik	tuː	-7.711	"[[""tuː"", -7.711], [""hoː"", -7.711], [""hu-"", -7.711], [""hu"", -9.045], [""ɔː"", -9.1841], [""uː"", -9.1841], [""oː"", -9.1841], [""suːra"", -9.2407], [""huraː"", -9.6842], [""sûra"", -9.8933]]"
adiki	hoː	-10.8157	"[[""hoː"", -10.8157], [""hu-"", -10.8157], [""tuː"", -10.8157], [""huraː"", -12.0331], [""suːra"", -12.0559], [""ɔː"", -12.2896], [""oː"", -12.2896], [""uː"", -12.2896], [""hu"", -12.5512], [""sûra"", -12.783]]"
adikit	hu-	-14.0367	"[[""hu-"", -14.0367], [""hoː"", -14.0367], [""tuː"", -14.0367], [""suːra"", -14.5741], [""huraː"", -14.7074], [""urvan"", -15.4347], [""uː"", -15.5112], [""ɔː"", -15.5112], [""oː"", -15.5112], [""sûra"", -15.6584]]"
adikite	hu-	-17.3215	"[[""hu-"", -17.3215], [""tuː"", -17.3215], [""hoː"", -17.3215], [""huraː"", -17.5699], [""suːra"", -17.5854], [""mɔːŋh"", -17.8856], [""surunvañt"", -17.9306], [""frâdh"", -18.4812], [""udra"", -18.7672], [""tûra"", -18.7815]]"
adikites	huraː	-20.5741	"[[""huraː"", -20.5741], [""tuː"", -20.6467], [""hoː"", -20.6467], [""hu-"", -20.6467], [""suːra"", -20.7565], [""mɔːŋh"", -21.3859], [""surunvañt"", -21.4237], [""udra"", -21.8938], [""frâdh"", -21.9799], [""huraodha"", -22.0002]]"
adikitesi	huraː	-23.6738	"[[""huraː"", -23.6738], [""hu-"", -23.9998], [""hoː"", -23.9998], [""tuː"", -23.9998], [""suːra"", -24.0077], [""mɔːŋh"", -24.8861], [""surunvañt"", -24.9136], [""udra"", -25.1252], [""huraodha"", -25.1275], [""us-"", -25.1475]]"
adikitesir	pandʒ	-26.7964	"[[""pandʒ"", -26.7964], [""huraː"", -26.8401], [""suːra"", -27.3071], [""hu-"", -27.3734], [""tuː"", -27.3734], [""hoː"", -27.3734], [""drudʒ"", -27.6382], [""aodʒ"", -27.6949], [""us-"", -28.271], [""kar-2"", -28.3001]]"
adikitet	suːra	-20.4866	"[[""suːra"", -20.4866], [""huraː"", -20.5462], [""tuː"", -20.6467], [""hu-"", -20.6467], [""hoː"", -20.6467], [""urvan"", -21.0667], [""surunvañt"", -21.3654], [""mɔːŋh"", -21.3775], [""udra"", -21.4567], [""hudhånɡh"", -21.6306]]"
adikitete	surunvañt	-22.6102	"[[""surunvañt"", -22.6102], [""hudhånɡh"", -23.5611], [""huraː"", -23.6043], [""suːra"", -23.6161], [""mɔːŋh"", -23.7231], [""hu-"", -23.9997], [""hoː"", -23.9997], [""tuː"", -23.9997], [""frâdh"", -24.0262], [""puxdha"", -24.1577]]"
