linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	rom	-13.5311	rom (-13.53); pʰoke (-15.92); maw (-18.08)	5
a-a-di-ki	aadiki	rom	-16.7578	rom (-16.76); pʰoke (-18.08); heloke (-20.69)	6
a-a-di-ki-t	aadikit	rom	-15.3963	rom (-15.40); pʰoke (-21.58); epteziu (-23.79)	7
a-a-di-ki-te	aadikite	rom	-18.9026	rom (-18.90); pʰoke (-25.08); epteziu (-26.91)	8
a-a-di-ki-te-s	aadikites	rom	-22.4088	rom (-22.41); hulaies (-28.24); pʰoke (-28.58)	9
a-a-di-ki-te-si	aadikitesi	rom	-25.9151	rom (-25.92); zeronaitʰ (-30.55); pʰoke (-30.97)	10
a-da-da	adada	rom	-13.2657	rom (-13.27); maw (-16.34); pʰoke (-17.97)	5
a-da-da-u	adadau	rom	-16.4567	rom (-16.46); pʰoke (-18.77); maw (-19.85)	6
a-da-da-u-t	adadaut	rom	-14.9935	rom (-14.99); pʰoke (-21.62); marasm (-22.97)	7
a-da-da-u-ti	adadauti	rom	-18.4998	rom (-18.50); pʰoke (-18.87); heloke (-22.25)	8
a-da-da-u-ti-n	adadautin	rom	-22.006	rom (-22.01); pʰoke (-22.38); heloke (-25.76)	9
a-da-da-u-ti-nu	adadautinu	rom	-25.5122	rom (-25.51); pʰoke (-25.88); heloke (-29.26)	10
a-da-u-t	adaut	rom	-9.073	rom (-9.07); pʰoke (-16.38); maw (-17.05)	5
a-da-u-ti	adauti	rom	-12.5791	rom (-12.58); pʰoke (-13.62); heloke (-16.96)	6
a-da-u-ti-n	adautin	rom	-16.0852	rom (-16.09); pʰoke (-17.12); heloke (-20.46)	7
a-da-u-ti-nu	adautinu	rom	-19.5913	rom (-19.59); pʰoke (-20.63); heloke (-23.96)	8
a-da-u-ti-nu-i	adautinui	pʰoke	-23.0064	pʰoke (-23.01); rom (-23.10); heloke (-25.12)	9
a-da-u-ti-nu-i-n	adautinuin	pʰoke	-26.5139	pʰoke (-26.51); rom (-26.60); heloke (-28.63)	10
a-da-wa	adawa	rom	-13.8934	rom (-13.89); maw (-16.34); murinail (-17.86)	5
a-da-wa-i	adawai	rom	-17.1685	rom (-17.17); pʰoke (-18.88); heloke (-19.07)	6
a-da-wa-i-j	adawaij	rom	-20.487	rom (-20.49); pʰoke (-22.38); heloke (-22.57)	7
a-da-wa-i-ja	adawaija	aker	-23.5005	aker (-23.50); rom (-23.83); pʰoke (-25.88)	8
a-di-ki	adiki	rom	-13.9498	rom (-13.95); pʰoke (-15.46); heloke (-17.70)	5
a-di-ki-t	adikit	rom	-12.5812	rom (-12.58); pʰoke (-18.97); epteziu (-20.69)	6
a-di-ki-te	adikite	rom	-16.0874	rom (-16.09); pʰoke (-22.47); epteziu (-23.77)	7
a-di-ki-te-s	adikites	rom	-19.5937	rom (-19.59); hulaies (-25.17); tis (-25.85)	8
a-di-ki-te-si	adikitesi	rom	-23.0999	rom (-23.10); zeronaitʰ (-27.37); pʰoke (-28.19)	9
a-di-ki-te-si-r	adikitesir	rom	-26.6061	rom (-26.61); holaiesi (-28.67); epteziu (-28.91)	10
a-di-ki-te-t	adikitet	rom	-18.9053	rom (-18.91); pʰoke (-25.96); epteziu (-26.92)	8
a-di-ki-te-te	adikitete	rom	-22.4124	rom (-22.41); pʰoke (-29.46); epteziu (-30.13)	9
a-di-ki-te-te-r	adikiteter	rom	-25.9196	rom (-25.92); aomai (-30.17); ziazi (-30.92)	10
a-di-ki-tu	adikitu	rom	-16.0874	rom (-16.09); pʰoke (-22.28); epteziu (-23.77)	7
a-di-ki-tu-j	adikituj	rom	-19.5937	rom (-19.59); pʰoke (-25.63); epteziu (-26.92)	8
a-di-ki-tu-ja	adikituja	rom	-23.0998	rom (-23.10); aker (-26.78); maw (-28.12)	9
a-di-ki-tu-ja-s	adikitujas	rom	-26.6059	rom (-26.61); aker (-30.28); maras (-31.29)	10
a-e-a-di	aeadi	rom	-13.9069	rom (-13.91); pʰoke (-15.32); maw (-17.43)	5
a-e-a-di-k	aeadik	rom	-17.0276	rom (-17.03); pʰoke (-18.80); maw (-20.92)	6
a-e-a-di-ki	aeadiki	rom	-20.2567	rom (-20.26); pʰoke (-20.99); heloke (-23.78)	7
a-e-a-di-ki-t	aeadikit	rom	-18.9026	rom (-18.90); pʰoke (-24.49); marasm (-26.90)	8
a-e-a-di-ki-te	aeadikite	rom	-22.4088	rom (-22.41); pʰoke (-27.99); epteziu (-30.08)	9
a-e-a-di-ki-te-t	aeadikitet	rom	-25.2268	rom (-25.23); pʰoke (-31.49); marasm (-32.91)	10
a-i-da-a	aidaa	aker	-13.9259	aker (-13.93); rom (-14.16); maw (-16.19)	5
a-i-da-a-u	aidaau	rom	-17.3709	rom (-17.37); aker (-17.43); pʰoke (-19.53)	6
a-i-da-j	aidaj	rom	-14.1741	rom (-14.17); aker (-14.62); maw (-17.03)	5
a-i-da-ja	aidaja	rom	-17.3844	rom (-17.38); aker (-17.43); maw (-19.55)	6
a-i-da-ja-s	aidajas	rom	-20.6624	rom (-20.66); aker (-20.94); awis (-21.92)	7
a-i-na-j	ainaj	aker	-14.6188	aker (-14.62); rom (-16.20); maw (-17.03)	5
a-i-na-ja	ainaja	aker	-17.4282	aker (-17.43); rom (-19.35); maw (-19.55)	6
a-i-na-ja-r	ainajar	aker	-20.9352	aker (-20.94); arai (-21.91); siwai (-22.36)	7
a-i-na-ja-re	ainajare	ewistʰuo	-23.666	ewistʰuo (-23.67); aker (-24.44); arai (-25.40)	8
a-i-na-ja-re-t	ainajaret	ewistʰuo	-25.8571	ewistʰuo (-25.86); rom (-26.57); aker (-27.95)	9
a-i-na-ja-re-ta	ainajareta	ewistʰuo	-28.4628	ewistʰuo (-28.46); rom (-30.06); aker (-31.03)	10
a-i-nwa	ainwa	aker	-14.6112	aker (-14.61); rom (-16.36); maw (-16.74)	5
a-i-nwa-z	ainwaz	aker	-17.4244	aker (-17.42); maw (-19.42); rom (-19.46)	6
a-i-nwa-za	ainwaza	aker	-20.5228	aker (-20.52); maw (-22.42); rom (-22.59)	7
a-i-nwa-za-*56	ainwazaΦ	aker	-24.0302	aker (-24.03); rom (-24.31); heloke (-24.42)	8
a-i-nwa-za-*56-n	ainwazaΦn	rom	-27.2069	rom (-27.21); heloke (-27.24); aker (-27.54)	9
a-i-nwa-za-*56-ni	ainwazaΦni	heloke	-27.0955	heloke (-27.10); rom (-30.34); pʰoke (-30.76)	10
a-i-*301-ti	aiΘti	rom	-14.158	rom (-14.16); pʰoke (-17.04); maw (-17.45)	5
a-i-*301-ti-j	aiΘtij	rom	-17.6459	rom (-17.65); pʰoke (-20.54); maw (-20.55)	6
a-i-*301-ti-ja	aiΘtija	aker	-20.0152	aker (-20.02); rom (-21.12); maw (-21.15)	7
a-i-*301-ti-ja-s	aiΘtijas	aker	-23.5214	aker (-23.52); maras (-24.33); rom (-24.59)	8
a-i-*301-ti-ja-sa	aiΘtijasa	aker	-26.337	aker (-26.34); ewistʰuo (-27.15); maw (-27.23)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	ewistʰuo	-29.2424	ewistʰuo (-29.24); maras (-29.77); aker (-29.84)	10
a-i-*301-u-j	aiΘuj	rom	-16.5263	rom (-16.53); aker (-18.46); heloke (-18.78)	5
a-i-*301-u-ja	aiΘuja	aker	-17.8998	aker (-17.90); rom (-19.69); maw (-20.01)	6
a-i-*301-u-t	aiΘut	rom	-13.8934	rom (-13.89); maw (-18.12); aker (-18.46)	5
a-i-*301-u-ti	aiΘuti	heloke	-16.0467	heloke (-16.05); rom (-17.39); pʰoke (-17.44)	6
a-i-*301-u-ti-n	aiΘutin	heloke	-19.5538	heloke (-19.55); rom (-20.88); pʰoke (-20.95)	7
a-i-*301-u-ti-nu	aiΘutinu	heloke	-23.0554	heloke (-23.06); rom (-24.37); pʰoke (-24.45)	8
a-i-*301-u-ti-nu-j	aiΘutinuj	heloke	-26.5569	heloke (-26.56); rom (-27.86); pʰoke (-27.95)	9
a-i-*301-u-ti-nu-ja	aiΘutinuja	aker	-27.3039	aker (-27.30); heloke (-30.06); maw (-31.17)	10
a-i-*301-wa	aiΘwa	aker	-14.6112	aker (-14.61); rom (-16.36); maw (-16.74)	5
a-i-*301-wa-e	aiΘwae	aker	-18.1172	aker (-18.12); rom (-19.57); maw (-20.24)	6
a-i-*301-wa-e-a	aiΘwaea	aker	-20.926	aker (-20.93); rom (-22.75); maw (-22.83)	7
a-i-*301-wa-e-a-d	aiΘwaead	heloke	-24.4189	heloke (-24.42); aker (-24.43); rom (-24.57)	8
a-i-*301-wa-e-a-di	aiΘwaeadi	heloke	-24.1713	heloke (-24.17); rom (-27.48); pʰoke (-27.87)	9
a-i-*301-wa-e-a-di-k	aiΘwaeadik	heloke	-27.6557	heloke (-27.66); epteziu (-29.45); rom (-30.62)	10
a-i-*301-wa-j	aiΘwaj	aker	-18.1172	aker (-18.12); rom (-19.57); maw (-20.24)	6
a-i-*301-wa-ja	aiΘwaja	aker	-20.926	aker (-20.93); rom (-22.75); maw (-22.83)	7
a-i-*301-wa-ja-a	aiΘwajaa	aker	-24.0223	aker (-24.02); maw (-25.80); rom (-25.95)	8
a-i-*301-wa-ja-a-d	aiΘwajaad	ewistʰuo	-27.4553	ewistʰuo (-27.46); aker (-27.53); rom (-27.79)	9
a-i-*301-wa-ja-a-di	aiΘwajaadi	heloke	-27.6282	heloke (-27.63); ewistʰuo (-30.68); rom (-30.70)	10
a-i-*301-wa-ja-a-j	aiΘwajaaj	aker	-27.5296	aker (-27.53); rom (-29.21); maw (-29.31)	9
a-i-*301-wa-ja-a-ja	aiΘwajaaja	aker	-30.7394	aker (-30.74); maw (-32.38); rom (-32.48)	10
a-i-*301-wa-ja-j	aiΘwajaj	aker	-24.4329	aker (-24.43); rom (-26.01); maw (-26.33)	8
a-i-*301-wa-ja-ja	aiΘwajaja	aker	-27.5248	aker (-27.52); maw (-29.24); rom (-29.26)	9
a-i-*301-wa-ja-ja-a	aiΘwajajaa	aker	-30.7359	aker (-30.74); maw (-32.34); rom (-32.52)	10
a-i-*301-wa-ja-ja-d	aiΘwajajad	ewistʰuo	-30.2584	ewistʰuo (-30.26); aker (-31.03); rom (-31.25)	10
a-i-*301-wa-ja-ja-i	aiΘwajajai	heloke	-28.9213	heloke (-28.92); aker (-31.03); rom (-32.56)	10
a-i-*301-wa-ja-ja-j	aiΘwajajaj	aker	-31.0321	aker (-31.03); rom (-32.56); maw (-32.75)	10
a-i-*301-wa-ja-ja-s	aiΘwajajas	aker	-31.0321	aker (-31.03); awis (-31.49); maras (-31.70)	10
