linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	-u	-13.3751	-u (-13.38); -Ø (-13.95); )ke (-14.37)	5
a-a-di-ki	aadiki	-u	-16.8775	-u (-16.88); -Ø (-17.06); -le (-17.86)	6
a-a-di-ki-t	aadikit	pʰuter	-18.7627	pʰuter (-18.76); ker (-19.40); kusen (-19.67)	7
a-a-di-ki-te	aadikite	pʰuter	-22.2698	pʰuter (-22.27); ker (-22.90); kusen (-23.17)	8
a-a-di-ki-te-s	aadikites	pʰuter	-25.7769	pʰuter (-25.78); -l(a) (-26.37); -r(a) (-26.37)	9
a-a-di-ki-te-si	aadikitesi	-l(a)	-28.9952	-l(a) (-29.00); -r(a) (-29.00); pʰuter (-29.28)	10
a-da-da	adada	-u	-12.6898	-u (-12.69); -Ø (-13.95); -nu (-15.28)	5
a-da-da-u	adadau	-u	-16.195	-u (-16.20); -Ø (-17.06); -nu (-18.75)	6
a-da-da-u-t	adadaut	-u	-19.6998	-u (-19.70); ʃur (-19.88); -Ø (-20.23)	7
a-da-da-u-ti	adadauti	-u	-23.2042	-u (-23.20); ʃur (-23.39); -Ø (-23.45)	8
a-da-da-u-ti-n	adadautin	-l(a)	-26.37	-l(a) (-26.37); -r(a) (-26.37); -u (-26.71)	9
a-da-da-u-ti-nu	adadautinu	-l(a)	-28.9952	-l(a) (-29.00); -r(a) (-29.00); θurti (-29.65)	10
a-da-u-t	adaut	ʃur	-13.9034	ʃur (-13.90); -Ø (-13.95); -u (-14.05)	5
a-da-u-ti	adauti	-Ø	-17.0572	-Ø (-17.06); ʃur (-17.41); -u (-17.54)	6
a-da-u-ti-n	adautin	-l(a)	-19.7777	-l(a) (-19.78); -r(a) (-19.78); -Ø (-20.23)	7
a-da-u-ti-nu	adautinu	-l(a)	-22.3944	-l(a) (-22.39); -r(a) (-22.39); -Ø (-23.45)	8
a-da-u-ti-nu-i	adautinui	-l(a)	-25.2232	-l(a) (-25.22); -r(a) (-25.22); -Ø (-26.71)	9
a-da-u-ti-nu-i-n	adautinuin	-l(a)	-28.1806	-l(a) (-28.18); -r(a) (-28.18); θurti (-29.78)	10
a-da-wa	adawa	sukʰ	-13.2807	sukʰ (-13.28); -Ø (-13.95); -u (-14.05)	5
a-da-wa-i	adawai	sukʰ	-16.1052	sukʰ (-16.11); θaukʰ- (-16.75); -Ø (-17.06)	6
a-da-wa-i-j	adawaij	sukʰ	-19.2106	sukʰ (-19.21); θaukʰ- (-19.21); -Ø (-20.23)	7
a-da-wa-i-ja	adawaija	θaukʰ-	-22.0435	θaukʰ- (-22.04); sukʰ (-22.43); -Ø (-23.45)	8
a-di-ki	adiki	-Ø	-13.9506	-Ø (-13.95); -u (-14.05); -le (-14.81)	5
a-di-ki-t	adikit	ker	-16.1101	ker (-16.11); pʰuter (-16.16); kusen (-16.58)	6
a-di-ki-te	adikite	ker	-19.6173	ker (-19.62); pʰuter (-19.67); kusen (-20.08)	7
a-di-ki-te-s	adikites	-l(a)	-23.0549	-l(a) (-23.05); -r(a) (-23.05); ker (-23.12)	8
a-di-ki-te-si	adikitesi	-l(a)	-25.6752	-l(a) (-25.68); -r(a) (-25.68); ker (-26.63)	9
a-di-ki-te-si-r	adikitesir	)nu	-26.4931	)nu (-26.49); -nu (-26.49); eluku (-27.06)	10
a-di-ki-te-t	adikitet	pʰelna	-21.753	pʰelna (-21.75); ker (-22.43); pʰuter (-22.47)	8
a-di-ki-te-te	adikitete	pʰelna	-24.5971	pʰelna (-24.60); -l(a) (-25.54); -r(a) (-25.54)	9
a-di-ki-te-te-r	adikiteter	-nu	-25.6259	-nu (-25.63); )nu (-25.63); etʰunnu (-26.14)	10
a-di-ki-tu	adikitu	ker	-19.6173	ker (-19.62); pʰuter (-19.67); kusen (-20.08)	7
a-di-ki-tu-j	adikituj	-l(a)	-23.0549	-l(a) (-23.05); -r(a) (-23.05); ker (-23.12)	8
a-di-ki-tu-ja	adikituja	-r(a)	-25.6752	-r(a) (-25.68); -l(a) (-25.68); ker (-26.63)	9
a-di-ki-tu-ja-s	adikitujas	-l(a)	-28.5056	-l(a) (-28.51); -r(a) (-28.51); -Ø (-30.00)	10
a-e-a-di	aeadi	-u	-12.9775	-u (-12.98); -Ø (-13.95); )nu (-15.44)	5
a-e-a-di-k	aeadik	-u	-16.4818	-u (-16.48); -Ø (-17.06); )ke (-17.50)	6
a-e-a-di-ki	aeadiki	-u	-19.9855	-u (-19.99); -Ø (-20.23); -ke (-21.00)	7
a-e-a-di-ki-t	aeadikit	pʰuter	-21.6621	pʰuter (-21.66); ker (-22.72); kusen (-22.87)	8
a-e-a-di-ki-te	aeadikite	pʰuter	-25.1692	pʰuter (-25.17); ker (-26.23); kusen (-26.38)	9
a-e-a-di-ki-te-t	aeadikitet	pʰelna	-27.9289	pʰelna (-27.93); pʰuter (-27.97); ker (-29.04)	10
a-i-da-a	aidaa	-u	-13.3751	-u (-13.38); -Ø (-13.95); -nu (-15.97)	5
a-i-da-a-u	aidaau	-u	-16.8775	-u (-16.88); -Ø (-17.06); -nu (-19.40)	6
a-i-da-j	aidaj	-u	-13.3751	-u (-13.38); -Ø (-13.95); -nu (-15.97)	5
a-i-da-ja	aidaja	-u	-16.8775	-u (-16.88); -Ø (-17.06); -nu (-19.40)	6
a-i-da-ja-s	aidajas	-Ø	-20.2315	-Ø (-20.23); -u (-20.38); )nu (-22.83)	7
a-i-na-j	ainaj	-Ø	-13.9506	-Ø (-13.95); tʰal (-15.71); θal (-16.37)	5
a-i-na-ja	ainaja	-Ø	-17.0572	-Ø (-17.06); tʰal (-18.53); θal (-19.58)	6
a-i-na-ja-r	ainajar	-u	-19.3043	-u (-19.30); -Ø (-20.23); )nu (-21.35)	7
a-i-na-ja-re	ainajare	-u	-22.8099	-u (-22.81); -Ø (-23.45); tʰal (-24.62)	8
a-i-na-ja-re-t	ainajaret	laθur	-24.4355	laθur (-24.44); tʰal (-24.48); θurti (-25.19)	9
a-i-na-ja-re-ta	ainajareta	laθur	-27.9426	laθur (-27.94); tʰal (-27.98); θurti (-27.99)	10
a-i-nwa	ainwa	-Ø	-13.9506	-Ø (-13.95); )ke (-15.03); -ka (-15.03)	5
a-i-nwa-z	ainwaz	θaukʰ-	-16.1304	θaukʰ- (-16.13); -Ø (-17.06); -ke (-18.14)	6
a-i-nwa-za	ainwaza	θaukʰ-	-18.5846	θaukʰ- (-18.58); -Ø (-20.23); -ke (-21.36)	7
a-i-nwa-za-*56	ainwazaΦ	θaukʰ-	-21.4129	θaukʰ- (-21.41); twalos (-21.96); -s (-21.97)	8
a-i-nwa-za-*56-n	ainwazaΦn	θaukʰ-	-24.4153	θaukʰ- (-24.42); twalos (-25.46); -s (-25.48)	9
a-i-nwa-za-*56-ni	ainwazaΦni	θaukʰ-	-27.5196	θaukʰ- (-27.52); twalos (-28.97); -s (-28.98)	10
a-i-*301-ti	aiΘti	-Ø	-13.9506	-Ø (-13.95); -r(a) (-14.39); -l(a) (-14.39)	5
a-i-*301-ti-j	aiΘtij	-l(a)	-16.5624	-l(a) (-16.56); -r(a) (-16.56); -Ø (-17.06)	6
a-i-*301-ti-ja	aiΘtija	-l(a)	-19.1764	-l(a) (-19.18); -r(a) (-19.18); -Ø (-20.23)	7
a-i-*301-ti-ja-s	aiΘtijas	-l(a)	-22.004	-l(a) (-22.00); -r(a) (-22.00); -Ø (-23.45)	8
a-i-*301-ti-ja-sa	aiΘtijasa	-r(a)	-24.9606	-r(a) (-24.96); -l(a) (-24.96); -Ø (-26.71)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	-l(a)	-28.0044	-l(a) (-28.00); -r(a) (-28.00); -Ø (-30.00)	10
a-i-*301-u-j	aiΘuj	-Ø	-13.9506	-Ø (-13.95); -s (-17.54); -u (-17.54)	5
a-i-*301-u-ja	aiΘuja	-Ø	-17.0572	-Ø (-17.06); -s (-20.73); -u (-20.73)	6
a-i-*301-u-t	aiΘut	-Ø	-13.9506	-Ø (-13.95); -le (-15.40); -na (-15.40)	5
a-i-*301-u-ti	aiΘuti	-Ø	-17.0572	-Ø (-17.06); -l(a) (-17.59); -r(a) (-17.59)	6
a-i-*301-u-ti-n	aiΘutin	-l(a)	-19.7777	-l(a) (-19.78); -r(a) (-19.78); -Ø (-20.23)	7
a-i-*301-u-ti-nu	aiΘutinu	-l(a)	-22.3944	-l(a) (-22.39); -r(a) (-22.39); -Ø (-23.45)	8
a-i-*301-u-ti-nu-j	aiΘutinuj	-r(a)	-25.2232	-r(a) (-25.22); -l(a) (-25.22); -Ø (-26.71)	9
a-i-*301-u-ti-nu-ja	aiΘutinuja	-l(a)	-28.1806	-l(a) (-28.18); -r(a) (-28.18); -Ø (-30.00)	10
a-i-*301-wa	aiΘwa	-Ø	-13.9506	-Ø (-13.95); -ka (-15.03); )ke (-15.03)	5
a-i-*301-wa-e	aiΘwae	-Ø	-17.0572	-Ø (-17.06); -ka (-18.14); -ke (-18.14)	6
a-i-*301-wa-e-a	aiΘwaea	-Ø	-20.2315	-Ø (-20.23); -ke (-21.36); )ke (-21.36)	7
a-i-*301-wa-e-a-d	aiΘwaead	-u	-22.6578	-u (-22.66); -Ø (-23.45); waku (-24.03)	8
a-i-*301-wa-e-a-di	aiΘwaeadi	-u	-26.1635	-u (-26.16); -Ø (-26.71); waku (-27.53)	9
a-i-*301-wa-e-a-di-k	aiΘwaeadik	-ke	-26.3059	-ke (-26.31); )ke (-26.31); pukʰe (-26.71)	10
a-i-*301-wa-j	aiΘwaj	-Ø	-17.0572	-Ø (-17.06); -ka (-18.14); -ke (-18.14)	6
a-i-*301-wa-ja	aiΘwaja	-Ø	-20.2315	-Ø (-20.23); -ke (-21.36); )ke (-21.36)	7
a-i-*301-wa-ja-a	aiΘwajaa	-Ø	-23.4538	-Ø (-23.45); ikʰ (-24.60); )ke (-24.64)	8
a-i-*301-wa-ja-a-d	aiΘwajaad	-u	-26.0318	-u (-26.03); -Ø (-26.71); waku (-27.53)	9
a-i-*301-wa-ja-a-di	aiΘwajaadi	-u	-29.5376	-u (-29.54); -Ø (-30.00); waku (-31.04)	10
a-i-*301-wa-ja-a-j	aiΘwajaaj	-Ø	-26.712	-Ø (-26.71); ikʰ (-27.88); -ka (-27.96)	9
a-i-*301-wa-ja-a-ja	aiΘwajaaja	-Ø	-29.9981	-Ø (-30.00); ikʰ (-31.20); kʰan (-31.29)	10
a-i-*301-wa-ja-j	aiΘwajaj	-Ø	-23.4538	-Ø (-23.45); ikʰ (-24.60); )ke (-24.64)	8
a-i-*301-wa-ja-ja	aiΘwajaja	-Ø	-26.712	-Ø (-26.71); ikʰ (-27.88); -ka (-27.96)	9
a-i-*301-wa-ja-ja-a	aiΘwajajaa	-Ø	-29.9981	-Ø (-30.00); ikʰ (-31.20); kʰan (-31.29)	10
a-i-*301-wa-ja-ja-d	aiΘwajajad	-u	-29.4215	-u (-29.42); -Ø (-30.00); waku (-31.03)	10
a-i-*301-wa-ja-ja-i	aiΘwajajai	-Ø	-29.9981	-Ø (-30.00); ikʰ (-31.20); kʰan (-31.29)	10
a-i-*301-wa-ja-ja-j	aiΘwajajaj	-Ø	-29.9981	-Ø (-30.00); ikʰ (-31.20); kʰan (-31.29)	10
a-i-*301-wa-ja-ja-s	aiΘwajajas	-Ø	-29.9981	-Ø (-30.00); ikʰ (-31.20); kʰan (-31.29)	10
a-i-*301-wa-ja-s	aiΘwajas	-Ø	-23.4538	-Ø (-23.45); ikʰ (-24.60); -ke (-24.64)	8
a-i-*301-wa-ja-se	aiΘwajase	-Ø	-26.712	-Ø (-26.71); ikʰ (-27.88); -ka (-27.96)	9
a-i-*301-wa-ja-se-k	aiΘwajasek	)ke	-26.3059	)ke (-26.31); -ke (-26.31); pukʰe (-27.43)	10
a-i-*301-wa-ja-t	aiΘwajat	kʰan	-21.7687	kʰan (-21.77); ker (-23.07); -Ø (-23.45)	8
a-i-*301-wa-ja-tu	aiΘwajatu	kʰan	-25.2575	kʰan (-25.26); ker (-26.57); -Ø (-26.71)	9
a-i-*301-wa-ja-tu-r	aiΘwajatur	-nu	-26.164	-nu (-26.16); )nu (-26.16); lupnu (-27.53)	10
a-ja-a-d	ajaad	-u	-12.6937	-u (-12.69); -Ø (-13.95); -nu (-15.02)	5
a-ja-a-di	ajaadi	-u	-16.1989	-u (-16.20); -Ø (-17.06); -nu (-18.50)	6
a-ja-a-di-k	ajaadik	-u	-19.7037	-u (-19.70); -Ø (-20.23); -le (-20.70)	7
a-ja-a-di-ki	ajaadiki	-u	-23.2081	-u (-23.21); -Ø (-23.45); )ke (-24.19)	8
a-ja-a-di-ki-t	ajaadikit	pʰuter	-24.7061	pʰuter (-24.71); ker (-26.08); kusen (-26.13)	9
a-ja-a-di-ki-te	ajaadikite	pʰuter	-28.2132	pʰuter (-28.21); ker (-29.58); kusen (-29.64)	10
a-ja-a-j	ajaaj	-Ø	-13.9506	-Ø (-13.95); -s (-17.54); -u (-17.54)	5
a-ja-a-ja	ajaaja	-Ø	-17.0572	-Ø (-17.06); -s (-20.73); -u (-20.73)	6
a-ja-di	ajadi	-u	-12.9775	-u (-12.98); -Ø (-13.95); )nu (-15.44)	5
a-ja-di-k	ajadik	-u	-16.4818	-u (-16.48); -Ø (-17.06); )ke (-17.50)	6
a-ja-di-ki	ajadiki	-u	-19.9855	-u (-19.99); -Ø (-20.23); -ke (-21.00)	7
a-ja-di-ki-t	ajadikit	pʰuter	-21.6621	pʰuter (-21.66); ker (-22.72); kusen (-22.87)	8
a-ja-di-ki-tu	ajadikitu	pʰuter	-25.1692	pʰuter (-25.17); ker (-26.23); kusen (-26.38)	9
a-ja-di-ki-tu-j	ajadikituj	pʰuter	-28.6763	pʰuter (-28.68); -l(a) (-29.71); -r(a) (-29.71)	10
a-ja-i-n	ajain	-Ø	-13.9506	-Ø (-13.95); ta (-17.38); θal (-17.48)	5
a-ja-i-n-w	ajainw	-Ø	-17.0572	-Ø (-17.06); -ka (-18.67); )ke (-18.67)	6
a-ja-i-nwa	ajainwa	-Ø	-20.2315	-Ø (-20.23); )ke (-21.53); -ka (-21.53)	7
a-ja-i-nwa-z	ajainwaz	θaukʰ-	-23.1261	θaukʰ- (-23.13); -Ø (-23.45); )ke (-24.64)	8
a-ja-i-nwa-za	ajainwaza	θaukʰ-	-25.5816	θaukʰ- (-25.58); -Ø (-26.71); )ke (-27.87)	9
a-ja-i-nwa-za-*56	ajainwazaΦ	θaukʰ-	-28.4103	θaukʰ- (-28.41); -s (-28.73); )s (-28.73)	10
a-ja-ja	ajaja	-Ø	-13.9506	-Ø (-13.95); -s (-17.54); -u (-17.54)	5
a-ja-ja-a	ajajaa	-Ø	-17.0572	-Ø (-17.06); -s (-20.73); -u (-20.73)	6
a-ja-ja-d	ajajad	-u	-15.9787	-u (-15.98); -Ø (-17.06); )nu (-18.16)	6
a-ja-ja-di	ajajadi	-u	-19.4842	-u (-19.48); -Ø (-20.23); -nu (-21.64)	7
a-ja-ja-di-k	ajajadik	-u	-22.9893	-u (-22.99); -Ø (-23.45); )ke (-23.93)	8
a-ja-ja-di-ki	ajajadiki	-u	-26.4941	-u (-26.49); -Ø (-26.71); -ke (-27.43)	9
a-ja-ja-di-ki-t	ajajadikit	pʰuter	-27.8369	pʰuter (-27.84); kusen (-29.44); ker (-29.45)	10
a-ja-ja-i	ajajai	-Ø	-17.0572	-Ø (-17.06); -s (-20.73); -u (-20.73)	6
a-ja-ja-i-n	ajajain	-Ø	-20.2315	-Ø (-20.23); -s(i) (-23.61); -r(a) (-23.61)	7
a-ja-ja-i-n-w	ajajainw	-Ø	-23.4538	-Ø (-23.45); -ke (-25.32); )ke (-25.32)	8
a-ja-ja-i-nwa	ajajainwa	-Ø	-26.712	-Ø (-26.71); -ke (-28.20); )ke (-28.20)	9
a-ja-ja-i-nwa-z	ajajainwaz	-Ø	-29.9981	-Ø (-30.00); θaukʰ- (-30.11); -ke (-31.32)	10
a-ja-ja-j	ajajaj	-Ø	-17.0572	-Ø (-17.06); -s (-20.73); -u (-20.73)	6
a-ja-ja-ja	ajajaja	-Ø	-20.2315	-Ø (-20.23); -s(i) (-23.61); -l(a) (-23.61)	7
a-ja-ja-s	ajajas	-Ø	-17.0572	-Ø (-17.06); -s (-20.73); )s (-20.73)	6
a-ja-ja-sa	ajajasa	-Ø	-20.2315	-Ø (-20.23); -s(i) (-23.61); -l(a) (-23.61)	7
a-ja-ja-sa-s	ajajasas	-Ø	-23.4538	-Ø (-23.45); -l(a) (-26.56); -r(a) (-26.56)	8
a-ja-ja-sa-sa	ajajasasa	-Ø	-26.712	-Ø (-26.71); -s(i) (-29.57); -l(a) (-29.57)	9
