linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	stu-	-9.7269	stu- (-9.73); hu- (-10.53); hoː (-10.53)	5
a-a-di-ki	aadiki	stu-	-12.8312	stu- (-12.83); hoː (-13.63); hu- (-13.63)	6
a-a-di-ki-t	aadikit	stu-	-16.0516	stu- (-16.05); tuː (-16.86); hu- (-16.86)	7
a-a-di-ki-te	aadikite	stu-	-19.3356	stu- (-19.34); stût (-20.07); tuː (-20.14)	8
a-a-di-ki-te-s	aadikites	stu-	-22.6597	stu- (-22.66); huraː (-23.39); hu- (-23.47)	9
a-a-di-ki-te-si	aadikitesi	stu-	-26.0117	stu- (-26.01); huraː (-26.49); hoː (-26.82)	10
a-da-da	adada	stût	-8.4934	stût (-8.49); stu- (-9.31); stu (-9.98)	5
a-da-da-u	adadau	stût	-11.9941	stût (-11.99); stu- (-12.14); hu- (-13.12)	6
a-da-da-u-t	adadaut	stu-	-15.2483	stu- (-15.25); stût (-15.49); hoː (-16.30)	7
a-da-da-u-ti	adadauti	stu-	-18.4696	stu- (-18.47); stût (-19.00); puthra (-19.21)	8
a-da-da-u-ti-n	adadautin	pourva	-21.155	pourva (-21.16); pourvja (-21.28); stu- (-21.75)	9
a-da-da-u-ti-nu	adadautinu	pourva	-24.0243	pourva (-24.02); pourvja (-24.08); stu- (-25.08)	10
a-da-u-t	adaut	tuː	-10.8143	tuː (-10.81); hu- (-10.81); hoː (-10.81)	5
a-da-u-ti	adauti	hu-	-14.0349	hu- (-14.03); tuː (-14.03); hoː (-14.03)	6
a-da-u-ti-n	adautin	hoː	-17.3193	hoː (-17.32); tuː (-17.32); hu- (-17.32)	7
a-da-u-ti-nu	adautinu	puxða-	-20.5123	puxða- (-20.51); hu- (-20.64); tuː (-20.64)	8
a-da-u-ti-nu-i	adautinui	puxða-	-23.3497	puxða- (-23.35); hoː (-24.00); hu- (-24.00)	9
a-da-u-ti-nu-i-n	adautinuin	puxða-	-26.2933	puxða- (-26.29); taurv (-27.24); tuː (-27.37)	10
a-da-wa	adawa	puxdha	-10.3134	puxdha (-10.31); hu- (-10.81); tuː (-10.81)	5
a-da-wa-i	adawai	puxdha	-13.2099	puxdha (-13.21); us- (-14.03); hu- (-14.03)	6
a-da-wa-i-j	adawaij	puxdha	-16.3389	puxdha (-16.34); us- (-17.13); tuː (-17.32)	7
a-da-wa-i-ja	adawaija	puxdha	-19.3952	puxdha (-19.40); us- (-20.35); hoː (-20.64)	8
a-di-ki	adiki	hoː	-10.8157	hoː (-10.82); hu- (-10.82); tuː (-10.82)	5
a-di-ki-t	adikit	hu-	-14.0367	hu- (-14.04); hoː (-14.04); tuː (-14.04)	6
a-di-ki-te	adikite	hu-	-17.3215	hu- (-17.32); tuː (-17.32); hoː (-17.32)	7
a-di-ki-te-s	adikites	huraː	-20.5741	huraː (-20.57); tuː (-20.65); hoː (-20.65)	8
a-di-ki-te-si	adikitesi	huraː	-23.6738	huraː (-23.67); hu- (-24.00); hoː (-24.00)	9
a-di-ki-te-si-r	adikitesir	pandʒ	-26.7964	pandʒ (-26.80); huraː (-26.84); suːra (-27.31)	10
a-di-ki-te-t	adikitet	suːra	-20.4866	suːra (-20.49); huraː (-20.55); tuː (-20.65)	8
a-di-ki-te-te	adikitete	surunvañt	-22.6102	surunvañt (-22.61); hudhånɡh (-23.56); huraː (-23.60)	9
a-di-ki-te-te-r	adikiteter	pandʒ	-25.5813	pandʒ (-25.58); surunvañt (-26.11); dreñdʒ (-26.22)	10
a-di-ki-tu	adikitu	hu-	-17.3216	hu- (-17.32); hoː (-17.32); tuː (-17.32)	7
a-di-ki-tu-j	adikituj	huraː	-20.5741	huraː (-20.57); hoː (-20.65); hu- (-20.65)	8
a-di-ki-tu-ja	adikituja	huraː	-23.6739	huraː (-23.67); hoː (-24.00); tuː (-24.00)	9
a-di-ki-tu-ja-s	adikitujas	huraː	-26.8402	huraː (-26.84); suːra (-27.31); hu- (-27.37)	10
a-e-a-di	aeadi	stu-	-9.33	stu- (-9.33); stu (-9.98); hu- (-10.81)	5
a-e-a-di-k	aeadik	stu-	-12.1536	stu- (-12.15); stu (-13.49); tuː (-13.63)	6
a-e-a-di-ki	aeadiki	stu-	-15.2585	stu- (-15.26); hoː (-16.74); hu- (-16.74)	7
a-e-a-di-ki-t	aeadikit	xshudra	-18.4157	xshudra (-18.42); stu- (-18.48); tuː (-19.96)	8
a-e-a-di-ki-te	aeadikite	xshudra	-21.3036	xshudra (-21.30); fshujañt (-21.33); stu- (-21.76)	9
a-e-a-di-ki-te-t	aeadikitet	xshudra	-23.992	xshudra (-23.99); fshujañt (-24.82); stu- (-25.09)	10
a-i-da-a	aidaa	hoː	-11.2087	hoː (-11.21); tuː (-11.21); hu- (-11.21)	5
a-i-da-a-u	aidaau	us-	-14.3116	us- (-14.31); hoː (-14.31); hu- (-14.31)	6
