linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	ukkubati	-11.1217	ukkubati (-11.12); ʃudaba (-13.71); uri (-13.73)	5
a-a-di-ki	aadiki	ukkubati	-14.2097	ukkubati (-14.21); ʃudaba (-17.16); uri (-17.20)	6
a-a-di-ki-t	aadikit	abebe	-15.3452	abebe (-15.35); ukkubati (-15.57); abba (-17.32)	7
a-a-di-ki-te	aadikite	abebe	-18.8419	abebe (-18.84); ukkubati (-18.96); abba (-20.82)	8
a-a-di-ki-te-s	aadikites	ukkubati	-20.9787	ukkubati (-20.98); abebe (-22.34); uriʃ (-23.32)	9
a-a-di-ki-te-si	aadikitesi	ukkubati	-23.9129	ukkubati (-23.91); abebe (-25.62); ra-u-ba-sa (-26.23)	10
a-da-da	adada	ukku	-12.3613	ukku (-12.36); ɡuɡu (-15.23); kutu (-15.23)	5
a-da-da-u	adadau	ukku	-15.8659	ukku (-15.87); tuuʃ (-18.34); uri (-18.66)	6
a-da-da-u-t	adadaut	ukku	-19.3696	ukku (-19.37); uri (-19.96); unra (-20.02)	7
a-da-da-u-ti	adadauti	ukku	-22.8724	ukku (-22.87); uri (-23.44); unra (-23.52)	8
a-da-da-u-ti-n	adadautin	huel	-23.8783	huel (-23.88); purur (-25.65); ʃutur (-25.67)	9
a-da-da-u-ti-nu	adadautinu	huel	-27.3854	huel (-27.39); purur (-29.14); ʃutur (-29.18)	10
a-da-u-t	adaut	uri	-13.7302	uri (-13.73); unra (-13.82); ukku (-13.96)	5
a-da-u-ti	adauti	uri	-17.2006	uri (-17.20); unra (-17.32); ukku (-17.46)	6
a-da-u-ti-n	adautin	huel	-17.7639	huel (-17.76); eul (-19.73); pur (-19.88)	7
a-da-u-ti-nu	adautinu	huel	-21.271	huel (-21.27); unra (-22.97); uri (-23.05)	8
a-da-u-ti-nu-i	adautinui	huel	-24.7781	huel (-24.78); abba (-25.76); ibbak (-25.86)	9
a-da-u-ti-nu-i-n	adautinuin	unra	-27.4632	unra (-27.46); huel (-27.59); kunnir (-28.59)	10
a-da-wa	adawa	dudu	-10.0596	dudu (-10.06); ɡuɡu (-10.06); ukku (-12.79)	5
a-da-wa-i	adawai	ɡuɡu	-13.5559	ɡuɡu (-13.56); dudu (-13.56); ukku (-16.29)	6
a-da-wa-i-j	adawaij	dudu	-17.052	dudu (-17.05); ɡuɡu (-17.05); ukku (-19.79)	7
a-da-wa-i-ja	adawaija	ɡuɡu	-19.6522	ɡuɡu (-19.65); dudu (-19.65); ukku (-22.32)	8
a-di-ki	adiki	ukkubati	-12.0894	ukkubati (-12.09); abba (-14.08); abebe (-14.09)	5
a-di-ki-t	adikit	abebe	-12.1182	abebe (-12.12); ukkubati (-13.44); abba (-14.06)	6
a-di-ki-te	adikite	abebe	-15.6125	abebe (-15.61); ukkubati (-16.84); abba (-17.56)	7
a-di-ki-te-s	adikites	ukkubati	-18.8512	ukkubati (-18.85); abebe (-19.11); uriʃ (-20.33)	8
a-di-ki-te-si	adikitesi	ukkubati	-21.7849	ukkubati (-21.78); abebe (-22.33); uriʃ (-23.84)	9
a-di-ki-te-si-r	adikitesir	ukkubati	-24.9301	ukkubati (-24.93); abebe (-25.61); uriʃ (-27.35)	10
