lost	top1_known	score	top10
aad	tso-	-3.9722	"[[""tso-"", -3.9722], [""sfa-"", -5.5794], [""tse-"", -5.5794], [""tfi-"", -5.5794], [""kat-"", -6.215], [""tis-"", -6.215], [""kot"", -6.2309], [""sof"", -6.2309], [""sfa"", -6.244], [""sfar-"", -6.2604]]"
aadi	tso-	-3.5376	"[[""tso-"", -3.5376], [""sfato-"", -6.3018], [""tsito-"", -6.3018], [""sako-"", -6.9308], [""takto-"", -6.9495], [""ʃanto-"", -7.0115], [""iʃko-"", -7.0144], [""tse-"", -8.2914], [""tfi-"", -8.2914], [""sfa-"", -8.2914]]"
aadik	tso-	-6.3614	"[[""tso-"", -6.3614], [""tsito-"", -9.1237], [""sfato-"", -9.1237], [""kowe"", -9.681], [""sako-"", -9.7545], [""takto-"", -9.7731], [""ʃanto-"", -9.8351], [""iʃko-"", -9.8381], [""tse-"", -10.1174], [""tase"", -10.2906]]"
aadiki	tso-	-9.4664	"[[""tso-"", -9.4664], [""tse-"", -9.854], [""kʷe-"", -11.1212], [""tsuwe-"", -12.1996], [""tsuve-"", -12.1996], [""sfato-"", -12.2258], [""tsito-"", -12.2258], [""ʃe-"", -12.6738], [""sako-"", -12.8592], [""takto-"", -12.8772]]"
aadikit	tse-	-12.68	"[[""tse-"", -12.68], [""tso-"", -12.6875], [""kʷe-"", -13.9457], [""tsuwe-"", -15.0245], [""tsuve-"", -15.0245], [""sfato-"", -15.4433], [""tsito-"", -15.4433], [""ʃe-"", -15.5007], [""tseʃi-"", -15.6854], [""kʷeːn-"", -16.048]]"
aadikite	tse-	-15.7861	"[[""tse-"", -15.7861], [""tso-"", -15.9726], [""kʷe-"", -17.0508], [""tsuwe-"", -18.1292], [""tsuve-"", -18.1292], [""tseʃi-"", -18.5078], [""ʃe-"", -18.6071], [""kʷeːn-"", -18.662], [""sfato-"", -18.7241], [""tsito-"", -18.7241]]"
aadikites	tse-	-19.008	"[[""tse-"", -19.008], [""tso-"", -19.2981], [""kʷe-"", -20.2718], [""tsuve-"", -21.3496], [""tsuwe-"", -21.3496], [""tseʃi-"", -21.4382], [""kʷeːn-"", -21.4896], [""tsato-(d)"", -21.7738], [""ko-(t)"", -21.8286], [""ʃe-"", -21.8292]]"
aadikitesi	tse-	-22.2937	"[[""tse-"", -22.2937], [""tso-"", -22.6516], [""tseʃi-"", -23.2472], [""kʷe-"", -23.5565], [""sfẽn(i)-"", -24.069], [""kʷe(si)-"", -24.2747], [""sfẽnd(i)-"", -24.4194], [""kʷeːn-"", -24.4462], [""tsẽkʷra-"", -24.4617], [""tʰesa-"", -24.4829]]"
aaj	kofu	-3.3863	"[[""kofu"", -3.3863], [""tso-"", -5.5794], [""tse-"", -5.5794], [""tfi-"", -5.5794], [""sfa-"", -5.5794], [""kofuu"", -6.1068], [""kup-"", -6.1788], [""tsuwe-"", -6.1982], [""tsuni-"", -6.1982], [""tsuve-"", -6.1982]]"
aaja	kukok	-5.5752	"[[""kukok"", -5.5752], [""kuka-"", -6.2264], [""tsuni-"", -6.2612], [""tsuve-"", -6.2612], [""tsuwe-"", -6.2612], [""kʷisk"", -6.7536], [""kofu"", -6.8892], [""taats"", -6.9585], [""kʷi=k"", -7.548], [""tso-"", -8.0913]]"
aau	tso-	-5.5794	"[[""tso-"", -5.5794], [""tfi-"", -5.5794], [""tse-"", -5.5794], [""sfa-"", -5.5794], [""tis-"", -6.215], [""kat-"", -6.215], [""sfa"", -6.244], [""sfar-"", -6.2604], [""tsiw-"", -6.2604], [""karʃ-"", -6.3212]]"
ada	kot	-0.6856	"[[""kot"", -0.6856], [""sof"", -0.6856], [""kukok"", -4.1242], [""kofu"", -4.1346], [""kofuu"", -4.1606], [""kʷi=k"", -5.6167], [""=k"", -5.6702], [""tso-"", -5.8614], [""kʷisk"", -6.208], [""fak"", -6.2311]]"
adad	sof	-4.191	"[[""sof"", -4.191], [""kot"", -4.191], [""ko-(t)"", -6.7981], [""kofu"", -6.9348], [""kofuu"", -6.9595], [""os-"", -7.0443], [""tso-"", -7.3024], [""kukok"", -7.5687], [""kof(i)-"", -8.6071], [""tse-"", -9.0423]]"
adada	kot	-6.3157	"[[""kot"", -6.3157], [""sof"", -6.3157], [""kukok"", -6.8895], [""tso-"", -7.0365], [""ko-(t)"", -8.9555], [""kʷisk"", -9.0235], [""kof(i)-"", -9.0462], [""tsito-"", -9.3658], [""sfato-"", -9.3658], [""kofuu"", -9.3715]]"
adadau	ko-(t)	-9.1438	"[[""ko-(t)"", -9.1438], [""kot"", -9.8231], [""sof"", -9.8231], [""tso-"", -9.8603], [""kukok"", -10.3965], [""kof(i)-"", -11.0289], [""tsito-"", -12.1682], [""sfato-"", -12.1682], [""kotʰtʰ(i)-"", -12.3256], [""kofuu"", -12.3573]]"
adadaut	ko-(t)	-11.9704	"[[""ko-(t)"", -11.9704], [""tso-"", -12.9642], [""kof(i)-"", -13.3012], [""kot"", -13.3306], [""sof"", -13.3306], [""kotʰtʰ(i)-"", -13.6044], [""kukok"", -13.9035], [""kotsw(i)-"", -14.9195], [""katof(i)-"", -15.1044], [""katoʃ(i)-"", -15.1044]]"
adadauti	kotʰtʰ(i)-	-14.5806	"[[""kotʰtʰ(i)-"", -14.5806], [""ko-(t)"", -15.0697], [""kof(i)-"", -15.8157], [""tso-"", -16.1838], [""sof"", -16.838], [""kot"", -16.838], [""kotsw(i)-"", -17.0798], [""katoʃ(i)-"", -17.1865], [""katof(i)-"", -17.1865], [""kukok"", -17.4105]]"
adadautin	kotʰtʰ(i)-	-16.4925	"[[""kotʰtʰ(i)-"", -16.4925], [""katosn"", -17.4059], [""ko-(t)"", -18.2803], [""kof(i)-"", -18.5095], [""tso-"", -19.4672], [""kotsw(i)-"", -19.5355], [""katoʃ(i)-"", -19.6631], [""katof(i)-"", -19.6631], [""kolts(i)-"", -20.1616], [""kot"", -20.3454]]"
adadautinu	kotʰtʰ(i)-	-18.8194	"[[""kotʰtʰ(i)-"", -18.8194], [""tsato-(d)"", -20.2699], [""katosn"", -20.9131], [""kof(i)-"", -21.3332], [""ko-(t)"", -21.5503], [""kotsw(i)-"", -22.1801], [""katoʃ(i)-"", -22.3589], [""katof(i)-"", -22.3589], [""korfi-(d)"", -22.4325], [""ʃodkʷlːtʰa-(d)"", -22.768]]"
adau	sof	-4.1928	"[[""sof"", -4.1928], [""kot"", -4.1928], [""ko-(t)"", -6.7989], [""kofuu"", -6.9612], [""kofu"", -6.9637], [""os-"", -7.0448], [""kukok"", -7.6274], [""tso-"", -8.4125], [""kof(i)-"", -8.6075], [""tse-"", -9.0423]]"
adaut	kot	-7.6999	"[[""kot"", -7.6999], [""sof"", -7.6999], [""kof(i)-"", -9.058], [""ko-(t)"", -9.4966], [""os-"", -9.8699], [""kofuu"", -10.049], [""kofu"", -10.0708], [""kukok"", -11.1305], [""tso-"", -11.3001], [""tse-"", -11.7714]]"
adauti	kof(i)-	-11.059	"[[""kof(i)-"", -11.059], [""sof"", -11.207], [""kot"", -11.207], [""ko-(t)"", -12.4237], [""os-"", -12.9756], [""kofuu"", -13.2547], [""kofu"", -13.2932], [""kotʰtʰ(i)-"", -14.031], [""kotsw(i)-"", -14.2324], [""tso-"", -14.3421]]"
adautin	kof(i)-	-13.5078	"[[""kof(i)-"", -13.5078], [""katosn"", -14.6286], [""sof"", -14.7141], [""kot"", -14.7141], [""ko-(t)"", -15.4284], [""kotʰtʰ(i)-"", -15.7755], [""sfard"", -16.0288], [""os-"", -16.1973], [""kofuu"", -16.5251], [""kotsw(i)-"", -16.5421]]"
adautinu	kof(i)-	-16.1902	"[[""kof(i)-"", -16.1902], [""korfi-(d)"", -17.5246], [""kro-(d)"", -17.7355], [""tro-(d)"", -17.7355], [""kotʰtʰ(i)-"", -17.9342], [""katosn"", -18.1358], [""kot"", -18.2212], [""sof"", -18.2212], [""ko-(t)"", -18.4742], [""kʷeːn-"", -18.7728]]"
adautinui	kof(i)-	-19.0191	"[[""kof(i)-"", -19.0191], [""kotʰtʰ(i)-"", -20.3371], [""korfi-(d)"", -20.345], [""tro-(d)"", -20.5586], [""kro-(d)"", -20.5586], [""ko-(t)"", -21.5513], [""kʷeːn-"", -21.5968], [""katosn"", -21.643], [""tsato-(d)"", -21.6588], [""sfard-"", -21.6665]]"
adautinuin	kof(i)-	-21.9492	"[[""kof(i)-"", -21.9492], [""kotʰtʰ(i)-"", -22.9038], [""sfard"", -23.0008], [""korfi-(d)"", -23.3878], [""tro-(d)"", -23.6349], [""kro-(d)"", -23.6349], [""katosn"", -24.4521], [""tsakʷrla-"", -24.4782], [""trodn"", -24.4996], [""sfard-"", -24.5978]]"
adaw	kot	-4.1928	"[[""kot"", -4.1928], [""sof"", -4.1928], [""ko-(t)"", -6.7989], [""kofuu"", -6.9612], [""kofu"", -6.9637], [""os-"", -7.0448], [""kowe"", -7.6086], [""kukok"", -7.6274], [""tso-"", -8.4125], [""kof(i)-"", -8.6075]]"
adawa	sof	-7.0051	"[[""sof"", -7.0051], [""kot"", -7.0051], [""=ms"", -8.7799], [""ko-(t)"", -8.9643], [""kʷisk"", -9.0235], [""kof(i)-"", -9.0542], [""tsiw-"", -9.6659], [""taats"", -9.7639], [""kofuu"", -9.7682], [""kofu"", -9.7918]]"
adawai	ko-(t)	-9.1608	"[[""ko-(t)"", -9.1608], [""kot"", -10.5127], [""sof"", -10.5127], [""kof(i)-"", -11.0491], [""kotsw(i)-"", -11.5876], [""=ms"", -12.2871], [""kotʰtʰ(i)-"", -12.3277], [""tsa-(t)"", -12.3643], [""tsiw-"", -12.4634], [""kʷisk"", -12.5264]]"
adawaij	kofu	-10.509	"[[""kofu"", -10.509], [""ko-(t)"", -11.99], [""kofuu"", -12.5855], [""kof(i)-"", -13.434], [""kotsw(i)-"", -13.5166], [""kotʰtʰ(i)-"", -13.6071], [""kot"", -14.0203], [""sof"", -14.0203], [""taakʷu"", -14.3423], [""tsa-(t)"", -15.1798]]"
adawaija	kofu	-14.0158	"[[""kofu"", -14.0158], [""kotʰtʰ(i)-"", -14.5827], [""ko-(t)"", -15.0468], [""kofuu"", -15.8705], [""kotsw(i)-"", -15.8892], [""kof(i)-"", -16.0486], [""kot"", -17.117], [""sof"", -17.117], [""buk"", -17.5276], [""puk"", -17.5276]]"
adi	tso-	-6.256	"[[""tso-"", -6.256], [""sof"", -6.9224], [""kot"", -6.9224], [""kofu"", -6.9598], [""kowe"", -6.9598], [""sako-"", -6.9793], [""tulo-"", -7.0076], [""tro"", -7.5073], [""kʷe-"", -7.7874], [""kʷi-"", -7.7874]]"
adik	kowe	-6.8802	"[[""kowe"", -6.8802], [""kʷe-"", -8.9256], [""kʷel-"", -9.0348], [""ko-(t)"", -9.0497], [""tso-"", -9.0785], [""kʷen"", -9.0935], [""kʷela"", -9.1453], [""tase"", -9.348], [""kave"", -9.3573], [""sako-"", -9.7995]]"
