lost	top1_known	score	top10
aad	rpu	-10.4256	"[[""rpu"", -10.4256], [""ib"", -11.0372], [""il"", -11.0372], [""irt"", -11.1612], [""iʃt"", -11.1612], [""sˤuru"", -11.7574], [""ʕsˤ"", -12.1474], [""piru"", -12.2549], [""ʔilu"", -12.2549], [""binu"", -12.2549]]"
aadi	il	-13.9074	"[[""il"", -13.9074], [""ib"", -13.9074], [""rpu"", -13.926], [""iʃt"", -13.9673], [""irt"", -13.9673], [""sˤuru"", -14.9062], [""ʕsˤ"", -14.9765], [""ʃumu"", -15.5044], [""mutu"", -15.5044], [""piru"", -15.5044]]"
aadik	il	-17.0286	"[[""il"", -17.0286], [""ib"", -17.0286], [""iʃt"", -17.0565], [""irt"", -17.0565], [""rpu"", -17.4248], [""ʕsˤ"", -17.9765], [""sˤuru"", -18.1405], [""ʃiːru"", -18.4449], [""ʔuːzu"", -18.4449], [""ʕiːru"", -18.4449]]"
aadiki	il	-20.2581	"[[""il"", -20.2581], [""ib"", -20.2581], [""iʃt"", -20.2625], [""irt"", -20.2625], [""rpu"", -20.922], [""ʕsˤ"", -21.0773], [""unuːtu"", -21.3292], [""ʔuːzu"", -21.3873], [""ʕiːru"", -21.3873], [""ɣuːru"", -21.3873]]"
aadikit	irt	-23.5328	"[[""irt"", -23.5328], [""iʃt"", -23.5328], [""il"", -23.5482], [""ib"", -23.5482], [""unuːtu"", -24.243], [""ʕsˤ"", -24.2448], [""rpu"", -24.4175], [""ʔuːzu"", -24.4345], [""ʕiːru"", -24.4345], [""ʃiːru"", -24.4345]]"
aadikite	iʃt	-26.844	"[[""iʃt"", -26.844], [""irt"", -26.844], [""ib"", -26.8772], [""il"", -26.8772], [""unuːtu"", -27.2622], [""ʕsˤ"", -27.4599], [""ʃiːru"", -27.5569], [""ʕiːru"", -27.5569], [""ʔuːzu"", -27.5569], [""ɣuːru"", -27.5569]]"
aadikites	irt	-30.1833	"[[""irt"", -30.1833], [""iʃt"", -30.1833], [""ib"", -30.2332], [""il"", -30.2332], [""unuːtu"", -30.353], [""ʕsˤ"", -30.7105], [""ʃiːru"", -30.7342], [""ɣuːru"", -30.7342], [""ʕiːru"", -30.7342], [""ʔuːzu"", -30.7342]]"
aadikitesi	unuːtu	-33.4959	"[[""unuːtu"", -33.4959], [""irt"", -33.5434], [""iʃt"", -33.5434], [""il"", -33.6091], [""ib"", -33.6091], [""Misˤraːma"", -33.9348], [""θinaː"", -33.9358], [""ʕiːru"", -33.9528], [""ɣuːru"", -33.9528], [""ʃiːru"", -33.9528]]"
aaj	ʕsˤ	-12.1474	"[[""ʕsˤ"", -12.1474], [""ʔn"", -12.8387], [""ap"", -12.8387], [""ib"", -12.8387], [""ɣr"", -12.8387], [""ʃd"", -12.8387], [""dq"", -12.8387], [""at"", -12.8387], [""dl"", -12.8387], [""bt"", -12.8387]]"
aaja	ʕsˤ	-14.9765	"[[""ʕsˤ"", -14.9765], [""ʔn"", -16.0479], [""ap"", -16.0479], [""ib"", -16.0479], [""ɣr"", -16.0479], [""ʃd"", -16.0479], [""dq"", -16.0479], [""at"", -16.0479], [""dl"", -16.0479], [""bt"", -16.0479]]"
aau	ajk	-9.7388	"[[""ajk"", -9.7388], [""hpk"", -9.7388], [""plk"", -9.7388], [""mlk"", -9.7388], [""nbk"", -9.7388], [""ank"", -9.7388], [""brk"", -9.7388], [""ɣr"", -10.4301], [""ɡθr"", -10.4814], [""ksp"", -10.4814]]"
ada	il	-10.4301	"[[""il"", -10.4301], [""ib"", -10.4301], [""iʃt"", -10.4671], [""irt"", -10.4671], [""rpu"", -11.1061], [""ʕsˤ"", -12.1474], [""uqnu"", -12.4554], [""sˤuru"", -12.4827], [""binu"", -12.679], [""piru"", -12.679]]"
adad	uqnu	-11.145	"[[""uqnu"", -11.145], [""unuːtu"", -13.0403], [""ʕisˤu"", -13.1385], [""ʃiːru"", -13.1429], [""ɣuːru"", -13.1429], [""ʔuːzu"", -13.1429], [""ʕiːru"", -13.1429], [""sˤuru"", -13.2049], [""rpu"", -13.2363], [""ib"", -13.2748]]"
adada	uqnu	-14.6425	"[[""uqnu"", -14.6425], [""unuːtu"", -16.1176], [""iʃt"", -16.3689], [""irt"", -16.3689], [""ib"", -16.3873], [""il"", -16.3873], [""ʃiːru"", -16.525], [""ʔuːzu"", -16.525], [""ɣuːru"", -16.525], [""ʕiːru"", -16.525]]"
