lost	top1_known	score	top10
aad	ke	-10.4301	"[[""ke"", -10.4301], [""kin"", -10.4814], [""e-"", -11.3633], [""daket"", -12.2588], [""akke"", -12.3295], [""breit"", -12.7384], [""eti"", -12.7891], [""ew"", -12.8387], [""as"", -12.8387], [""ad"", -12.8387]]"
aadi	tʰri	-13.2717	"[[""tʰri"", -13.2717], [""ke"", -13.2748], [""kin"", -13.2847], [""e-"", -14.4053], [""akke"", -15.1422], [""daket"", -15.432], [""eti"", -15.631], [""bekos"", -16.0093], [""matar"", -16.0093], [""autos"", -16.0093]]"
aadik	tʰri	-12.6005	"[[""tʰri"", -12.6005], [""eti"", -12.8875], [""kin"", -13.9365], [""ke"", -16.3873], [""knais"", -16.6978], [""pinke"", -16.72], [""e-"", -17.5387], [""aini"", -17.622], [""Μidas"", -18.1705], [""akke"", -18.2359]]"
aadiki	tʰri	-16.0653	"[[""tʰri"", -16.0653], [""eti"", -16.3947], [""kin"", -16.7802], [""pinke"", -19.1713], [""knais"", -19.526], [""ke"", -19.6125], [""Μidas"", -20.6396], [""e-"", -20.7328], [""aini"", -20.9643], [""akke"", -21.4458]]"
aadikit	tʰri	-19.5178	"[[""tʰri"", -19.5178], [""kin"", -19.8924], [""eti"", -19.9018], [""Μidas"", -21.591], [""akala"", -21.7147], [""pinke"", -21.9961], [""knais"", -22.139], [""knaikan"", -22.8217], [""ke"", -22.9002], [""matar"", -23.6006]]"
aadikite	pinke	-20.5574	"[[""pinke"", -20.5574], [""ke"", -21.7236], [""tʰri"", -22.9597], [""kin"", -23.1173], [""eti"", -23.4041], [""akke"", -23.9173], [""estaes"", -24.3258], [""Μidas"", -24.4322], [""akala"", -25.037], [""knais"", -25.1728]]"
aadikites	pinke	-24.0597	"[[""pinke"", -24.0597], [""ad"", -24.5459], [""ke"", -25.2299], [""Μidas"", -25.8069], [""tʰri"", -26.3929], [""kin"", -26.4049], [""eti"", -26.9062], [""estaes"", -27.1683], [""akke"", -27.4195], [""ab- (ab-)"", -27.8263]]"
aadikitesi	pinke	-27.5607	"[[""pinke"", -27.5607], [""ad"", -28.0531], [""Μidas"", -28.6694], [""ke"", -28.7362], [""kin"", -29.7322], [""tʰri"", -29.8191], [""estaes"", -30.2796], [""ab- (ab-)"", -30.3416], [""eti"", -30.4081], [""e-"", -30.879]]"
aaj	e-	-11.3633	"[[""e-"", -11.3633], [""baɡo"", -11.89], [""waso"", -11.89], [""bedu"", -11.89], [""eitou"", -12.6725], [""semou"", -12.6725], [""ke"", -12.8387], [""ab"", -12.8387], [""as"", -12.8387], [""ew"", -12.8387]]"
aaja	e-	-14.4053	"[[""e-"", -14.4053], [""aoːroː"", -14.9942], [""deoːs"", -15.3731], [""baɡo"", -15.38], [""waso"", -15.38], [""bedu"", -15.38], [""deos"", -15.9854], [""ke"", -16.0479], [""ab"", -16.0479], [""as"", -16.0479]]"
