lost	top1_known	score	top10
aad	ti	-12.8387	"[[""ti"", -12.8387], [""ai"", -12.8387], [""ma"", -12.8387], [""θi"", -12.8387], [""si"", -12.8387], [""zis"", -14.7934], [""kos"", -14.7934], [""toi"", -14.7934], [""epi"", -14.7934], [""tan"", -14.7934]]"
aadi	ai	-12.3968	"[[""ai"", -12.3968], [""apa"", -12.5619], [""epi"", -12.5619], [""ti"", -12.6134], [""ma"", -12.6134], [""θi"", -12.6134], [""si"", -12.6134], [""tai"", -12.7965], [""toi"", -12.8319], [""bilia"", -15.4415]]"
aadik	aran	-13.2496	"[[""aran"", -13.2496], [""tan"", -13.3026], [""beran"", -15.228], [""ai"", -15.7212], [""epi"", -15.8501], [""apa"", -15.8501], [""ti"", -16.113], [""θi"", -16.113], [""si"", -16.113], [""ma"", -16.113]]"
aadiki	ai	-14.0198	"[[""ai"", -14.0198], [""hadiwe"", -16.0742], [""tai"", -16.0855], [""menzana"", -16.1335], [""morθana"", -16.2197], [""apa"", -16.6673], [""epi"", -16.6673], [""aran"", -16.7238], [""tan"", -16.8063], [""bilia"", -17.8246]]"
aadikit	ai	-17.5262	"[[""ai"", -17.5262], [""hadiwe"", -19.1699], [""tai"", -19.5915], [""menzana"", -19.6211], [""morθana"", -19.7267], [""apa"", -20.1483], [""epi"", -20.1483], [""aran"", -20.1974], [""tan"", -20.3099], [""bilia"", -21.3192]]"
aadikite	ai	-21.0325	"[[""ai"", -21.0325], [""hadiwe"", -22.3794], [""tai"", -23.0974], [""menzana"", -23.108], [""morθana"", -23.2337], [""apa"", -23.6294], [""epi"", -23.6294], [""aran"", -23.6707], [""tan"", -23.8135], [""hipades"", -24.6076]]"
aadikites	hadiwe	-23.6738	"[[""hadiwe"", -23.6738], [""ai"", -24.5388], [""menzana"", -26.5943], [""tai"", -26.6033], [""morθana"", -26.7407], [""epiɡrawan"", -26.9808], [""apa"", -27.1104], [""epi"", -27.1104], [""dazimas"", -27.1228], [""aran"", -27.1435]]"
aadikitesi	hadiwe	-20.3089	"[[""hadiwe"", -20.3089], [""ai"", -26.9565], [""epiɡrawan"", -26.9697], [""dazimas"", -27.1055], [""dasta"", -27.2599], [""ma"", -28.0451], [""tabara"", -28.4443], [""menzana"", -28.5705], [""tai"", -28.8886], [""epi"", -29.0067]]"
aaj	ti	-12.8387	"[[""ti"", -12.8387], [""ai"", -12.8387], [""ma"", -12.8387], [""θi"", -12.8387], [""si"", -12.8387], [""zis"", -14.7934], [""kos"", -14.7934], [""toi"", -14.7934], [""epi"", -14.7934], [""tan"", -14.7934]]"
aaja	ti	-16.0479	"[[""ti"", -16.0479], [""ai"", -16.0479], [""ma"", -16.0479], [""θi"", -16.0479], [""si"", -16.0479], [""zis"", -17.8279], [""kos"", -17.8279], [""toi"", -17.8279], [""epi"", -17.8279], [""tan"", -17.8279]]"
aau	ti	-12.8387	"[[""ti"", -12.8387], [""ai"", -12.8387], [""ma"", -12.8387], [""θi"", -12.8387], [""si"", -12.8387], [""zis"", -14.7934], [""kos"", -14.7934], [""toi"", -14.7934], [""epi"", -14.7934], [""tan"", -14.7934]]"
ada	ti	-12.8387	"[[""ti"", -12.8387], [""ai"", -12.8387], [""ma"", -12.8387], [""θi"", -12.8387], [""si"", -12.8387], [""zis"", -14.7934], [""kos"", -14.7934], [""toi"", -14.7934], [""epi"", -14.7934], [""tan"", -14.7934]]"
adad	ti	-16.0479	"[[""ti"", -16.0479], [""ai"", -16.0479], [""ma"", -16.0479], [""θi"", -16.0479], [""si"", -16.0479], [""zis"", -17.8279], [""kos"", -17.8279], [""toi"", -17.8279], [""epi"", -17.8279], [""tan"", -17.8279]]"
adada	ti	-19.3208	"[[""ti"", -19.3208], [""ai"", -19.3208], [""ma"", -19.3208], [""θi"", -19.3208], [""si"", -19.3208], [""zis"", -20.9547], [""kos"", -20.9547], [""toi"", -20.9547], [""epi"", -20.9547], [""tan"", -20.9547]]"
adadau	ti	-22.6343	"[[""ti"", -22.6343], [""ai"", -22.6343], [""ma"", -22.6343], [""θi"", -22.6343], [""si"", -22.6343], [""zis"", -24.1427], [""kos"", -24.1427], [""toi"", -24.1427], [""epi"", -24.1427], [""tan"", -24.1427]]"
adadaut	ti	-25.9758	"[[""ti"", -25.9758], [""ai"", -25.9758], [""ma"", -25.9758], [""θi"", -25.9758], [""si"", -25.9758], [""zis"", -27.3745], [""kos"", -27.3745], [""toi"", -27.3745], [""epi"", -27.3745], [""tan"", -27.3745]]"
adadauti	ai	-25.8371	"[[""ai"", -25.8371], [""apa"", -25.8475], [""epi"", -25.8475], [""tai"", -25.9375], [""ti"", -25.9512], [""ma"", -25.9512], [""si"", -25.9512], [""θi"", -25.9512], [""toi"", -25.9664], [""bilia"", -27.869]]"
adadautin	ai	-29.2391	"[[""ai"", -29.2391], [""epi"", -29.2446], [""apa"", -29.2446], [""teuta"", -29.2991], [""tai"", -29.4153], [""ti"", -29.4546], [""θi"", -29.4546], [""si"", -29.4546], [""ma"", -29.4546], [""toi"", -29.4723]]"
adadautinu	teuta	-32.1611	"[[""teuta"", -32.1611], [""epi"", -32.65], [""apa"", -32.65], [""ai"", -32.6513], [""tai"", -32.8938], [""ti"", -32.9579], [""θi"", -32.9579], [""si"", -32.9579], [""ma"", -32.9579], [""toi"", -32.9779]]"
adau	ti	-16.0479	"[[""ti"", -16.0479], [""ai"", -16.0479], [""ma"", -16.0479], [""θi"", -16.0479], [""si"", -16.0479], [""zis"", -17.8279], [""kos"", -17.8279], [""toi"", -17.8279], [""epi"", -17.8279], [""tan"", -17.8279]]"
adaut	ti	-19.3208	"[[""ti"", -19.3208], [""ai"", -19.3208], [""ma"", -19.3208], [""θi"", -19.3208], [""si"", -19.3208], [""zis"", -20.9547], [""kos"", -20.9547], [""toi"", -20.9547], [""epi"", -20.9547], [""tan"", -20.9547]]"
adauti	ai	-19.074	"[[""ai"", -19.074], [""apa"", -19.146], [""epi"", -19.146], [""ti"", -19.2234], [""ma"", -19.2234], [""θi"", -19.2234], [""si"", -19.2234], [""tai"", -19.2816], [""toi"", -19.3128], [""bilia"", -21.5143]]"
adautin	ai	-22.4476	"[[""ai"", -22.4476], [""epi"", -22.5055], [""apa"", -22.5055], [""teuta"", -22.6095], [""ti"", -22.7256], [""θi"", -22.7256], [""si"", -22.7256], [""ma"", -22.7256], [""tai"", -22.7571], [""toi"", -22.8184]]"
adautinu	teuta	-25.4532	"[[""teuta"", -25.4532], [""ai"", -25.8371], [""epi"", -25.8806], [""apa"", -25.8806], [""ti"", -26.2276], [""θi"", -26.2276], [""si"", -26.2276], [""ma"", -26.2276], [""tai"", -26.2333], [""toi"", -26.3236]]"
adautinui	ai	-24.5388	"[[""ai"", -24.5388], [""teuta"", -25.4521], [""tʰautori"", -26.1808], [""tai"", -26.1961], [""apa"", -26.781], [""epi"", -26.781], [""bilia"", -27.5005], [""dasta"", -28.515], [""klaohi"", -28.6527], [""ti"", -28.844]]"
