lost	top1_known	score	top10
aad	-u	-6.3678	"[[""-u"", -6.3678], [""-Ø"", -8.1187], [""-nu"", -9.0808], ["")nu"", -9.0808], [""-s"", -11.3633], ["")s"", -11.3633], ["")na"", -11.5351], ["")si"", -11.5351], [""-ka"", -11.5351], [""-le"", -11.5351]]"
aadi	-u	-9.8719	"[[""-u"", -9.8719], [""-Ø"", -10.9467], [""-nu"", -12.5321], ["")nu"", -12.5321], [""-s"", -14.4053], ["")s"", -14.4053], [""-si"", -14.5247], [""-ke"", -14.5247], [""-le"", -14.5247], ["")le"", -14.5247]]"
aadik	-u	-13.3751	"[[""-u"", -13.3751], [""-Ø"", -13.9506], ["")ke"", -14.3659], [""-le"", -14.3659], ["")le"", -14.3659], [""-ke"", -14.3659], ["")nuale"", -15.2888], [""pukʰe"", -15.4825], [""-nu"", -15.9727], ["")nu"", -15.9727]]"
aadiki	-u	-16.8775	"[[""-u"", -16.8775], [""-Ø"", -17.0572], [""-le"", -17.8582], ["")ke"", -17.8582], ["")le"", -17.8582], [""-ke"", -17.8582], ["")nuale"", -18.7929], [""pukʰe"", -18.9865], [""-nu"", -19.4045], ["")nu"", -19.4045]]"
aadikit	pʰuter	-18.7627	"[[""pʰuter"", -18.7627], [""ker"", -19.3962], [""kusen"", -19.6675], [""-Ø"", -20.2315], [""-u"", -20.3791], [""ʃur"", -20.5103], [""-le"", -20.9709], ["")le"", -20.9709], [""pʰelna"", -21.3143], [""kʰeli"", -21.3239]]"
aadikite	pʰuter	-22.2698	"[[""pʰuter"", -22.2698], [""ker"", -22.9034], [""kusen"", -23.1746], [""-Ø"", -23.4538], [""-u"", -23.8799], [""ʃur"", -24.0173], [""pʰelna"", -24.1175], [""-l(a)"", -24.1547], [""-r(a)"", -24.1547], [""kʰeli"", -24.1675]]"
aadikites	pʰuter	-25.7769	"[[""pʰuter"", -25.7769], [""-l(a)"", -26.37], [""-r(a)"", -26.37], [""ker"", -26.4106], [""kusen"", -26.6817], [""-Ø"", -26.712], [""pʰelna"", -27.2069], [""kʰeli"", -27.2796], [""-u"", -27.3798], [""-le"", -27.4808]]"
aadikitesi	-l(a)	-28.9952	"[[""-l(a)"", -28.9952], [""-r(a)"", -28.9952], [""pʰuter"", -29.2839], [""ker"", -29.9177], [""-Ø"", -29.9981], [""kusen"", -30.1888], [""pʰelna"", -30.4137], [""kʰeli"", -30.5044], [""-le"", -30.8062], ["")le"", -30.8062]]"
aaj	-Ø	-8.1187	"[[""-Ø"", -8.1187], [""-s"", -11.3633], [""-u"", -11.3633], ["")s"", -11.3633], ["")le"", -11.5351], [""-na"", -11.5351], ["")ke"", -11.5351], [""-le"", -11.5351], [""-ke"", -11.5351], [""-ka"", -11.5351]]"
aaja	-Ø	-10.9467	"[[""-Ø"", -10.9467], [""-s"", -14.4053], ["")s"", -14.4053], [""-u"", -14.4053], [""-ke"", -14.5247], [""-ka"", -14.5247], [""-le"", -14.5247], ["")le"", -14.5247], ["")ke"", -14.5247], [""-na"", -14.5247]]"
aau	-Ø	-8.1187	"[[""-Ø"", -8.1187], [""-s"", -11.3633], [""-u"", -11.3633], ["")s"", -11.3633], ["")le"", -11.5351], [""-na"", -11.5351], ["")ke"", -11.5351], [""-le"", -11.5351], [""-ke"", -11.5351], [""-ka"", -11.5351]]"
ada	-u	-7.0464	"[[""-u"", -7.0464], [""-Ø"", -8.1187], [""-nu"", -9.9166], ["")nu"", -9.9166], [""-s"", -11.3633], ["")s"", -11.3633], ["")ke"", -11.5351], [""-si"", -11.5351], [""-na"", -11.5351], [""-ka"", -11.5351]]"
adad	-u	-9.1841	"[[""-u"", -9.1841], [""-Ø"", -10.9467], [""-nu"", -11.8027], ["")nu"", -11.8027], [""utiku"", -13.4558], [""upiku"", -13.4558], [""muiu"", -13.6619], [""lupnu"", -13.8586], [""eluku"", -14.2835], [""-s"", -14.4053]]"
adada	-u	-12.6898	"[[""-u"", -12.6898], [""-Ø"", -13.9506], [""-nu"", -15.2777], ["")nu"", -15.2777], [""utiku"", -16.9044], [""upiku"", -16.9044], [""muiu"", -17.1013], [""lupnu"", -17.3531], [""-s"", -17.5387], ["")s"", -17.5387]]"
adadau	-u	-16.195	"[[""-u"", -16.195], [""-Ø"", -17.0572], [""-nu"", -18.747], ["")nu"", -18.747], [""utiku"", -20.3358], [""upiku"", -20.3358], [""muiu"", -20.5426], [""θaukʰ-"", -20.6083], [""sukʰ"", -20.7015], ["")s"", -20.7328]]"
adadaut	-u	-19.6998	"[[""-u"", -19.6998], [""ʃur"", -19.8796], [""-Ø"", -20.2315], [""pʰuter"", -21.0977], [""-nu"", -21.4759], ["")nu"", -21.4759], ["")na"", -21.9848], [""-na"", -21.9848], [""-le"", -21.9848], ["")le"", -21.9848]]"
adadauti	-u	-23.2042	"[[""-u"", -23.2042], [""ʃur"", -23.3868], [""-Ø"", -23.4538], [""-l(a)"", -24.1547], [""-r(a)"", -24.1547], [""-nu"", -24.5493], ["")nu"", -24.5493], [""pʰuter"", -24.6028], [""-le"", -24.848], ["")na"", -24.848]]"
adadautin	-l(a)	-26.37	"[[""-l(a)"", -26.37], [""-r(a)"", -26.37], [""-u"", -26.7082], [""-Ø"", -26.712], [""θurti"", -26.8027], [""ʃur"", -26.8939], ["")nu"", -27.7539], [""-nu"", -27.7539], [""pʰuter"", -27.8539], [""-na"", -27.9653]]"
adadautinu	-l(a)	-28.9952	"[[""-l(a)"", -28.9952], [""-r(a)"", -28.9952], [""θurti"", -29.6464], [""-Ø"", -29.9981], [""-u"", -30.2117], [""ʃur"", -30.401], ["")nu"", -31.0281], [""-nu"", -31.0281], [""pʰuter"", -31.1519], [""-na"", -31.1917]]"
adau	-u	-10.5467	"[[""-u"", -10.5467], [""-Ø"", -10.9467], ["")nu"", -13.2984], [""-nu"", -13.2984], [""-s"", -14.4053], ["")s"", -14.4053], [""-ke"", -14.5247], [""-le"", -14.5247], [""-si"", -14.5247], ["")ke"", -14.5247]]"
adaut	ʃur	-13.9034	"[[""ʃur"", -13.9034], [""-Ø"", -13.9506], [""-u"", -14.0452], ["")nu"", -15.2415], [""-nu"", -15.2415], ["")na"", -15.4014], [""-na"", -15.4014], [""-le"", -15.4014], ["")le"", -15.4014], [""pʰuter"", -15.9509]]"
adauti	-Ø	-17.0572	"[[""-Ø"", -17.0572], [""ʃur"", -17.4104], [""-u"", -17.5422], [""-l(a)"", -17.5932], [""-r(a)"", -17.5932], ["")nu"", -18.1631], [""-nu"", -18.1631], ["")na"", -18.2489], [""-le"", -18.2489], ["")le"", -18.2489]]"
adautin	-l(a)	-19.7777	"[[""-l(a)"", -19.7777], [""-r(a)"", -19.7777], [""-Ø"", -20.2315], [""θurti"", -20.826], [""ʃur"", -20.9173], [""-u"", -21.0376], [""-nu"", -21.3013], ["")nu"", -21.3013], ["")na"", -21.3598], [""-le"", -21.3598]]"
adautinu	-l(a)	-22.3944	"[[""-l(a)"", -22.3944], [""-r(a)"", -22.3944], [""-Ø"", -23.4538], [""θurti"", -23.6693], [""ʃur"", -24.4242], [""-u"", -24.5316], [""-nu"", -24.538], ["")nu"", -24.538], ["")na"", -24.5822], [""-na"", -24.5822]]"
adautinui	-l(a)	-25.2232	"[[""-l(a)"", -25.2232], [""-r(a)"", -25.2232], [""-Ø"", -26.712], [""θurti"", -26.781], ["")nu"", -27.831], [""-nu"", -27.831], ["")na"", -27.8666], [""-le"", -27.8666], [""-na"", -27.8666], ["")le"", -27.8666]]"
adautinuin	-l(a)	-28.1806	"[[""-l(a)"", -28.1806], [""-r(a)"", -28.1806], [""θurti"", -29.7756], [""-Ø"", -29.9981], [""-nu"", -31.1608], ["")nu"", -31.1608], [""-le"", -31.1905], ["")na"", -31.1905], [""-na"", -31.1905], ["")le"", -31.1905]]"
adaw	-u	-10.5467	"[[""-u"", -10.5467], [""-Ø"", -10.9467], [""-ka"", -12.1927], [""-ke"", -12.1927], ["")ke"", -12.1927], [""upiku"", -13.242], ["")nu"", -13.2984], [""-nu"", -13.2984], [""sukʰ"", -13.6839], [""pukʰe"", -13.8617]]"
adawa	sukʰ	-13.2807	"[[""sukʰ"", -13.2807], [""-Ø"", -13.9506], [""-u"", -14.0452], [""-ka"", -15.0316], ["")ke"", -15.0316], [""-ke"", -15.0316], [""ikʰ"", -15.4237], [""upiku"", -15.8546], [""pukʰe"", -16.0286], [""θaukʰ-"", -16.2209]]"
adawai	sukʰ	-16.1052	"[[""sukʰ"", -16.1052], [""θaukʰ-"", -16.7548], [""-Ø"", -17.0572], [""-u"", -17.5422], [""-ka"", -18.1387], [""-ke"", -18.1387], ["")ke"", -18.1387], [""ikʰ"", -18.2656], [""pukʰe"", -18.7341], [""upiku"", -18.7801]]"
adawaij	sukʰ	-19.2106	"[[""sukʰ"", -19.2106], [""θaukʰ-"", -19.2127], [""-Ø"", -20.2315], [""-u"", -21.0376], [""-ka"", -21.3586], [""-ke"", -21.3586], ["")ke"", -21.3586], [""ikʰ"", -21.3746], [""pukʰe"", -21.666], [""upiku"", -21.847]]"
adawaija	θaukʰ-	-22.0435	"[[""θaukʰ-"", -22.0435], [""sukʰ"", -22.4322], [""-Ø"", -23.4538], [""-u"", -24.5316], [""ikʰ"", -24.5959], [""-ke"", -24.6409], ["")ke"", -24.6409], [""-ka"", -24.6409], [""pukʰe"", -24.7233], [""upiku"", -24.9972]]"
adi	-u	-7.0464	"[[""-u"", -7.0464], [""-Ø"", -8.1187], [""-nu"", -9.9166], ["")nu"", -9.9166], [""-s"", -11.3633], ["")s"", -11.3633], ["")ke"", -11.5351], [""-si"", -11.5351], [""-na"", -11.5351], [""-ka"", -11.5351]]"
adik	-u	-10.5467	"[[""-u"", -10.5467], [""-Ø"", -10.9467], ["")ke"", -11.3218], [""-le"", -11.3218], [""-ke"", -11.3218], ["")le"", -11.3218], [""pukʰe"", -12.459], ["")nuale"", -12.7064], [""ruʃie"", -13.1892], ["")nu"", -13.2984]]"
